DeviceInfo,count,fraud_count,percentage,fraud_rate,relative_risk
HUAWEI VNS-L23 Build/HUAWEIVNS-L23,112,15,0.019,13.3929,3.8276
LG-X230 Build/MRA58K,111,12,0.0188,10.8108,3.0897
Moto G (5) Build/NPP25.137-93,110,3,0.0186,2.7273,0.7795
WAS-LX3 Build/HUAWEIWAS-LX3,108,28,0.0183,25.9259,7.4095
Moto E (4) Build/NMA26.42-19,106,0,0.0179,0.0,0.0
rv:56.0,106,8,0.0179,7.5472,2.157
SM-J700M Build/LMY48B,105,13,0.0178,12.381,3.5384
Moto G (4) Build/NPJS25.93-14-10,105,17,0.0178,16.1905,4.6272
SAMSUNG SM-G950U Build/NRD90M,104,1,0.0176,0.9615,0.2748
SAMSUNG SM-G532M Build/MMB29T,102,7,0.0173,6.8627,1.9613
Linux x86_64,102,0,0.0173,0.0,0.0
F3213 Build/36.1.A.1.86,98,3,0.0166,3.0612,0.8749
BLADE V8 SE Build/NRD90M,97,22,0.0164,22.6804,6.482
SAMSUNG SM-G955U Build/NRD90M,96,17,0.0163,17.7083,5.061
HTC Desire 10 lifestyle Build/MMB29M,94,22,0.0159,23.4043,6.6889
XT1635-02 Build/NPN26.118-22-2,94,20,0.0159,21.2766,6.0808
MotoG3 Build/MPIS24.65-33.1-2-16,93,28,0.0157,30.1075,8.6046
LG-K500 Build/MMB29M,92,0,0.0156,0.0,0.0
SM-G920V Build/NRD90M,91,0,0.0154,0.0,0.0
SM-G900M Build/LRX21T,91,17,0.0154,18.6813,5.339
SAMSUNG-SM-G930A Build/NRD90M,91,0,0.0154,0.0,0.0
Moto G (4) Build/NPJ25.93-14.5,89,12,0.0151,13.4831,3.8534
HUAWEI RIO-L03 Build/HUAWEIRIO-L03,89,1,0.0151,1.1236,0.3211
SAMSUNG SM-G935F Build/NRD90M,88,0,0.0149,0.0,0.0
SM-J500M Build/LMY48B,88,39,0.0149,44.3182,12.666
MYA-L13 Build/HUAWEIMYA-L13,86,10,0.0146,11.6279,3.3232
LG-H870 Build/NRD90U,86,1,0.0146,1.1628,0.3323
LG-K200 Build/MXB48T,85,5,0.0144,5.8824,1.6812
Moto G (5) Build/NPP25.137-72,85,5,0.0144,5.8824,1.6812
LG-X180g Build/LMY47I,84,5,0.0142,5.9524,1.7012
SM-J710MN Build/MMB29K,83,0,0.0141,0.0,0.0
HUAWEI G7-L03 Build/HuaweiG7-L03,82,10,0.0139,12.1951,3.4853
Moto C Build/NRD90M.063,81,6,0.0137,7.4074,2.117
SM-G925I Build/NRD90M,81,15,0.0137,18.5185,5.2925
Moto,77,2,0.013,2.5974,0.7423
SM-G930T Build/NRD90M,76,0,0.0129,0.0,0.0
Blade V6 Plus Build/MRA58K,76,7,0.0129,9.2105,2.6323
LG-K530 Build/MMB29M,75,6,0.0127,8.0,2.2864
SM-G950U Build/R16NW,74,0,0.0125,0.0,0.0
Moto G (5) Build/NPPS25.137-15-11,73,11,0.0124,15.0685,4.3065
F3113 Build/33.3.A.1.97,73,3,0.0124,4.1096,1.1745
SM-G530H Build/LRX22G,71,6,0.012,8.4507,2.4152
LG-D320 Build/KOT49I.V10a,71,61,0.012,85.9155,24.5543
SAMSUNG SM-G531H Build/LMY48B,70,1,0.0119,1.4286,0.4083
Moto G (5) Plus Build/NPN25.137-72,69,3,0.0117,4.3478,1.2426
RNE-L03 Build/HUAWEIRNE-L03,68,23,0.0115,33.8235,9.6666
CRO-L03 Build/HUAWEICRO-L03,68,51,0.0115,75.0,21.4347
SAMSUNG SM-N950U Build/NMF26X,67,4,0.0113,5.9701,1.7062
BLL-L23 Build/HUAWEIBLL-L23,67,3,0.0113,4.4776,1.2797
HTC Desire 626s Build/LMY47O,67,6,0.0113,8.9552,2.5594
LG-H542 Build/MRA58K,67,1,0.0113,1.4925,0.4266
CHC-U03 Build/HuaweiCHC-U03,67,29,0.0113,43.2836,12.3703
SAMSUNG SM-G950F Build/NRD90M,66,0,0.0112,0.0,0.0
LG-X240 Build/MRA58K,65,14,0.011,21.5385,6.1556
SM-G950F Build/R16NW,65,4,0.011,6.1538,1.7587
SM-A500M Build/KTU84P,65,13,0.011,20.0,5.7159
KFFOWI Build/LVY48F,65,51,0.011,78.4615,22.424
SAMSUNG SM-J701M Build/NRD90M,65,14,0.011,21.5385,6.1556
LG-H500 Build/LRX21Y,63,3,0.0107,4.7619,1.3609
rv:60.0,63,6,0.0107,9.5238,2.7219
5080A Build/MRA58K,63,0,0.0107,0.0,0.0
SM-N950U Build/R16NW,61,1,0.0103,1.6393,0.4685
M4 SS4456 Build/LMY47V,61,21,0.0103,34.4262,9.8389
Moto G (5) Build/NPP25.137-82,61,9,0.0103,14.7541,4.2167
Hisense F23 Build/NRD90M,61,6,0.0103,9.8361,2.8111
Moto Z (2,61,0,0.0103,0.0,0.0
Hisense L675 Build/MRA58K,60,32,0.0102,53.3333,15.2424
5010G Build/MRA58K,60,6,0.0102,10.0,2.858
SM-G900V Build/MMB29M,60,0,0.0102,0.0,0.0
LG-H840 Build/NRD90U,60,7,0.0102,11.6667,3.3343
SM-A510M Build/NRD90M,60,13,0.0102,21.6667,6.1923
HUAWEI CUN-L03 Build/HUAWEICUN-L03,60,8,0.0102,13.3333,3.8106
SAMSUNG SM-G610M Build/MMB29K,59,7,0.01,11.8644,3.3908
SM-G955U Build/R16NW,59,13,0.01,22.0339,6.2972
GT-I9060M Build/KTU84P,59,19,0.01,32.2034,9.2036
Moto G (5) Plus Build/NPNS25.137-15-11,59,35,0.01,59.322,16.954
BAC-L03 Build/HUAWEIBAC-L03,58,0,0.0098,0.0,0.0
HTC Desire 650 Build/MMB29M,58,0,0.0098,0.0,0.0
Blade A510 Build/MRA58K,57,21,0.0097,36.8421,10.5293
SM-N920V Build/NRD90M,57,14,0.0097,24.5614,7.0195
SM-A510M Build/MMB29K,56,45,0.0095,80.3571,22.9657
SAMSUNG SM-J730GM Build/NRD90M,56,1,0.0095,1.7857,0.5103
SM-G920P Build/NRD90M,54,39,0.0091,72.2222,20.6408
SLA-L03 Build/HUAWEISLA-L03,54,3,0.0091,5.5556,1.5878
Redmi Note 4 Build/NRD90M,53,7,0.009,13.2075,3.7746
SM-N950F Build/NMF26X,53,6,0.009,11.3208,3.2354
F5121 Build/34.3.A.0.252,52,25,0.0088,48.0769,13.7402
SAMSUNG SM-G930F Build/NRD90M,52,1,0.0088,1.9231,0.5496
HTC Desire 530 Build/MMB29M,51,4,0.0086,7.8431,2.2415
XT1032 Build/LPBS23.13-56-2,50,6,0.0085,12.0,3.4296
SM-G610M Build/NRD90M,50,6,0.0085,12.0,3.4296
F3313 Build/37.0.A.2.108,50,13,0.0085,26.0,7.4307
es-us,50,2,0.0085,4.0,1.1432
LG-H650 Build/MRA58K,50,27,0.0085,54.0,15.433
LG-X220 Build/LMY47I,50,6,0.0085,12.0,3.4296
SM-G930P Build/NRD90M,49,0,0.0083,0.0,0.0
8050G Build/LMY47I,49,0,0.0083,0.0,0.0
LG-M250 Build/NRD90U,47,0,0.008,0.0,0.0
SM-G935P Build/NRD90M,47,1,0.008,2.1277,0.6081
Pixel,47,0,0.008,0.0,0.0
LG-X210 Build/LMY47I,46,0,0.0078,0.0,0.0
SM-T560 Build/KTU84P,46,4,0.0078,8.6957,2.4852
Ilium LT510 Build/MRA58K,46,0,0.0078,0.0,0.0
Moto G Play Build/MPIS24.241-15.3-26,46,16,0.0078,34.7826,9.9407
Moto G (5) Plus Build/NPN25.137-82,45,18,0.0076,40.0,11.4318
F5121 Build/34.3.A.0.238,45,23,0.0076,51.1111,14.6073
Lenovo A2016b30 Build/MRA58K,45,2,0.0076,4.4444,1.2702
EVA-L09 Build/HUAWEIEVA-L09,45,0,0.0076,0.0,0.0
LG-X165g Build/LRX21M,45,0,0.0076,0.0,0.0
SM-G935T Build/NRD90M,44,2,0.0075,4.5455,1.2991
Moto G (4) Build/NPJS25.93-14-15,44,5,0.0075,11.3636,3.2477
MDDRJS,44,2,0.0075,4.5455,1.2991
Lenovo K33b36 Build/MMB29M,44,0,0.0075,0.0,0.0
SM-J500M Build/MMB29M,43,4,0.0073,9.3023,2.6586
SM-G920F Build/NRD90M,43,0,0.0073,0.0,0.0
SAMSUNG-SM-G935A Build/NRD90M,43,0,0.0073,0.0,0.0
Nexus,42,0,0.0071,0.0,0.0
SM-J111M Build/LMY47V,42,9,0.0071,21.4286,6.1242
Redmi 4X Build/N2G47H,42,6,0.0071,14.2857,4.0828
LGMP260 Build/NRD90U,42,7,0.0071,16.6667,4.7633
SM-J105B Build/LMY47V,40,17,0.0068,42.5,12.1463
Lenovo,40,3,0.0068,7.5,2.1435
Windows NT 6.1,40,2,0.0068,5.0,1.429
LG-D680 Build/KOT49I,39,17,0.0066,43.5897,12.4578
Lenovo PB2-650Y Build/MRA58K,38,11,0.0064,28.9474,8.273
G3313 Build/43.0.A.5.79,38,0,0.0064,0.0,0.0
5015A Build/LMY47I,38,9,0.0064,23.6842,6.7688
5025G Build/LMY47I,38,11,0.0064,28.9474,8.273
Blade V6 Build/LRX22G,38,1,0.0064,2.6316,0.7521
SM-G570M Build/NRD90M,37,2,0.0063,5.4054,1.5448
SAMSUNG SM-J120H Build/LMY47V,37,25,0.0063,67.5676,19.3105
KFDOWI Build/LVY48F,37,2,0.0063,5.4054,1.5448
SAMSUNG SM-A520F Build/NRD90M,37,2,0.0063,5.4054,1.5448
Ilium X510 Build/MRA58K,37,8,0.0063,21.6216,6.1794
HUAWEI,37,4,0.0063,10.8108,3.0897
SM-G530H Build/KTU84P,37,22,0.0063,59.4595,16.9933
M4 SS4453 Build/MMB29M,37,0,0.0063,0.0,0.0
ALE-L21 Build/HuaweiALE-L21,36,0,0.0061,0.0,0.0
XT1585 Build/NCK25.118-10.5,36,0,0.0061,0.0,0.0
SAMSUNG SM-G955F Build/NRD90M,36,6,0.0061,16.6667,4.7633
LGLS676 Build/MXB48T,35,8,0.0059,22.8571,6.5325
SAMSUNG SM-G891A Build/NRD90M,35,22,0.0059,62.8571,17.9643
MOT-A6020l37 Build/LMY47V,35,3,0.0059,8.5714,2.4497
rv:51.0,35,10,0.0059,28.5714,8.1656
VS5012 Build/NRD90M,34,34,0.0058,100.0,28.5796
SAMSUNG SM-G930A Build/NRD90M,34,0,0.0058,0.0,0.0
Pixel Build/OPM1.171019.011,33,0,0.0056,0.0,0.0
SM-G928G Build/NRD90M,33,2,0.0056,6.0606,1.7321
Lenovo-A6020l36 Build/LMY47V,33,4,0.0056,12.1212,3.4642
Moto C Plus Build/NRD90M.05.034,33,0,0.0056,0.0,0.0
Y635-L03 Build/HuaweiY635-L03,33,7,0.0056,21.2121,6.0623
moto x4 Build/OPWS27.57-40-6,32,17,0.0054,53.125,15.1829
rv:45.0,32,1,0.0054,3.125,0.8931
SM-J327P Build/MMB29M,32,11,0.0054,34.375,9.8242
Z981 Build/MMB29M,32,6,0.0054,18.75,5.3587
Android 5.1,32,3,0.0054,9.375,2.6793
SM-T350 Build/NMF26X,32,0,0.0054,0.0,0.0
TA-1039 Build/NMF26F,32,27,0.0054,84.375,24.114
Hisense F20 Build/MMB29M,31,0,0.0052,0.0,0.0
5056A Build/MMB29M,31,3,0.0052,9.6774,2.7658
SM-T550 Build/NMF26X,31,7,0.0052,22.5806,6.4534
VS995 Build/NRD90M,30,1,0.0051,3.3333,0.9526
SM-A310M Build/LMY47X,30,1,0.0051,3.3333,0.9526
Moto G (5) Build/NPP25.137-38,29,2,0.0049,6.8966,1.971
SM-G550T1 Build/MMB29K,29,9,0.0049,31.0345,8.8695
SM-N920T Build/NRD90M,29,0,0.0049,0.0,0.0
Moto G (5S,29,0,0.0049,0.0,0.0
Hisense U963 Build/MRA58K,29,7,0.0049,24.1379,6.8985
5012G Build/MRA58K,29,5,0.0049,17.2414,4.9275
SM-G925V Build/NRD90M,28,0,0.0047,0.0,0.0
SM-T710 Build/NRD90M,28,0,0.0047,0.0,0.0
LGLS775 Build/NRD90U,28,2,0.0047,7.1429,2.0414
Ilium X710 Build/MRA58K,28,0,0.0047,0.0,0.0
SAMSUNG SM-G950F Build/R16NW,28,2,0.0047,7.1429,2.0414
VS988 Build/NRD90U,28,0,0.0047,0.0,0.0
SM-A320Y Build/NRD90M,28,4,0.0047,14.2857,4.0828
LG-H840 Build/MMB29M,28,0,0.0047,0.0,0.0
LG-M400 Build/NRD90U,28,0,0.0047,0.0,0.0
Blade V580 Build/LMY47D,28,0,0.0047,0.0,0.0
LG-M320 Build/NRD90U,28,2,0.0047,7.1429,2.0414
SAMSUNG SM-N950F Build/NMF26X,28,2,0.0047,7.1429,2.0414
VS425PP Build/LMY47V,28,23,0.0047,82.1429,23.4761
SM-J530GM Build/NRD90M,27,0,0.0046,0.0,0.0
SM-J200M Build/LMY47X,27,0,0.0046,0.0,0.0
LG-K220 Build/MXB48T,27,4,0.0046,14.8148,4.234
HUAWEI NXT-L09 Build/HUAWEINXT-L09,27,7,0.0046,25.9259,7.4095
F3213 Build/36.0.A.2.146,27,0,0.0046,0.0,0.0
SM-N910V Build/MMB29M,27,0,0.0046,0.0,0.0
SM-J120H Build/LMY47V,27,2,0.0046,7.4074,2.117
XT1650 Build/NCLS26.118-23-13-3,26,0,0.0044,0.0,0.0
SM-T810 Build/NRD90M,26,0,0.0044,0.0,0.0
Build/OPR6.170623.013,26,3,0.0044,11.5385,3.2977
XT1064 Build/MPB24.65-34-3,26,4,0.0044,15.3846,4.3969
SM-G355M Build/KOT49H,26,0,0.0044,0.0,0.0
Z835 Build/NMF26V,25,25,0.0042,100.0,28.5796
SM-G955F Build/R16NW,25,1,0.0042,4.0,1.1432
SAMSUNG-SM-G891A Build/NRD90M,25,0,0.0042,0.0,0.0
LG-H320 Build/LRX21Y,25,8,0.0042,32.0,9.1455
KFGIWI Build/LVY48F,25,0,0.0042,0.0,0.0
rv:31.0,25,4,0.0042,16.0,4.5727
Blade L2 Plus Build/KOT49H,25,9,0.0042,36.0,10.2887
SAMSUNG SM-A310F Build/NRD90M,25,0,0.0042,0.0,0.0
Blade L5 Build/LMY47I,24,2,0.0041,8.3333,2.3816
rv:54.0,24,0,0.0041,0.0,0.0
SM-G965U Build/R16NW,24,0,0.0041,0.0,0.0
5011A Build/NRD90M,24,3,0.0041,12.5,3.5724
SM-T280 Build/LMY47V,24,0,0.0041,0.0,0.0
Lenovo K33b36 Build/NRD90N,24,0,0.0041,0.0,0.0
TA-1038 Build/NMF26O,24,14,0.0041,58.3333,16.6714
SM-A320FL Build/NRD90M,24,0,0.0041,0.0,0.0
Pixel XL Build/OPM1.171019.011,24,0,0.0041,0.0,0.0
E5606 Build/30.2.A.1.21,24,2,0.0041,8.3333,2.3816
SM-J727T1 Build/NRD90M,23,7,0.0039,30.4348,8.6981
SM-E500M Build/KTU84P,23,2,0.0039,8.6957,2.4852
WAS-LX1A Build/HUAWEIWAS-LX1A,23,0,0.0039,0.0,0.0
F3313 Build/37.0.A.2.248,23,0,0.0039,0.0,0.0
SM-G928V Build/NRD90M,23,0,0.0039,0.0,0.0
HTC One A9s Build/MRA58K,23,0,0.0039,0.0,0.0
SM-G920I Build/NRD90M,23,0,0.0039,0.0,0.0
SAMSUNG SM-G930P Build/NRD90M,23,0,0.0039,0.0,0.0
SM-G800F Build/MMB29K,23,0,0.0039,0.0,0.0
SM-J327T1 Build/NRD90M,23,9,0.0039,39.1304,11.1833
SM-G950U1 Build/NRD90M,23,0,0.0039,0.0,0.0
XT1254 Build/MCG24.251-5-5,22,0,0.0037,0.0,0.0
VS987 Build/NRD90U,22,0,0.0037,0.0,0.0
SAMSUNG SM-J327T1 Build/NRD90M,22,9,0.0037,40.9091,11.6917
G3223 Build/42.0.A.4.101,22,0,0.0037,0.0,0.0
rv:47.0,22,3,0.0037,13.6364,3.8972
SM-G9600 Build/R16NW,22,9,0.0037,40.9091,11.6917
MotoE2(4G-LTE,22,3,0.0037,13.6364,3.8972
LG-D331 Build/LRX22G,22,0,0.0037,0.0,0.0
SM-T800 Build/MMB29K,22,0,0.0037,0.0,0.0
SAMSUNG SM-G920P Build/NRD90M,21,0,0.0036,0.0,0.0
SM-T580 Build/NRD90M,21,0,0.0036,0.0,0.0
SAMSUNG SM-G935A Build/NRD90M,21,1,0.0036,4.7619,1.3609
SAMSUNG SM-G930T Build/NRD90M,21,4,0.0036,19.0476,5.4437
SAMSUNG-SM-G928A Build/NRD90M,21,0,0.0036,0.0,0.0
MotoG3 Build/MPI24.65-33.1-2,21,1,0.0036,4.7619,1.3609
E5506 Build/29.2.A.0.166,21,0,0.0036,0.0,0.0
SM-A310F Build/NRD90M,21,1,0.0036,4.7619,1.3609
Ilium L910 Build/MRA58K,21,0,0.0036,0.0,0.0
E6603 Build/32.4.A.1.54,21,11,0.0036,52.381,14.9703
SM-N920A Build/MMB29K,21,21,0.0036,100.0,28.5796
SM-N900W8 Build/LRX21V,21,2,0.0036,9.5238,2.7219
gxq6580_weg_l Build/LMY47I,21,0,0.0036,0.0,0.0
LGMS210 Build/NRD90U,21,5,0.0036,23.8095,6.8047
SM-T377V Build/NMF26X,21,0,0.0036,0.0,0.0
BLADE A520 Build/NRD90M,21,3,0.0036,14.2857,4.0828
Blade V6 Max Build/MRA58K,21,0,0.0036,0.0,0.0
Moto G (5) Plus Build/NPNS25.137-92-8,21,1,0.0036,4.7619,1.3609
SM-J700T Build/NMF26X,20,0,0.0034,0.0,0.0
SM-T113NU Build/KTU84P,20,4,0.0034,20.0,5.7159
SAMSUNG SM-T580 Build/NRD90M,20,3,0.0034,15.0,4.2869
HUAWEI VNS-L31 Build/HUAWEIVNS-L31,20,0,0.0034,0.0,0.0
5054S Build/LMY47V,20,0,0.0034,0.0,0.0
STF-L09 Build/HUAWEISTF-L09,20,0,0.0034,0.0,0.0
FRD-L09 Build/HUAWEIFRD-L09,20,9,0.0034,45.0,12.8608
SM-P350 Build/MMB29M,20,0,0.0034,0.0,0.0
HTC One M9 Build/NRD90M,20,2,0.0034,10.0,2.858
SM-G935F Build/MMB29K,19,1,0.0032,5.2632,1.5042
SAMSUNG-SM-G920A Build/NRD90M,19,0,0.0032,0.0,0.0
VTR-L09 Build/HUAWEIVTR-L09,19,1,0.0032,5.2632,1.5042
Pixel 2 Build/OPM1.171019.011,19,0,0.0032,0.0,0.0
SAMSUNG SM-G935T Build/NRD90M,19,0,0.0032,0.0,0.0
SM-G920T Build/NRD90M,19,0,0.0032,0.0,0.0
Ilium L1120 Build/NRD90M,19,2,0.0032,10.5263,3.0084
Moto G (5) Plus Build/NPNS25.137-92-4,19,6,0.0032,31.5789,9.0251
XT1053 Build/LPAS23.12-21.7-1,19,0,0.0032,0.0,0.0
SAMSUNG SM-T587P Build/NRD90M,19,0,0.0032,0.0,0.0
rv:55.0,19,0,0.0032,0.0,0.0
F8331 Build/41.2.A.7.76,19,5,0.0032,26.3158,7.5209
rv:38.0,19,0,0.0032,0.0,0.0
E2306 Build/26.3.A.1.33,19,5,0.0032,26.3158,7.5209
C6743 Build/LMY47V,19,1,0.0032,5.2632,1.5042
BLADE L7 Build/MRA58K,19,4,0.0032,21.0526,6.0167
SAMSUNG SM-G928G Build/NRD90M,18,0,0.003,0.0,0.0
SM-A710M Build/NRD90M,18,5,0.003,27.7778,7.9388
SM-A710M Build/LMY47X,18,0,0.003,0.0,0.0
moto x4 Build/NPW26.83-18-2-0-4,18,5,0.003,27.7778,7.9388
SM-G925T Build/NRD90M,18,3,0.003,16.6667,4.7633
Linux i686,18,0,0.003,0.0,0.0
E2306 Build/26.1.A.3.111,18,0,0.003,0.0,0.0
SM-A510M Build/LMY47X,18,14,0.003,77.7778,22.2286
Moto G Play Build/NPIS26.48-36-2,18,0,0.003,0.0,0.0
SM-J110M Build/LMY48B,18,4,0.003,22.2222,6.351
XT1650,18,4,0.003,22.2222,6.351
F3111 Build/33.3.A.1.97,18,0,0.003,0.0,0.0
LG-H918 Build/NRD90M,17,0,0.0029,0.0,0.0
MYA-L03 Build/HUAWEIMYA-L03,17,14,0.0029,82.3529,23.5361
LG-H872 Build/NRD90U,17,0,0.0029,0.0,0.0
D6603 Build/23.5.A.1.291,17,0,0.0029,0.0,0.0
SAMSUNG SM-A720F Build/NRD90M,17,0,0.0029,0.0,0.0
TA-1039 Build/N2G47H,17,14,0.0029,82.3529,23.5361
ILIUM,17,0,0.0029,0.0,0.0
SAMSUNG SM-G950U Build/R16NW,17,0,0.0029,0.0,0.0
FIG-LX3 Build/HUAWEIFIG-LX3,17,0,0.0029,0.0,0.0
Lenovo TB3-710F Build/LRX21M,17,3,0.0029,17.6471,5.0435
4047G Build/NRD90M,17,1,0.0029,5.8824,1.6812
SM-A500M Build/LRX22G,17,4,0.0029,23.5294,6.7246
M4 SS4458 Build/MMB29M,17,0,0.0029,0.0,0.0
BLU,17,0,0.0029,0.0,0.0
SM-T350 Build/MMB29M,17,0,0.0029,0.0,0.0
SAMSUNG SM-G550T1 Build/MMB29K,17,13,0.0029,76.4706,21.855
SM-A720F Build/MMB29K,17,9,0.0029,52.9412,15.1304
M4 SS4451 Build/LMY47D,16,0,0.0027,0.0,0.0
HTC,16,0,0.0027,0.0,0.0
SM-G9650 Build/R16NW,16,8,0.0027,50.0,14.2898
Moto G Play Build/NPIS26.48-36-5,16,0,0.0027,0.0,0.0
SAMSUNG SM-G530H Build/LRX22G,16,2,0.0027,12.5,3.5724
F5321 Build/34.3.A.0.238,16,0,0.0027,0.0,0.0
Mi A1 Build/OPR1.170623.026,16,2,0.0027,12.5,3.5724
SM-N920P Build/NRD90M,16,4,0.0027,25.0,7.1449
SAMSUNG SM-N950U Build/R16NW,16,0,0.0027,0.0,0.0
Redmi,16,0,0.0027,0.0,0.0
HTC One_M8 Build/MRA58K,16,0,0.0027,0.0,0.0
PRA-LX1 Build/HUAWEIPRA-LX1,16,0,0.0027,0.0,0.0
SM-J320FN Build/LMY47V,16,0,0.0027,0.0,0.0
SM-G900F Build/MMB29M,16,0,0.0027,0.0,0.0
rv:50.0,16,0,0.0027,0.0,0.0
SM-T530NU Build/LRX22G,16,0,0.0027,0.0,0.0
SAMSUNG SM-G610M Build/NRD90M,16,2,0.0027,12.5,3.5724
SAMSUNG SM-G900M Build/LRX21T,15,0,0.0025,0.0,0.0
XT1635-01 Build/NDNS26.118-23-12-3,15,4,0.0025,26.6667,7.6212
rv:49.0,15,4,0.0025,26.6667,7.6212
SAMSUNG SM-G570M Build/MMB29K,15,2,0.0025,13.3333,3.8106
Ilium X520 Build/NRD90M,15,0,0.0025,0.0,0.0
SAMSUNG-SM-G900A Build/LRX21T,15,0,0.0025,0.0,0.0
LG-H542 Build/LRX22G,15,0,0.0025,0.0,0.0
SM-G850M Build/LRX22G,15,0,0.0025,0.0,0.0
Pixel 2 XL Build/OPM1.171019.011,15,0,0.0025,0.0,0.0
SGH-I337M Build/LRX22C,15,0,0.0025,0.0,0.0
LG-K430 Build/MRA58K,15,0,0.0025,0.0,0.0
LGMP450 Build/NRD90U,15,0,0.0025,0.0,0.0
SM-A530F Build/NMF26X,15,4,0.0025,26.6667,7.6212
Lenovo TB3-710I Build/LMY47I,15,11,0.0025,73.3333,20.9584
Microsoft,15,0,0.0025,0.0,0.0
MHA-L09 Build/HUAWEIMHA-L09,15,2,0.0025,13.3333,3.8106
SM-S727VL Build/MMB29M,15,9,0.0025,60.0,17.1478
LG-H420 Build/LRX21Y,15,1,0.0025,6.6667,1.9053
XT1635-02,15,6,0.0025,40.0,11.4318
SAMSUNG SM-J710MN Build/MMB29K,15,0,0.0025,0.0,0.0
Android 4.4.2,14,0,0.0024,0.0,0.0
Moto G (5) Build/NPPS25.137-93-4,14,0,0.0024,0.0,0.0
MotoG3-TE Build/MPDS24.65-33-1-30,14,3,0.0024,21.4286,6.1242
Moto Z2 Play Build/NPSS26.118-19-6,14,0,0.0024,0.0,0.0
SAMSUNG SM-J700M Build/LMY48B,14,0,0.0024,0.0,0.0
LG-H850 Build/MMB29M,14,0,0.0024,0.0,0.0
SM-A520W Build/NRD90M,14,3,0.0024,21.4286,6.1242
Moto E (4) Plus Build/NMA26.42-142,14,0,0.0024,0.0,0.0
