dt_day,transaction_count,total_amount,fraud_count,percentage,average_amount,fraud_rate,relative_risk
108,2287,257127.39,96,0.3873,112.43,4.1976,1.1997
109,3151,470397.38,133,0.5336,149.2851,4.2209,1.2063
110,3018,423710.62,117,0.5111,140.3945,3.8767,1.1079
111,3180,452889.6,102,0.5385,142.4181,3.2075,0.9167
112,3225,445949.0,139,0.5461,138.2788,4.3101,1.2318
113,3227,476873.3,161,0.5464,147.776,4.9892,1.4259
114,2758,325622.34,150,0.467,118.0647,5.4387,1.5544
115,2461,262452.8,139,0.4167,106.6448,5.6481,1.6142
116,3111,441217.94,163,0.5268,141.8251,5.2395,1.4974
117,3042,425320.62,194,0.5151,139.8161,6.3774,1.8226
118,3179,412130.12,117,0.5383,129.6414,3.6804,1.0518
119,3300,463689.72,145,0.5588,140.512,4.3939,1.2558
120,3941,598865.3,181,0.6674,151.9577,4.5927,1.3126
121,3017,392234.25,121,0.5109,130.008,4.0106,1.1462
122,2507,260682.75,64,0.4245,103.982,2.5529,0.7296
123,3390,496399.1,128,0.5741,146.4304,3.7758,1.0791
124,4202,573122.2,89,0.7116,136.3927,2.118,0.6053
125,3467,489319.97,148,0.5871,141.1364,4.2688,1.22
126,3051,400148.47,102,0.5166,131.1532,3.3432,0.9555
127,3335,463336.1,84,0.5647,138.9314,2.5187,0.7198
128,2507,297368.12,69,0.4245,118.6151,2.7523,0.7866
129,2348,233850.69,130,0.3976,99.5957,5.5366,1.5823
130,2807,384244.7,95,0.4753,136.888,3.3844,0.9672
131,2822,385329.97,105,0.4779,136.545,3.7208,1.0634
132,2752,397553.7,108,0.466,144.4599,3.9244,1.1216
133,2687,361934.47,136,0.455,134.6984,5.0614,1.4465
134,2937,425587.1,103,0.4973,144.9054,3.507,1.0023
135,2429,296648.94,90,0.4113,122.128,3.7052,1.0589
136,2048,228299.4,73,0.3468,111.4743,3.5645,1.0187
137,2914,386546.75,69,0.4934,132.6516,2.3679,0.6767
138,2846,372342.06,112,0.4819,130.83,3.9353,1.1247
139,2769,393760.06,61,0.4689,142.203,2.203,0.6296
140,2629,368319.94,103,0.4452,140.0989,3.9178,1.1197
141,3000,449601.94,131,0.508,149.8673,4.3667,1.248
142,2391,323239.66,103,0.4049,135.1902,4.3078,1.2312
143,2064,237400.73,71,0.3495,115.0197,3.4399,0.9831
144,2718,388563.94,90,0.4603,142.9595,3.3113,0.9464
145,2668,369276.8,67,0.4518,138.4096,2.5112,0.7177
146,2990,402561.9,98,0.5063,134.6361,3.2776,0.9367
147,2718,412021.5,79,0.4603,151.59,2.9065,0.8307
148,3060,436821.88,86,0.5182,142.7522,2.8105,0.8032
149,2289,294868.25,66,0.3876,128.8197,2.8834,0.8241
150,2209,251966.34,69,0.3741,114.0635,3.1236,0.8927
151,3101,476054.03,99,0.5251,153.5163,3.1925,0.9124
152,3896,545814.6,120,0.6597,140.0962,3.0801,0.8803
153,3105,449279.03,126,0.5258,144.6953,4.058,1.1598
154,3783,526717.0,94,0.6406,139.2326,2.4848,0.7101
155,3352,508477.44,119,0.5676,151.6937,3.5501,1.0146
156,2575,373964.7,54,0.436,145.229,2.0971,0.5993
157,2259,237301.05,69,0.3825,105.0469,3.0544,0.8729
158,3048,405960.0,81,0.5161,133.189,2.6575,0.7595
159,2845,371349.25,89,0.4818,130.527,3.1283,0.8941
160,2878,400343.75,85,0.4874,139.1048,2.9534,0.8441
161,2854,400403.78,68,0.4833,140.2956,2.3826,0.6809
162,3233,462626.97,114,0.5475,143.0953,3.5261,1.0077
163,2880,355112.25,136,0.4877,123.3029,4.7222,1.3496
164,2988,326212.25,77,0.506,109.1741,2.577,0.7365
165,3038,415405.97,73,0.5144,136.7367,2.4029,0.6867
166,2931,406088.44,94,0.4963,138.5494,3.2071,0.9166
167,3020,417493.88,119,0.5114,138.243,3.9404,1.1262
168,2948,420840.9,116,0.4992,142.7547,3.9349,1.1246
169,3191,478506.38,146,0.5404,149.955,4.5754,1.3076
170,2409,290520.3,101,0.4079,120.5979,4.1926,1.1982
171,2795,295927.62,68,0.4733,105.8775,2.4329,0.6953
172,3160,440549.03,81,0.5351,139.4143,2.5633,0.7326
173,2866,403437.84,142,0.4853,140.7669,4.9546,1.416
174,2837,401191.66,87,0.4804,141.414,3.0666,0.8764
175,2683,391878.62,108,0.4543,146.0599,4.0253,1.1504
176,3032,476897.8,145,0.5134,157.2882,4.7823,1.3668
177,2364,288088.8,109,0.4003,121.865,4.6108,1.3177
178,2068,221811.81,88,0.3502,107.2591,4.2553,1.2161
179,2177,242488.95,66,0.3686,111.3867,3.0317,0.8664
180,2618,401072.06,98,0.4433,153.1979,3.7433,1.0698
181,2739,422578.53,122,0.4638,154.282,4.4542,1.273
182,2754,472199.8,119,0.4664,171.4596,4.321,1.2349
