dt_day,transactions,fraud_count,fraud_rate,rolling_fraud_count,rolling_fraud_rate,rolling_std_fraud_count,fraud_count_dod_growth,fraud_count_rolling_diff,fraud_spike
25,5742,63,1.0972,108.7143,1.8325,30.1757,-0.1711,-45.714299999999994,0
26,3458,82,2.3713,103.5714,1.8662,31.3733,0.3016,-21.571399999999997,0
27,3585,100,2.7894,98.5714,1.9293,28.1535,0.2195,1.428600000000003,0
28,3332,150,4.5018,103.4286,2.2805,33.9895,0.5,46.5714,0
29,4302,129,2.9986,100.8571,2.4024,30.6617,-0.14,28.142899999999997,0
30,3371,158,4.687,108.2857,2.8141,37.6241,0.2248,49.714299999999994,0
31,2982,149,4.9966,118.7143,3.3488,37.2993,-0.057,30.285700000000006,0
32,2387,51,2.1366,117.0,3.4973,40.431,-0.6577,-66.0,0
33,3403,123,3.6145,122.8571,3.6749,37.3695,1.4118,0.14289999999999736,0
34,4264,159,3.7289,131.2857,3.8091,38.0031,0.2927,27.71430000000001,0
35,3830,120,3.1332,127.0,3.6136,37.2245,-0.2453,-7.0,0
36,3571,135,3.7805,127.8571,3.7253,37.3471,0.125,7.142899999999997,0
37,3030,126,4.1584,123.2857,3.6498,34.9224,-0.0667,2.7142999999999944,0
38,2544,110,4.3239,117.7143,3.5537,33.205,-0.127,-7.714299999999994,0
39,3017,117,3.878,127.1429,3.8025,16.0357,0.0636,-10.142899999999997,0
40,2914,109,3.7406,125.1429,3.8205,17.4492,-0.0684,-16.142899999999997,0
41,2962,121,4.0851,119.7143,3.8714,9.0501,0.1101,1.2857000000000056,0
42,2881,85,2.9504,114.7143,3.8453,15.9239,-0.2975,-29.714299999999994,0
43,3606,160,4.437,118.2857,3.9391,22.6253,0.8824,41.714299999999994,0
44,2786,119,4.2714,117.2857,3.9552,22.3809,-0.2562,1.7142999999999944,0
45,2300,100,4.3478,115.8571,3.9586,23.2266,-0.1597,-15.857100000000003,0
46,2786,117,4.1996,115.8571,4.0046,23.2266,0.17,1.1428999999999974,0
47,2971,91,3.0629,113.2857,3.9077,25.0381,-0.2222,-22.285700000000006,0
48,3062,115,3.7557,112.4286,3.8607,24.8318,0.2637,2.571399999999997,0
49,3053,121,3.9633,117.5714,4.0054,21.7398,0.0522,3.428600000000003,0
50,3336,175,5.2458,119.7143,4.1209,26.7751,0.4463,55.285700000000006,1
51,2826,148,5.2371,123.8571,4.2589,28.8122,-0.1543,24.142899999999997,0
52,2333,114,4.8864,125.8571,4.3358,27.3278,-0.2297,-11.857100000000003,0
53,2908,79,2.7166,120.4286,4.124,32.6387,-0.307,-41.4286,0
54,2798,112,4.0029,123.4286,4.2583,30.3692,0.4177,-11.428600000000003,0
55,2771,76,2.7427,117.8571,4.1135,35.3432,-0.3214,-41.8571,0
56,2789,158,5.6651,123.1429,4.3567,38.5159,1.0789,34.8571,0
57,3274,109,3.3293,113.7143,4.0829,31.0629,-0.3101,-4.714299999999994,0
58,2681,102,3.8046,107.1429,3.8782,27.2301,-0.0642,-5.142899999999997,0
59,2402,168,6.9942,114.8571,4.1793,35.7977,0.6471,53.1429,0
60,2932,108,3.6835,119.0,4.3175,32.4808,-0.3571,-11.0,0
61,3111,112,3.6001,119.0,4.2599,32.4808,0.037,-7.0,0
62,3057,165,5.3974,131.7143,4.6392,30.1812,0.4732,33.28569999999999,0
63,3975,163,4.1006,132.4286,4.4157,30.9562,-0.0121,30.57140000000001,0
64,4317,234,5.4204,150.2857,4.7144,47.0557,0.4356,83.71430000000001,0
65,3209,183,5.7027,161.8571,4.9856,42.9862,-0.2179,21.142899999999997,0
66,2584,85,3.2895,150.0,4.4563,51.5946,-0.5355,-65.0,0
67,3223,120,3.7232,151.7143,4.462,50.1455,0.4118,-31.71430000000001,0
68,3158,111,3.5149,151.5714,4.4498,50.2787,-0.075,-40.57140000000001,0
69,3130,118,3.77,144.8571,4.2173,51.3142,0.0631,-26.857100000000003,0
70,2913,145,4.9777,142.2857,4.3426,50.7008,0.2288,2.7143000000000086,0
71,3267,152,4.6526,130.5714,4.2329,32.0045,0.0483,21.42859999999999,0
72,2744,94,3.4257,117.8571,3.9077,24.5046,-0.3816,-23.857100000000003,0
73,2304,135,5.8594,125.0,4.2748,20.2485,0.4362,10.0,0
74,3122,120,3.8437,125.0,4.292,20.2485,-0.1111,-5.0,0
75,3054,110,3.6018,124.8571,4.3044,20.3669,-0.0833,-14.857100000000003,0
76,3456,144,4.1667,128.5714,4.3611,21.2592,0.3091,15.428599999999989,0
77,3006,125,4.1583,125.7143,4.244,19.9893,-0.1319,-0.7142999999999944,0
78,3166,100,3.1586,118.2857,4.0306,18.1725,-0.2,-18.285700000000006,0
79,2688,113,4.2039,121.0,4.1418,15.0997,0.13,-8.0,0
80,2204,66,2.9946,111.1429,3.7325,24.2104,-0.4159,-45.1429,0
81,2863,105,3.6675,109.0,3.7073,23.9583,0.5909,-4.0,0
82,2970,95,3.1987,106.8571,3.6498,24.5182,-0.0952,-11.857100000000003,0
83,2934,81,2.7607,97.8571,3.4489,19.7013,-0.1474,-16.857100000000003,0
84,3350,116,3.4627,96.5714,3.3495,17.8406,0.4321,19.428600000000003,0
85,3574,187,5.2322,109.0,3.6458,38.7169,0.6121,78.0,1
86,2661,125,4.6975,110.7143,3.7163,39.1864,-0.3316,14.285700000000006,0
87,2549,99,3.8839,115.4286,3.8433,34.6307,-0.208,-16.428600000000003,0
88,3021,75,2.4826,111.1429,3.674,37.8437,-0.2424,-36.1429,0
89,3226,114,3.5338,113.8571,3.7219,37.1682,0.52,0.14289999999999736,0
90,3353,132,3.9368,121.1429,3.8899,34.5612,0.1579,10.857100000000003,0
91,4007,180,4.4921,130.2857,4.037,40.8645,0.3636,49.71430000000001,0
92,6252,147,2.3512,124.5714,3.6254,33.7977,-0.1833,22.428600000000003,0
93,4524,151,3.3378,128.2857,3.4312,35.2501,0.0272,22.71430000000001,0
94,2931,81,2.7636,125.7143,3.2711,38.2697,-0.4636,-44.714299999999994,0
95,3711,150,4.042,136.4286,3.4939,31.6273,0.8519,13.571400000000011,0
96,3243,91,2.806,133.1429,3.3899,35.3243,-0.3933,-42.1429,0
97,3102,135,4.352,133.5714,3.4492,35.3264,0.4835,1.4285999999999888,0
98,3666,129,3.5188,126.2857,3.3102,28.8139,-0.0444,2.7142999999999944,0
99,3301,105,3.1809,120.2857,3.4287,28.1467,-0.186,-15.285700000000006,0
100,3052,100,3.2765,113.0,3.42,25.3311,-0.0476,-13.0,0
101,2500,68,2.72,111.1429,3.4137,28.3633,-0.32,-43.1429,0
102,3166,105,3.3165,104.7143,3.3101,22.6032,0.5441,0.2857000000000056,0
103,3101,97,3.128,105.5714,3.3561,22.1047,-0.0762,-8.571399999999997,0
104,3115,111,3.5634,102.1429,3.2434,18.316,0.1443,8.857100000000003,0
105,3034,132,4.3507,102.5714,3.3623,19.0688,0.1892,29.428600000000003,0
106,3221,152,4.719,109.2857,3.582,26.7813,0.1515,42.714299999999994,0
107,2809,127,4.5212,113.1429,3.7598,27.1626,-0.1645,13.857100000000003,0
108,2287,96,4.1976,117.1429,3.9709,20.6997,-0.2441,-21.142899999999997,0
109,3151,133,4.2209,121.1429,4.1001,20.6674,0.3854,11.857100000000003,0
110,3018,117,3.8767,124.0,4.2071,17.9815,-0.1203,-7.0,0
111,3180,102,3.2075,122.7143,4.1562,19.3366,-0.1282,-20.714299999999994,0
112,3225,139,4.3101,123.7143,4.1504,20.0642,0.3627,15.285700000000006,0
113,3227,161,4.9892,125.0,4.189,22.3383,0.1583,36.0,0
114,2758,150,5.4387,128.2857,4.3201,24.288,-0.0683,21.71430000000001,0
115,2461,139,5.6481,134.4286,4.5273,19.7809,-0.0733,4.571400000000011,0
116,3111,163,5.2395,138.7143,4.6728,22.4849,0.1727,24.28569999999999,0
117,3042,194,6.3774,149.7143,5.0301,28.2,0.1902,44.28569999999999,0
118,3179,117,3.6804,151.8571,5.0976,24.2654,-0.3969,-34.8571,0
119,3300,145,4.3939,152.7143,5.1096,23.8377,0.2393,-7.714300000000009,0
120,3941,181,4.5927,155.5714,5.053,26.0887,0.2483,25.42859999999999,0
121,3017,121,4.0106,151.4286,4.8489,29.2339,-0.3315,-30.42859999999999,0
122,2507,64,2.5529,140.7143,4.4068,44.3723,-0.4711,-76.71430000000001,0
123,3390,128,3.7758,135.7143,4.1977,43.404,1.0,-7.714300000000009,0
124,4202,89,2.118,120.7143,3.5892,37.6684,-0.3047,-31.714299999999994,0
125,3467,148,4.2688,125.1429,3.6732,38.9591,0.6629,22.857100000000003,0
126,3051,102,3.3432,119.0,3.5231,38.6954,-0.3108,-17.0,0
127,3335,84,2.5187,105.1429,3.2269,28.9277,-0.1765,-21.142899999999997,0
128,2507,69,2.7523,97.7143,3.0471,30.7935,-0.1786,-28.714299999999994,0
129,2348,130,5.5366,107.1429,3.4733,28.7891,0.8841,22.857100000000003,0
130,2807,95,3.3844,102.4286,3.4174,27.4764,-0.2692,-7.428600000000003,0
131,2822,105,3.7208,104.7143,3.6464,26.831,0.1053,0.2857000000000056,0
132,2752,108,3.9244,99.0,3.5972,19.27,0.0286,9.0,0
133,2687,136,5.0614,103.8571,3.8427,23.8846,0.2593,32.1429,0
134,2937,103,3.507,106.5714,3.9838,22.2775,-0.2426,-3.571399999999997,0
135,2429,90,3.7052,109.5714,4.12,17.213,-0.1262,-19.571399999999997,0
136,2048,73,3.5645,101.4286,3.8382,19.2947,-0.1889,-28.428600000000003,0
137,2914,69,2.3679,97.7143,3.693,22.9035,-0.0548,-28.714299999999994,0
138,2846,112,3.9353,98.7143,3.7237,23.4216,0.6232,13.285700000000006,0
139,2769,61,2.203,92.0,3.4778,26.808,-0.4554,-31.0,0
140,2629,103,3.9178,87.2857,3.3144,19.7544,0.6885,15.714299999999994,0
141,3000,131,4.3667,91.2857,3.4372,25.4736,0.2718,39.714299999999994,0
142,2391,103,4.3078,93.1429,3.5233,25.8356,-0.2137,9.857100000000003,0
143,2064,71,3.4399,92.8571,3.5055,26.1051,-0.3107,-21.857100000000003,0
144,2718,90,3.3113,95.8571,3.6403,24.0307,0.2676,-5.857100000000003,0
145,2668,67,2.5112,89.4286,3.4368,24.9924,-0.2556,-22.428600000000003,0
146,2990,98,3.2776,94.7143,3.5903,21.6696,0.4627,3.2857000000000056,0
147,2718,79,2.9065,91.2857,3.4459,22.0357,-0.1939,-12.285700000000006,0
148,3060,86,2.8105,84.8571,3.2235,13.3844,0.0886,1.1428999999999974,0
149,2289,66,2.8834,79.5714,3.0201,12.2863,-0.2326,-13.571399999999997,0
150,2209,69,3.1236,79.2857,2.9749,12.5395,0.0455,-10.285700000000006,0
151,3101,99,3.1925,80.5714,2.9579,14.1758,0.4348,18.428600000000003,0
152,3896,120,3.0801,88.1429,3.0392,19.0388,0.2121,31.857100000000003,0
153,3105,126,4.058,92.1429,3.1507,23.8008,0.05,33.8571,0
154,3783,94,2.4848,94.2857,3.0904,23.0847,-0.254,-0.2857000000000056,0
155,3352,119,3.5501,99.0,3.1961,24.4404,0.266,20.0,0
156,2575,54,2.0971,97.2857,3.0837,27.3844,-0.5462,-43.285700000000006,0
157,2259,69,3.0544,97.2857,3.0739,27.3844,0.2778,-28.285700000000006,0
158,3048,81,2.6575,94.7143,2.9974,28.034,0.1739,-13.714299999999994,0
159,2845,89,3.1283,90.2857,3.0043,25.7275,0.0988,-1.2857000000000056,0
160,2878,85,2.9534,84.4286,2.8465,20.3458,-0.0449,0.571399999999997,0
161,2854,68,2.3826,80.7143,2.8319,20.6778,-0.2,-12.714299999999994,0
162,3233,114,3.5261,80.0,2.8285,19.1659,0.6765,34.0,0
163,2880,136,4.7222,91.7143,3.2035,24.8443,0.193,44.285700000000006,0
164,2988,77,2.577,92.8571,3.1353,23.7868,-0.4338,-15.857100000000003,0
165,3038,73,2.4029,91.7143,3.0989,24.6287,-0.0519,-18.714299999999994,0
166,2931,94,3.2071,92.4286,3.1102,24.6093,0.2877,1.571399999999997,0
167,3020,119,3.9404,97.2857,3.2512,26.2025,0.266,21.714299999999994,0
168,2948,116,3.9349,104.1429,3.4729,23.3911,-0.0252,11.857100000000003,0
169,3191,146,4.5754,108.7143,3.6228,28.259,0.2586,37.285700000000006,0
170,2409,101,4.1926,103.7143,3.5472,25.5976,-0.3082,-2.7142999999999944,0
171,2795,68,2.4329,102.4286,3.5266,27.3304,-0.3267,-34.4286,0
172,3160,81,2.5633,103.5714,3.5495,26.0311,0.1912,-22.571399999999997,0
173,2866,142,4.9546,110.4286,3.7992,29.2168,0.7531,31.571399999999997,0
174,2837,87,3.0666,105.8571,3.6743,30.1409,-0.3873,-18.857100000000003,0
175,2683,108,4.0253,104.7143,3.6872,29.8424,0.2414,3.2857000000000056,0
176,3032,145,4.7823,104.5714,3.7168,29.6134,0.3426,40.4286,0
177,2364,109,4.6108,105.7143,3.7765,29.6069,-0.2483,3.2857000000000056,0
178,2068,88,4.2553,108.5714,4.0369,26.1206,-0.1927,-20.571399999999997,0
179,2177,66,3.0317,106.4286,4.1038,29.1939,-0.25,-40.4286,0
180,2618,98,3.7433,100.1429,3.9308,24.6403,0.4848,-2.1428999999999974,0
181,2739,122,4.4542,105.1429,4.129,25.0761,0.2449,16.857100000000003,0
182,2754,119,4.321,106.7143,4.1712,25.6236,-0.0246,12.285700000000006,0
