feature_name,anova_f_value,p_value,predictive_strength
V77,278.2453918457031,0.0,Strong
V111,275.49774169921875,0.0,Strong
V186,267.3601989746094,0.0,Strong
V262,259.08685302734375,0.0,Strong
V153,250.76101684570312,0.0,Strong
V112,245.33511352539062,0.0,Strong
V184,242.71206665039062,0.0,Strong
V29,239.02828979492188,0.0,Strong
V90,238.9676971435547,0.0,Strong
V48,234.0853271484375,0.0,Strong
V185,226.55421447753906,0.0,Strong
V69,223.37393188476562,0.0,Strong
V49,223.1613311767578,0.0,Strong
V91,218.11744689941406,0.0,Strong
V146,215.6225128173828,0.0,Strong
V30,215.24862670898438,0.0,Strong
V124,212.53237915039062,0.0,Strong
V229,208.4193115234375,0.0,Strong
V260,207.38494873046875,0.0,Strong
V70,206.404541015625,0.0,Strong
V249,203.56814575195312,0.0,Strong
V108,202.34375,1.401298464324817e-45,Strong
V139,186.10447692871094,3.1907566032676085e-42,Strong
V238,185.8184051513672,3.6812110657812944e-42,Strong
V114,182.74098205566406,1.7095841264762768e-41,Strong
V281,180.59901428222656,4.979373963131805e-41,Strong
D8,178.42926025390625,1.4707748421860415e-40,Strong
V245,169.00962829589844,1.6234642464945737e-38,Strong
V110,158.86668395996094,2.581056887901331e-36,Strong
D1,158.02012634277344,3.9409972724046374e-36,Strong
D15,146.2691192626953,1.4071264310067808e-33,Strong
V261,139.50949096679688,4.148606678547041e-32,Strong
V67,134.62371826171875,4.793344817596644e-31,Strong
V116,132.59030151367188,1.3276443210616482e-30,Strong
D10,130.8386993408203,3.1935525835004174e-30,Strong
V256,98.93693542480469,2.8797228505573717e-23,Strong
D2,98.67716979980469,3.281660419086323e-23,Strong
V35,94.08611297607422,3.305989078729956e-22,Strong
V248,93.75860595703125,3.898445832874027e-22,Strong
V62,93.40300750732422,4.662577400220426e-22,Strong
D7,84.91650390625,3.3501784160677956e-20,Strong
V235,84.0206069946289,5.2625734633809395e-20,Strong
V109,83.205078125,7.938907288008311e-20,Strong
V251,80.07411193847656,3.8506795553294904e-19,Strong
V191,79.85990905761719,4.290112793399751e-19,Strong
D4,78.34642028808594,9.207138535223081e-19,Strong
V83,72.9261245727539,1.4213808424968198e-17,Strong
V315,71.37041473388672,3.119634256138409e-17,Strong
V220,68.00875854492188,1.7069274280681672e-16,Strong
V36,67.0168685913086,2.8191273481828765e-16,Strong
V289,65.70325469970703,5.47991194539281e-16,Strong
V56,60.83197021484375,6.457773684152629e-15,Strong
V75,60.81428909301758,6.515893273344956e-15,Strong
V301,58.67294692993164,1.9291946173698692e-14,Strong
V313,56.14590835571289,6.95166512787275e-14,Strong
V141,56.095428466796875,7.132049264320026e-14,Strong
V169,56.03468322753906,7.355335280732553e-14,Strong
V255,55.24536895751953,1.0979714045507988e-13,Strong
V115,52.95235061645508,3.518124647942239e-13,Strong
V288,52.38640213012695,4.690230951016894e-13,Strong
V117,50.67044448852539,1.1220273841983097e-12,Strong
D5,49.99643325805664,1.5807586359675718e-12,Strong
V254,47.20808410644531,6.53345823622975e-12,Strong
V12,46.35713195800781,1.007788037049595e-11,Strong
V53,46.244102478027344,1.0675205511234687e-11,Strong
V119,45.545989990234375,1.5235555872461504e-11,Strong
V76,45.14115905761719,1.872685860548895e-11,Strong
V196,44.76243209838867,2.271482828219984e-11,Strong
V55,43.920692443847656,3.489107613940945e-11,Strong
V250,42.378936767578125,7.662098733263178e-11,Strong
V232,39.17082595825195,3.946027116175088e-10,Strong
V314,37.267330169677734,1.0451171039704832e-09,Strong
V118,34.71287155151367,3.869902620579069e-09,Strong
V161,33.17512130737305,8.5208320399488e-09,Strong
D9,33.1077766418457,8.820713048862672e-09,Strong
V13,32.68716812133789,1.094819968017191e-08,Strong
V20,32.4373664855957,1.2447730846076865e-08,Strong
V10,32.41389465332031,1.2598793119877882e-08,Strong
V142,32.25952911376953,1.3639076534843753e-08,Strong
V61,31.544824600219727,1.9695917785611528e-08,Strong
V11,31.461776733398438,2.055546133306052e-08,Strong
V163,30.74201774597168,2.9769058329520703e-08,Strong
V66,30.66875648498535,3.091307831937229e-08,Strong
V300,30.564517974853516,3.261716585711838e-08,Strong
V162,30.380508422851562,3.5858310099001756e-08,Strong
V54,29.698841094970703,5.094157629059737e-08,Strong
V312,29.049224853515625,7.120065248500396e-08,Strong
D3,29.036903381347656,7.165442639234243e-08,Strong
V138,28.984994888305664,7.359812315144154e-08,Strong
V227,28.90235137939453,7.6802301407497e-08,Strong
V218,28.099807739257812,1.1619439987953228e-07,Strong
V82,27.56552505493164,1.531022348899569e-07,Strong
D13,27.180912017822266,1.8675196145068185e-07,Strong
C9,25.71671485900879,3.982113128131459e-07,Strong
V233,25.71464729309082,3.986377237197303e-07,Strong
V217,24.73874282836914,6.608609055547277e-07,Strong
V219,24.550119400024414,7.287450216608704e-07,Strong
V236,23.19955062866211,1.46886134189117e-06,Strong
C5,22.974611282348633,1.6509795841557207e-06,Strong
V237,22.464527130126953,2.1523790110222762e-06,Strong
V271,22.1461124420166,2.5401930088264635e-06,Strong
V241,21.605876922607422,3.3653309401415754e-06,Strong
V150,20.91798973083496,4.81670531371492e-06,Strong
V160,20.177915573120117,7.0878732003620826e-06,Strong
V145,20.09762954711914,7.391469353024149e-06,Strong
V272,20.01643943786621,7.711764737905469e-06,Strong
V276,19.552404403686523,9.828992915572599e-06,Strong
C2,19.254919052124023,1.1484335118439049e-05,Strong
V231,19.13751792907715,1.2212226465635467e-05,Strong
V159,18.865203857421875,1.4084053873375524e-05,Strong
D11,17.923110961914062,2.308319199073594e-05,Strong
V65,17.51786994934082,2.8559245038195513e-05,Strong
V19,17.471033096313477,2.9271046514622867e-05,Strong
D6,17.129127502441406,3.5036940971622244e-05,Strong
V151,16.11631202697754,5.974246596451849e-05,Strong
V181,15.646401405334473,7.65682925703004e-05,Strong
V290,15.48742961883545,8.328039984917268e-05,Strong
V278,15.236040115356445,9.512421820545569e-05,Strong
V214,14.890637397766113,0.0001142131004598923,Strong
V284,14.415055274963379,0.00014697170990984887,Strong
V193,13.909847259521484,0.00019221460388507694,Strong
V165,13.441317558288574,0.0002466524310875684,Strong
C8,13.249542236328125,0.00027319605578668416,Strong
C12,12.909552574157715,0.0003275371273048222,Strong
C4,12.775056838989258,0.00035193332587368786,Strong
V152,12.7338285446167,0.0003597727045416832,Strong
C1,12.18916130065918,0.00048150893417187035,Strong
V270,11.683430671691895,0.0006315965438261628,Strong
V144,11.604447364807129,0.0006589784170500934,Strong
V9,11.35740852355957,0.0007526124245487154,Strong
V192,11.344807624816895,0.0007577338255941868,Strong
V187,10.944262504577637,0.000940264668315649,Strong
V99,10.776585578918457,0.0010293314699083567,Strong
C10,10.398321151733398,0.0012629192788153887,Strong
C11,10.09730339050293,0.0014866710407659411,Strong
V5,10.01192855834961,0.001557158655487001,Strong
V309,9.82863998413086,0.0017201426671817899,Strong
V277,9.276556015014648,0.0023234712425619364,Strong
C7,9.009944915771484,0.0026877960190176964,Strong
V253,8.792621612548828,0.003027368802577257,Strong
V213,8.687931060791016,0.0032061997335404158,Strong
V212,8.573248863220215,0.003414455335587263,Strong
V26,7.7141828536987305,0.005482946988195181,Strong
V204,7.654338836669922,0.005667754448950291,Strong
D14,7.587898254394531,0.005880390759557486,Strong
V211,7.064557075500488,0.007867376320064068,Strong
V98,7.007894039154053,0.008120196871459484,Strong
V14,6.9208197593688965,0.008525015786290169,Strong
V131,6.745739936828613,0.00940268486738205,Strong
V203,6.717510223388672,0.00955263338983059,Strong
V178,6.638221263885498,0.009987037628889084,Strong
V179,6.581254005432129,0.010311604477465153,Weak
V263,6.537712097167969,0.010566961020231247,Weak
V168,6.266249656677246,0.012312260456383228,Weak
V120,6.235988616943359,0.012524349614977837,Weak
V202,5.896578788757324,0.015177330933511257,Weak
V234,5.673084259033203,0.017234576866030693,Weak
V7,5.638803482055664,0.017574695870280266,Weak
V3,5.590950965881348,0.018061088398098946,Weak
V8,5.349181652069092,0.020740076899528503,Weak
V177,5.261274337768555,0.021813303232192993,Weak
C6,5.057943820953369,0.024521974846720695,Weak
V143,4.890817165374756,0.027008915320038795,Weak
V129,4.869792938232422,0.027339834719896317,Weak
V285,4.835451126098633,0.027889471501111984,Weak
V104,4.770495414733887,0.028960753232240677,Weak
V209,4.748870849609375,0.029326830059289932,Weak
V167,4.615425109863281,0.03169521689414978,Weak
V88,4.499279975891113,0.033918943256139755,Weak
C13,4.481271266937256,0.03427807241678238,Weak
V292,4.463015556335449,0.03464618697762489,Weak
V164,4.203798294067383,0.04034394770860672,Weak
V122,4.142445087432861,0.04183124750852585,Weak
V174,4.12997579574585,0.042140502482652664,Weak
V265,4.053910732269287,0.04407984018325806,Weak
V324,3.6130850315093994,0.0573381744325161,Weak
V323,3.5400233268737793,0.05991622805595398,Weak
V107,3.490365743637085,0.06173863634467125,Weak
V333,3.4120519161224365,0.06473372876644135,Weak
C3,3.3508188724517822,0.0671834871172905,Weak
V332,3.3216538429260254,0.06838495284318924,Weak
V275,3.3042619228363037,0.06911234557628632,Weak
V287,3.1848056316375732,0.07433795928955078,Weak
V173,3.1301023960113525,0.0768711045384407,Weak
V273,3.0726356506347656,0.07963254302740097,Weak
V269,2.9968695640563965,0.08343790471553802,Weak
V322,2.9417879581451416,0.08632753044366837,Weak
V216,2.9176361560821533,0.08762854337692261,Weak
V331,2.8520824909210205,0.0912681296467781,Weak
V166,2.5665876865386963,0.1091555655002594,Weak
V329,2.510350227355957,0.11311344057321548,Weak
V274,2.31294322013855,0.1283135563135147,Weak
V208,2.07527232170105,0.14971573650836945,Weak
V4,1.9610308408737183,0.16141553223133087,Weak
V206,1.9600309133529663,0.16152241826057434,Weak
V320,1.9427131414413452,0.16338664293289185,Weak
V130,1.8320341110229492,0.1758997142314911,Weak
V266,1.784633994102478,0.18159349262714386,Weak
V182,1.7673052549362183,0.18372805416584015,Weak
D12,1.6701865196228027,0.19624550640583038,Weak
V327,1.6379307508468628,0.20062148571014404,Weak
V326,1.6233875751495361,0.20263193547725677,Weak
V297,1.5555444955825806,0.21233047544956207,Weak
V330,1.5507699251174927,0.21303348243236542,Weak
V338,1.5234907865524292,0.21710360050201416,Weak
V180,1.4018985033035278,0.23641721904277802,Weak
V264,1.30184805393219,0.2538868486881256,Weak
V207,1.2503409385681152,0.26349812746047974,Weak
V96,1.1810694932937622,0.2771488428115845,Weak
V296,1.118289828300476,0.2902972102165222,Weak
V175,1.0329476594924927,0.30947718024253845,Weak
V291,0.9818663001060486,0.3217480778694153,Weak
V102,0.9607945084571838,0.3269962668418884,Weak
V226,0.9464778304100037,0.33062687516212463,Weak
V6,0.9457757472991943,0.33080628514289856,Weak
V103,0.944517970085144,0.3311280310153961,Weak
V267,0.9283676147460938,0.33529677987098694,Weak
V268,0.8958126902580261,0.343916118144989,Weak
V293,0.8841978311538696,0.3470635712146759,Weak
V2,0.8503661155700684,0.3564576804637909,Weak
V101,0.8167823553085327,0.36613133549690247,Weak
V97,0.7882921695709229,0.374625563621521,Weak
V132,0.7567639350891113,0.3843514919281006,Weak
V279,0.7017385363578796,0.402208149433136,Weak
V334,0.7012647986412048,0.4023670256137848,Weak
V336,0.6926279664039612,0.40527990460395813,Weak
V172,0.6788020730018616,0.41000738739967346,Weak
V321,0.6314513087272644,0.4268310070037842,Weak
V95,0.6271231770515442,0.4284200370311737,Weak
V126,0.5897313356399536,0.4425302743911743,Weak
V316,0.5729468464851379,0.4490974247455597,Weak
V339,0.5667383074760437,0.4515650272369385,Weak
V298,0.5489280819892883,0.4587629735469818,Weak
V295,0.5419277548789978,0.4616418182849884,Weak
V127,0.5414361953735352,0.4618450403213501,Weak
V205,0.537006676197052,0.46368277072906494,Weak
V133,0.5359790325164795,0.464110791683197,Weak
V134,0.4879230260848999,0.4848617613315582,Weak
V299,0.43574967980384827,0.5091871619224548,Weak
V306,0.39112919569015503,0.5317121744155884,Weak
V335,0.39069411158561707,0.5319404602050781,Weak
V89,0.37846115231513977,0.5384335517883301,Weak
C14,0.36514055728912354,0.5456705689430237,Weak
V280,0.35382455587387085,0.5519614815711975,Weak
V27,0.3476295471191406,0.5554633736610413,Weak
V319,0.34049245715141296,0.5595503449440002,Weak
V28,0.3291302025318146,0.5661768913269043,Weak
V135,0.3090788722038269,0.5782509446144104,Weak
V128,0.27908796072006226,0.5973042845726013,Weak
V106,0.26395609974861145,0.6074197292327881,Weak
V68,0.2316642701625824,0.6302967667579651,Weak
V100,0.23030421137809753,0.631302535533905,Weak
V137,0.22402150928974152,0.6359968185424805,Weak
V294,0.21171186864376068,0.6454329490661621,Weak
V325,0.15099310874938965,0.6975914239883423,Weak
V225,0.14070932567119598,0.707580029964447,Weak
V337,0.09876175969839096,0.7533232569694519,Weak
V310,0.09041419625282288,0.7636537551879883,Weak
V286,0.07914480566978455,0.7784620523452759,Weak
V223,0.06926420331001282,0.7924132943153381,Weak
V328,0.05957385525107384,0.8071727752685547,Weak
V210,0.031702443957328796,0.8586837649345398,Weak
V318,0.02254331111907959,0.8806519508361816,Weak
V308,0.016091179102659225,0.8990593552589417,Weak
V105,0.016034293919801712,0.8992369771003723,Weak
V317,0.015786336734890938,0.9000149965286255,Weak
V136,0.011164362542331219,0.9158517122268677,Weak
V224,0.006226178724318743,0.9371079206466675,Weak
V311,0.0054449462331831455,0.9411781430244446,Weak
V183,0.0016389103839173913,0.9677079916000366,Weak
V307,0.0001545625418657437,0.9900807738304138,Weak
V240,0.0,1.0,Weak
V215,0.0,1.0,Weak
V41,0.0,1.0,Weak
V25,0.0,1.0,Weak
V121,-0.43761706352233887,1.0,Weak
V305,-24998.0,1.0,Weak
V1,-24998.0,1.0,Weak
