feature_name,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,outlier_percentage
V45,421571.0,1.1207791566848755,0.7300524115562439,0.0,1.0,1.0,1.0,48.0,23.2186,886.2707,8.1941
V46,421571.0,1.0222856998443604,0.1671934872865677,0.0,1.0,1.0,1.0,6.0,7.7628,84.5931,2.2117
V47,421571.0,1.0385154485702515,0.23251453042030334,0.0,1.0,1.0,1.0,12.0,10.0419,243.065,3.5705
V48,421571.0,0.3831738829612732,0.5090146660804749,0.0,0.0,0.0,1.0,5.0,0.7674,-0.5403,0.0697
V49,421571.0,0.3977242410182953,0.5414194464683533,0.0,0.0,0.0,1.0,5.0,1.1254,1.7742,0.2268
V50,421571.0,0.16474567353725433,0.3743216097354889,0.0,0.0,0.0,0.0,5.0,1.911,2.3701,16.3885
V51,421571.0,0.17057862877845764,0.40307721495628357,0.0,0.0,0.0,0.0,6.0,2.4138,6.9758,16.1418
V52,421571.0,0.182695209980011,0.43931087851524353,0.0,0.0,0.0,0.0,12.0,3.2988,28.5571,16.6838
V53,513444.0,0.5775858759880066,0.5121671557426453,0.0,0.0,1.0,1.0,5.0,-0.0935,-1.3244,0.0304
V54,513444.0,0.6199819445610046,0.5332909226417542,0.0,0.0,1.0,1.0,6.0,0.0894,-0.3404,0.1356
V55,513444.0,1.067670464515686,0.3913706839084625,0.0,1.0,1.0,1.0,17.0,10.4216,169.7514,4.7142
V56,513444.0,1.1209790706634521,0.6616382002830505,0.0,1.0,1.0,1.0,51.0,23.5567,1118.0946,7.9354
V57,513444.0,0.12831194698810577,0.34841522574424744,0.0,0.0,0.0,0.0,6.0,2.6776,7.6846,12.3941
V58,513444.0,0.1324526071548462,0.37171071767807007,0.0,0.0,0.0,0.0,10.0,3.7931,31.962,12.4345
V59,513444.0,0.13443335890769958,0.37984704971313477,0.0,0.0,0.0,0.0,16.0,4.3801,55.3741,12.6222
V60,513444.0,0.142537459731102,0.41847801208496094,0.0,0.0,0.0,0.0,16.0,4.9929,59.108,12.6742
V61,513444.0,0.8297847509384155,0.43664082884788513,0.0,1.0,1.0,1.0,6.0,-0.5947,2.7215,21.2802
V62,513444.0,0.8675629496574402,0.4824810028076172,0.0,1.0,1.0,1.0,10.0,0.6064,11.0828,22.3843
V63,513444.0,0.13074259459972382,0.35438722372055054,0.0,0.0,0.0,0.0,7.0,2.829,10.8255,12.5589
V64,513444.0,0.1418246179819107,0.4064856171607971,0.0,0.0,0.0,0.0,7.0,3.8474,25.316,12.6172
V65,513444.0,0.9996630549430847,0.01834985241293907,0.0,1.0,1.0,1.0,1.0,-54.4509,2962.9136,0.0337
V66,513444.0,0.9810378551483154,0.21586979925632477,0.0,1.0,1.0,1.0,7.0,-0.8142,29.5515,4.4143
V67,513444.0,0.9981205463409424,0.24590519070625305,0.0,1.0,1.0,1.0,8.0,1.326,32.0673,5.2561
V68,513444.0,0.0005336512112990022,0.023753952234983444,0.0,0.0,0.0,0.0,2.0,46.6884,2351.7954,0.0518
V69,513444.0,0.39020028710365295,0.5131876468658447,0.0,0.0,0.0,1.0,5.0,0.7948,-0.2597,0.096
V70,513444.0,0.40792375802993774,0.5543841123580933,0.0,0.0,0.0,1.0,6.0,1.2288,2.6514,0.3364
V71,513444.0,0.14063851535320282,0.364236980676651,0.0,0.0,0.0,0.0,6.0,2.5562,7.154,13.56
V72,513444.0,0.1451239138841629,0.38880056142807007,0.0,0.0,0.0,0.0,10.0,3.6107,28.5901,13.6009
V73,513444.0,0.1399821639060974,0.3672165870666504,0.0,0.0,0.0,0.0,7.0,2.6464,8.1394,13.3721
V74,513444.0,0.1521470695734024,0.3935275077819824,0.0,0.0,0.0,0.0,8.0,2.8131,10.5998,14.1332
V75,501376.0,0.5442781448364258,0.5153036117553711,0.0,0.0,1.0,1.0,4.0,0.0177,-1.4625,0.0301
V76,501376.0,0.5875570178031921,0.5385186076164246,0.0,0.0,1.0,1.0,6.0,0.176,-0.5133,0.1386
V77,501376.0,1.08689284324646,0.5325122475624084,0.0,1.0,1.0,1.0,30.0,13.2327,297.5111,5.3736
V78,501376.0,1.1444624662399292,0.7809887528419495,0.0,1.0,1.0,1.0,31.0,15.2702,355.2057,8.6683
V79,501376.0,0.13686734437942505,0.380280464887619,0.0,0.0,0.0,0.0,7.0,3.8869,32.7042,12.8794
V80,501376.0,0.1439538449048996,0.4104078412055969,0.0,0.0,0.0,0.0,19.0,5.6879,95.4909,13.2922
V81,501376.0,0.15269577503204346,0.4525054097175598,0.0,0.0,0.0,0.0,19.0,5.9424,85.3996,13.308
V82,501376.0,0.8446096181869507,0.4219515919685364,0.0,1.0,1.0,1.0,7.0,-0.7118,2.8577,19.6986
V83,501376.0,0.8819648623466492,0.4719190299510956,0.0,1.0,1.0,1.0,7.0,0.561,10.6441,20.8939
V84,501376.0,0.13714458048343658,0.36265066266059875,0.0,0.0,0.0,0.0,7.0,2.7138,10.0405,13.1897
V85,501376.0,0.1497877836227417,0.41993167996406555,0.0,0.0,0.0,0.0,7.0,3.742,23.232,13.2182
V86,501376.0,1.0648853778839111,0.4207763671875,0.0,1.0,1.0,1.0,30.0,16.9305,547.1437,4.8796
V87,501376.0,1.0994563102722168,0.5106638073921204,0.0,1.0,1.0,1.0,30.0,14.8045,405.0732,7.5129
V88,501376.0,0.9992460608482361,0.027437403798103333,0.0,1.0,1.0,1.0,1.0,-36.3786,1321.4054,0.0754
V89,501376.0,0.000901519029866904,0.031930845230817795,0.0,0.0,0.0,0.0,2.0,38.5888,1663.0986,0.0842
V90,501376.0,0.40186208486557007,0.5170817375183105,0.0,0.0,0.0,1.0,5.0,0.7425,-0.3376,0.0909
V91,501376.0,0.42046087980270386,0.5615558624267578,0.0,0.0,0.0,1.0,6.0,1.2463,3.0476,0.3291
V92,501376.0,0.1503223180770874,0.37652477622032166,0.0,0.0,0.0,0.0,7.0,2.5271,8.0637,14.4955
V93,501376.0,0.15481196343898773,0.40183067321777344,0.0,0.0,0.0,0.0,7.0,3.5892,27.4852,14.4965
V94,501376.0,0.1370069533586502,0.3446691334247589,0.0,0.0,0.0,0.0,2.0,2.1119,2.4625,13.6999
V95,590226.0,1.0380192995071411,21.0329532623291,0.0,0.0,0.0,0.0,880.0,30.2421,991.7738,13.5006
V96,590226.0,3.0051894187927246,40.2353401184082,0.0,0.0,0.0,1.0,1410.0,26.0292,728.4514,13.7922
V97,590226.0,1.71893310546875,27.698122024536133,0.0,0.0,0.0,0.0,976.0,25.3236,689.4806,23.0442
V98,590226.0,0.06198473274707794,0.2850525677204132,0.0,0.0,0.0,0.0,12.0,6.3882,69.8311,5.3546
V99,590226.0,0.8949859738349915,2.719714403152466,0.0,0.0,0.0,1.0,88.0,11.064,214.7354,10.1105
V100,590226.0,0.27350372076034546,0.9458988904953003,0.0,0.0,0.0,0.0,28.0,8.7351,128.2279,15.8758
V101,590226.0,0.8892492055892944,20.581689834594727,0.0,0.0,0.0,0.0,869.0,30.6312,1015.5787,5.7625
V102,590226.0,1.8272289037704468,35.92644500732422,0.0,0.0,0.0,0.0,1285.0,26.9902,780.8922,9.1939
V103,590226.0,1.2792879343032837,25.684072494506836,0.0,0.0,0.0,0.0,928.0,26.0312,731.1694,7.1978
V104,590226.0,0.08543337881565094,0.648590624332428,0.0,0.0,0.0,0.0,15.0,14.8838,266.031,4.5235
V105,590226.0,0.2811448574066162,3.3739778995513916,0.0,0.0,0.0,0.0,99.0,20.8914,463.3048,7.1966
V106,590226.0,0.16458441317081451,1.8247755765914917,0.0,0.0,0.0,0.0,55.0,19.4855,403.9864,5.4474
V107,590226.0,0.9995798468589783,0.020492875948548317,0.0,1.0,1.0,1.0,1.0,-48.754,2374.9644,0.042
V108,590226.0,1.0046135187149048,0.08102692663669586,0.0,1.0,1.0,1.0,7.0,17.8241,587.0112,0.5056
V109,590226.0,1.014816403388977,0.12742236256599426,0.0,1.0,1.0,1.0,7.0,9.7268,136.4216,1.4442
V110,590226.0,1.0077394247055054,0.09705860912799835,0.0,1.0,1.0,1.0,7.0,13.7511,315.8548,0.7904
V111,590226.0,1.0025634765625,0.07078608870506287,0.0,1.0,1.0,1.0,9.0,31.7075,2074.1072,0.2926
V112,590226.0,1.0053555965423584,0.08446446061134338,0.0,1.0,1.0,1.0,9.0,23.1461,1056.9551,0.5071
V113,590226.0,1.0033833980560303,0.07468484342098236,0.0,1.0,1.0,1.0,9.0,28.9651,1690.0454,0.3487
V114,590226.0,1.0092980861663818,0.10996045917272568,0.0,1.0,1.0,1.0,6.0,13.0597,271.8393,0.9383
V115,590226.0,1.0324503183364868,0.19067297875881195,0.0,1.0,1.0,1.0,6.0,6.5888,56.2703,3.0675
V116,590226.0,1.0157380104064941,0.13683277368545532,0.0,1.0,1.0,1.0,6.0,9.7861,139.4322,1.5306
V117,590226.0,1.0003913640975952,0.035236332565546036,0.0,1.0,1.0,1.0,3.0,9.3756,828.3792,0.1232
V118,590226.0,1.0014740228652954,0.04098665714263916,0.0,1.0,1.0,1.0,3.0,21.5562,603.5962,0.1674
V119,590226.0,1.0007284879684448,0.03638513386249542,0.0,1.0,1.0,1.0,3.0,15.4775,774.3174,0.1315
V120,590226.0,1.0008742809295654,0.04167524352669716,0.0,1.0,1.0,1.0,3.0,12.8497,612.105,0.1708
V121,590226.0,1.0042762756347656,0.06702136993408203,0.0,1.0,1.0,1.0,3.0,14.3691,228.3768,0.4459
V122,590226.0,1.0017586946487427,0.04860633984208107,0.0,1.0,1.0,1.0,3.0,15.7078,439.8226,0.2338
V123,590226.0,1.0311203002929688,0.2272651493549347,0.0,1.0,1.0,1.0,13.0,12.8755,301.9417,2.6285
V124,590226.0,1.0929745435714722,0.373441219329834,0.0,1.0,1.0,1.0,13.0,6.0875,63.0383,7.4854
V125,590226.0,1.0504145622253418,0.28018903732299805,0.0,1.0,1.0,1.0,13.0,8.9951,146.8877,4.1765
V126,590226.0,129.97943115234375,2346.704833984375,0.0,0.0,0.0,0.0,160000.0,29.5817,963.1819,13.5006
V127,590226.0,336.6116027832031,4238.08837890625,0.0,0.0,0.0,107.94999694824219,160000.0,25.6839,715.2522,13.0006
V128,590226.0,204.09402465820312,3010.003662109375,0.0,0.0,0.0,0.0,160000.0,25.0518,682.5248,23.0442
V129,590226.0,8.768943786621094,113.61348724365234,0.0,0.0,0.0,0.0,55125.0,240.2742,102763.13,5.3546
V130,590226.0,92.16586303710938,315.73175048828125,0.0,0.0,0.0,59.0,55125.0,26.2956,2817.1313,15.6266
V131,590226.0,31.13330078125,161.27407836914062,0.0,0.0,0.0,0.0,55125.0,89.5954,25682.086,15.8758
V132,590226.0,103.51319122314453,2265.9658203125,0.0,0.0,0.0,0.0,93736.0,30.2314,987.2938,5.7625
V133,590226.0,204.88916015625,3795.9248046875,0.0,0.0,0.0,0.0,133915.0,26.8642,775.9556,9.1939
V134,590226.0,145.9723358154297,2772.693115234375,0.0,0.0,0.0,0.0,98476.0,25.9881,728.9306,7.1978
V135,590226.0,17.25012969970703,293.6629333496094,0.0,0.0,0.0,0.0,90750.0,144.8832,31814.572,4.5235
V136,590226.0,38.821197509765625,451.3299560546875,0.0,0.0,0.0,0.0,90750.0,49.022,5840.1743,7.1966
V137,590226.0,26.365089416503906,348.16326904296875,0.0,0.0,0.0,0.0,90750.0,90.5831,16157.962,5.4474
V138,81945.0,0.03643907606601715,0.428229957818985,0.0,0.0,0.0,0.0,22.0,22.5757,706.1708,1.6291
V139,81945.0,1.0739154815673828,1.3342578411102295,0.0,0.0,1.0,1.0,33.0,5.9139,70.1591,7.4989
V140,81945.0,1.1252669095993042,1.467844009399414,0.0,0.0,1.0,1.0,33.0,5.5807,57.6456,8.3861
V141,81945.0,0.03769601508975029,0.2151975780725479,0.0,0.0,0.0,0.0,5.0,6.7482,57.3611,3.3364
V142,81945.0,0.04858136549592018,0.31395167112350464,0.0,0.0,0.0,0.0,9.0,9.9911,139.0167,3.4084
V143,81951.0,8.397005081176758,55.26573181152344,0.0,0.0,0.0,0.0,869.0,10.9993,132.0608,22.0607
V144,81951.0,3.708484411239624,10.493221282958984,0.0,0.0,0.0,0.0,62.0,3.1109,8.817,23.8093
V145,81951.0,22.112945556640625,64.33377075195312,0.0,0.0,0.0,1.0,297.0,3.0162,7.9225,16.9675
V146,81945.0,0.15627555549144745,0.6825249791145325,0.0,0.0,0.0,0.0,24.0,9.9725,190.4744,8.8193
V147,81945.0,0.1686008870601654,0.7504923939704895,0.0,0.0,0.0,0.0,26.0,9.942,171.9426,9.0475
V148,81945.0,0.7650009393692017,0.5814777612686157,0.0,0.0,1.0,1.0,20.0,6.014,153.9179,0.5919
V149,81945.0,0.7753127217292786,0.6283451318740845,0.0,0.0,1.0,1.0,20.0,6.5529,141.2414,0.7749
V150,81951.0,277.5979309082031,830.2623291015625,1.0,1.0,1.0,1.0,3389.0,2.8469,6.4885,17.5617
V151,81951.0,6.4601898193359375,15.237322807312012,1.0,1.0,1.0,1.0,57.0,2.6,4.9297,14.4635
V152,81951.0,9.432709693908691,21.570383071899414,1.0,1.0,1.0,1.0,69.0,2.2025,2.9009,16.9455
V153,81945.0,0.7532002925872803,0.5324906706809998,0.0,0.0,1.0,1.0,18.0,4.7021,135.7032,0.3502
V154,81945.0,0.757422685623169,0.5468352437019348,0.0,0.0,1.0,1.0,18.0,4.7607,125.9878,0.4576
V155,81945.0,0.7673805356025696,0.6027610301971436,0.0,0.0,1.0,1.0,24.0,7.9354,239.8701,0.637
V156,81945.0,0.7774848937988281,0.6470651626586914,0.0,0.0,1.0,1.0,24.0,8.0631,206.8379,0.8115
V157,81945.0,0.8175727725028992,0.6819502711296082,0.0,0.0,1.0,1.0,24.0,6.1295,149.4212,1.3082
V158,81945.0,0.8334614634513855,0.73423832654953,0.0,0.0,1.0,1.0,24.0,6.2258,128.3084,1.6182
V159,81951.0,2719.30029296875,8352.8759765625,0.0,0.0,0.0,0.0,55125.0,3.0468,8.1156,16.5392
V160,81951.0,47453.19140625,142155.015625,0.0,0.0,0.0,0.0,641511.4375,2.9969,7.7077,22.7087
V161,81945.0,4.843937873840332,58.93022537231445,0.0,0.0,0.0,0.0,3300.0,32.794,1461.4562,3.3364
V162,81945.0,6.594661235809326,69.16873168945312,0.0,0.0,0.0,0.0,3300.0,25.2024,899.9147,3.5841
V163,81945.0,5.505955219268799,63.08782196044922,0.0,0.0,0.0,0.0,3300.0,30.2858,1254.5903,3.4084
V164,81951.0,877.8887939453125,6049.17041015625,0.0,0.0,0.0,0.0,93736.0,11.0289,131.339,22.0607
V165,81951.0,2239.911865234375,8223.0205078125,0.0,0.0,0.0,0.0,98476.0,6.8091,58.4826,23.6153
V166,81951.0,359.4693908691406,1244.947021484375,0.0,0.0,0.0,0.0,104060.0,27.3319,1787.372,23.8093
V167,139631.0,3.929514169692993,42.201683044433594,0.0,0.0,0.0,0.0,872.0,14.9486,240.4072,23.9703
V168,139631.0,5.859500885009766,54.03091049194336,0.0,0.0,0.0,1.0,964.0,12.4907,169.2712,9.9684
V169,139819.0,0.16805298626422882,0.9053293466567993,0.0,0.0,0.0,0.0,19.0,8.8409,104.2786,6.3711
V170,139819.0,1.4367790222167969,1.7505415678024292,0.0,1.0,1.0,1.0,48.0,8.98,138.4824,27.3997
V171,139819.0,1.6909074783325195,2.4446308612823486,0.0,1.0,1.0,1.0,61.0,6.724,74.8281,30.7548
V172,139631.0,0.1320122331380844,0.9241222739219666,0.0,0.0,0.0,0.0,31.0,19.5669,480.4092,7.7569
V173,139631.0,0.05523128807544708,0.26426681876182556,0.0,0.0,0.0,0.0,7.0,6.1994,56.6434,4.8435
V174,139819.0,0.1277937889099121,0.37975308299064636,0.0,0.0,0.0,0.0,8.0,3.4929,17.3623,11.4119
V175,139819.0,0.2126391977071762,0.857244610786438,0.0,0.0,0.0,0.0,14.0,6.4454,47.5248,11.6179
V176,139631.0,1.3769793510437012,1.8309681415557861,0.0,1.0,1.0,1.0,48.0,12.1446,202.6252,13.9016
V177,139631.0,3.529244899749756,41.31170654296875,0.0,0.0,0.0,0.0,861.0,15.1479,246.1912,13.3452
V178,139631.0,6.649282932281494,69.45000457763672,0.0,0.0,0.0,0.0,1235.0,13.3014,188.5931,14.8928
V179,139631.0,4.869011878967285,50.491737365722656,0.0,0.0,0.0,0.0,920.0,13.0465,183.2153,14.2826
V180,139819.0,0.9241233468055725,6.1136474609375,0.0,0.0,0.0,0.0,83.0,8.6943,78.8264,12.0685
V181,139631.0,0.2533319890499115,1.2487435340881348,0.0,0.0,0.0,0.0,24.0,8.0832,74.7201,10.1074
V182,139631.0,0.8562425374984741,5.792657375335693,0.0,0.0,0.0,0.0,83.0,9.1533,88.1,11.809
V183,139631.0,0.4846917986869812,2.947047710418701,0.0,0.0,0.0,0.0,41.0,8.8538,82.0896,11.1172
V184,139819.0,0.13236398994922638,0.5435223579406738,0.0,0.0,0.0,0.0,16.0,7.3635,90.2578,8.5568
V185,139819.0,0.17390340566635132,0.6998162865638733,0.0,0.0,0.0,0.0,31.0,9.9417,226.1428,9.8427
V186,139631.0,1.1487993001937866,1.2216359376907349,0.0,1.0,1.0,1.0,38.0,16.5124,338.0506,5.2968
V187,139631.0,1.8437525033950806,9.891545295715332,0.0,1.0,1.0,1.0,218.0,15.6784,266.8909,6.843
V188,139819.0,1.0147547721862793,0.6711085438728333,0.0,1.0,1.0,1.0,30.0,13.0219,324.9349,11.3568
V189,139819.0,1.038313865661621,0.7923769950866699,0.0,1.0,1.0,1.0,30.0,11.7791,226.1876,11.9125
V190,139631.0,1.213083028793335,1.4797698259353638,0.0,1.0,1.0,1.0,42.0,14.565,266.0524,7.7239
V191,139631.0,1.0589840412139893,0.6777975559234619,0.0,1.0,1.0,1.0,21.0,17.7662,370.7417,1.9645
V192,139631.0,1.2373613119125366,2.6368916034698486,0.0,1.0,1.0,1.0,44.0,12.9297,172.1605,2.6047
V193,139631.0,1.149845004081726,1.7164835929870605,0.0,1.0,1.0,1.0,37.0,14.6103,230.3154,2.2968
V194,139819.0,0.9457727670669556,0.304145485162735,0.0,1.0,1.0,1.0,7.0,0.3824,30.3174,8.089
V195,139819.0,0.954226553440094,0.37633761763572693,0.0,1.0,1.0,1.0,16.0,8.795,260.5747,8.2721
V196,139631.0,1.0845800638198853,1.103576898574829,0.0,1.0,1.0,1.0,38.0,20.5643,492.24,1.948
V197,139819.0,0.9493845701217651,0.3370046019554138,0.0,1.0,1.0,1.0,14.0,4.1805,120.8823,8.1534
V198,139819.0,0.9619507789611816,0.49316346645355225,0.0,1.0,1.0,1.0,21.0,15.3332,418.6362,8.2557
V199,139631.0,1.2707493305206299,1.6708766222000122,0.0,1.0,1.0,1.0,45.0,13.7502,237.2386,10.2785
V200,139819.0,1.11997652053833,1.2540336847305298,0.0,1.0,1.0,1.0,45.0,16.5759,392.5887,15.784
V201,139819.0,1.159105658531189,1.419081449508667,0.0,1.0,1.0,1.0,55.0,15.6899,368.9917,16.7409
V202,139631.0,444.1471252441406,4683.9794921875,0.0,0.0,0.0,0.0,104060.0,14.5963,229.6284,23.9703
V203,139631.0,1078.3275146484375,9103.275390625,0.0,0.0,0.0,30.924400329589844,139777.0,10.5634,120.6139,18.4121
V204,139631.0,686.9569091796875,6048.6240234375,0.0,0.0,0.0,20.0,104060.0,11.671,149.582,19.2042
V205,139631.0,18.060415267944336,266.3298034667969,0.0,0.0,0.0,0.0,55125.0,84.9048,14548.311,7.7569
V206,139631.0,6.189359188079834,191.4212188720703,0.0,0.0,0.0,0.0,55125.0,207.8816,54107.105,4.8435
V207,139631.0,72.28408813476562,926.653564453125,0.0,0.0,0.0,0.0,55125.0,21.0153,523.5522,11.8491
V208,139819.0,8.888195991516113,58.966407775878906,0.0,0.0,0.0,0.0,3300.0,25.5231,1009.1319,11.4119
V209,139819.0,35.00187301635742,250.76609802246094,0.0,0.0,0.0,0.0,8050.0,11.9447,196.1733,12.2337
V210,139819.0,14.39183521270752,86.46856689453125,0.0,0.0,0.0,0.0,3300.0,14.6732,334.4376,11.6179
V211,139631.0,385.13702392578125,4542.17529296875,0.0,0.0,0.0,0.0,92888.0,15.0007,240.4581,13.3452
V212,139631.0,765.9884643554688,7496.14599609375,0.0,0.0,0.0,0.0,129006.0,12.6294,173.2872,14.8928
V213,139631.0,536.302734375,5471.56103515625,0.0,0.0,0.0,0.0,97628.0,12.9283,180.349,14.2826
V214,139631.0,38.43754959106445,571.7574462890625,0.0,0.0,0.0,0.0,104060.0,119.1736,18337.17,10.1074
V215,139631.0,133.20822143554688,1040.0657958984375,0.0,0.0,0.0,0.0,104060.0,25.5501,1724.9373,11.809
V216,139631.0,71.10714721679688,679.8096923828125,0.0,0.0,0.0,0.0,104060.0,73.4939,9219.722,11.1172
V217,130430.0,1.054619312286377,9.54729175567627,0.0,0.0,0.0,0.0,303.0,23.7714,620.457,24.6454
V218,130430.0,1.7257839441299438,13.918434143066406,0.0,0.0,0.0,1.0,400.0,19.6611,431.9276,11.4023
V219,130430.0,1.3671318292617798,12.044154167175293,0.0,0.0,0.0,1.0,378.0,22.3323,553.6203,9.3813
V220,141416.0,0.1694716364145279,1.0028353929519653,0.0,0.0,0.0,0.0,25.0,10.3284,143.0262,5.918
V221,141416.0,1.2749123573303223,2.7276508808135986,0.0,1.0,1.0,1.0,384.0,51.3018,5046.043,41.5094
V222,141416.0,1.3590046167373657,2.914532423019409,0.0,1.0,1.0,1.0,384.0,44.0685,3965.2556,43.1931
V223,130430.0,0.09315341711044312,0.4020281136035919,0.0,0.0,0.0,0.0,16.0,11.1884,265.222,7.6018
V224,130430.0,0.39474815130233765,3.4398491382598877,0.0,0.0,0.0,0.0,144.0,29.9512,1071.0472,14.0895
V225,130430.0,0.19175803661346436,1.2891193628311157,0.0,0.0,0.0,0.0,51.0,27.1564,934.0031,10.8158
V226,130430.0,0.24761174619197845,2.756620168685913,0.0,0.0,0.0,0.0,242.0,30.2601,1524.3295,6.1788
V227,141416.0,0.14797477424144745,2.0488576889038086,0.0,0.0,0.0,0.0,360.0,99.4287,12570.239,9.1786
V228,130430.0,1.3519282341003418,1.4100077152252197,0.0,1.0,1.0,1.0,54.0,10.7962,214.3852,14.8463
V229,130430.0,1.638710379600525,4.31861686706543,0.0,1.0,1.0,1.0,176.0,29.3674,1040.2101,20.2584
