feature_name,skewness,distribution_shape,unique_values
V192,12.9297,Highly Skewed,45
V193,14.6103,Highly Skewed,38
V194,0.3824,Symmetric,8
V195,8.795,Highly Skewed,17
V196,20.5643,Highly Skewed,39
V197,4.1805,Highly Skewed,15
V198,15.3332,Highly Skewed,22
V199,13.7502,Highly Skewed,46
V200,16.5759,Highly Skewed,46
V201,15.6899,Highly Skewed,56
V202,14.5963,Highly Skewed,10970
V203,10.5634,Highly Skewed,14951
V204,11.671,Highly Skewed,12858
V205,84.9048,Highly Skewed,2240
V206,207.8816,Highly Skewed,1780
V207,21.0153,Highly Skewed,3246
V208,25.5231,Highly Skewed,2552
V209,11.9447,Highly Skewed,3451
V210,14.6732,Highly Skewed,2836
V211,15.0007,Highly Skewed,7624
V212,12.6294,Highly Skewed,8868
V213,12.9283,Highly Skewed,8317
V214,119.1736,Highly Skewed,2282
V215,25.5501,Highly Skewed,2747
V216,73.4939,Highly Skewed,2532
V217,23.7714,Highly Skewed,304
V218,19.6611,Highly Skewed,401
V219,22.3323,Highly Skewed,379
V220,10.3284,Highly Skewed,26
V221,51.3018,Highly Skewed,77
V222,44.0685,Highly Skewed,76
V223,11.1884,Highly Skewed,17
V224,29.9512,Highly Skewed,79
V225,27.1564,Highly Skewed,35
V226,30.2601,Highly Skewed,81
V227,99.4287,Highly Skewed,50
V228,10.7962,Highly Skewed,55
V229,29.3674,Highly Skewed,91
V230,15.0141,Highly Skewed,66
V231,24.5947,Highly Skewed,294
V232,23.1768,Highly Skewed,338
V233,23.8849,Highly Skewed,333
V234,6.2915,Highly Skewed,122
V235,10.8203,Highly Skewed,24
V236,14.894,Highly Skewed,46
V237,15.576,Highly Skewed,40
V238,10.168,Highly Skewed,24
V239,10.1858,Highly Skewed,24
V240,80.1141,Highly Skewed,6
V241,91.5206,Highly Skewed,5
V242,11.2311,Highly Skewed,21
V243,25.5329,Highly Skewed,43
V244,11.482,Highly Skewed,23
V245,76.5133,Highly Skewed,58
V246,14.5288,Highly Skewed,46
V247,25.7905,Highly Skewed,19
V248,33.6034,Highly Skewed,23
V249,29.5541,Highly Skewed,23
V250,3.3583,Highly Skewed,19
V251,3.4837,Highly Skewed,19
V252,26.3399,Highly Skewed,25
V253,39.2238,Highly Skewed,66
V254,36.5276,Highly Skewed,45
V255,43.9364,Highly Skewed,46
V256,41.8298,Highly Skewed,48
V257,13.3507,Highly Skewed,49
V258,17.4252,Highly Skewed,67
V259,60.7479,Highly Skewed,68
V260,1.6877,Moderately Skewed,9
V261,20.7365,Highly Skewed,41
V262,10.7461,Highly Skewed,21
V263,38.6888,Highly Skewed,10422
V264,24.497,Highly Skewed,13358
V265,28.0914,Highly Skewed,11757
V266,175.9588,Highly Skewed,2178
V267,38.0068,Highly Skewed,3616
V268,69.1654,Highly Skewed,2756
V269,177.839,Highly Skewed,151
V270,32.7666,Highly Skewed,2340
V271,26.4463,Highly Skewed,2787
V272,29.5688,Highly Skewed,2507
V273,23.6596,Highly Skewed,7177
V274,20.1499,Highly Skewed,8315
V275,21.9318,Highly Skewed,7776
V276,108.718,Highly Skewed,2263
V277,69.3696,Highly Skewed,2540
V278,90.2836,Highly Skewed,2398
V279,30.2385,Highly Skewed,881
V280,24.7816,Highly Skewed,975
V281,10.0111,Highly Skewed,23
V282,3.8312,Highly Skewed,33
V283,12.3967,Highly Skewed,62
V284,5.2957,Highly Skewed,13
V285,12.2903,Highly Skewed,96
V286,7.5933,Highly Skewed,9
V287,8.8404,Highly Skewed,32
V288,2.5548,Highly Skewed,11
V289,3.5099,Highly Skewed,13
V290,34.5723,Highly Skewed,58
V291,50.1582,Highly Skewed,219
V292,51.2282,Highly Skewed,173
V293,30.5823,Highly Skewed,870
V294,23.8537,Highly Skewed,1286
V295,25.3409,Highly Skewed,928
V296,18.9291,Highly Skewed,94
V297,13.2775,Highly Skewed,13
V298,19.8941,Highly Skewed,94
V299,18.6846,Highly Skewed,50
V300,10.8474,Highly Skewed,12
V301,10.5428,Highly Skewed,14
V302,2.8026,Highly Skewed,17
V303,5.1647,Highly Skewed,21
V304,3.2895,Highly Skewed,17
V305,384.2261,Highly Skewed,2
V306,29.2729,Highly Skewed,16210
V307,23.6679,Highly Skewed,37367
V308,24.53,Highly Skewed,23064
V309,224.8753,Highly Skewed,4236
V310,19.4978,Highly Skewed,19136
V311,323.8314,Highly Skewed,3098
V312,73.6034,Highly Skewed,8068
V313,14.0278,Highly Skewed,5529
V314,10.7489,Highly Skewed,11377
V315,12.1181,Highly Skewed,6973
V316,30.0974,Highly Skewed,9814
V317,24.5974,Highly Skewed,15184
V318,25.4828,Highly Skewed,12309
V319,181.8336,Highly Skewed,4799
V320,70.5156,Highly Skewed,6439
V321,123.5565,Highly Skewed,5560
V322,11.1974,Highly Skewed,881
V323,9.7346,Highly Skewed,1411
V324,9.3638,Highly Skewed,976
V325,8.3579,Highly Skewed,13
V326,5.8001,Highly Skewed,45
V327,5.8627,Highly Skewed,19
V328,6.6347,Highly Skewed,16
V329,8.0988,Highly Skewed,100
V330,7.579,Highly Skewed,56
V331,11.089,Highly Skewed,1758
V332,9.769,Highly Skewed,2453
V333,9.3997,Highly Skewed,1971
V334,168.4728,Highly Skewed,143
V335,54.1424,Highly Skewed,672
V336,118.723,Highly Skewed,356
V337,85.7712,Highly Skewed,254
V338,23.6445,Highly Skewed,380
V339,48.91,Highly Skewed,334
C1,23.958,Highly Skewed,1657
C2,23.6774,Highly Skewed,1216
C3,88.9497,Highly Skewed,27
C4,22.0777,Highly Skewed,1260
C5,5.7937,Highly Skewed,319
C6,19.7669,Highly Skewed,1328
C7,27.194,Highly Skewed,1103
C8,26.0834,Highly Skewed,1253
C9,5.6938,Highly Skewed,205
C10,25.2205,Highly Skewed,1231
C11,22.357,Highly Skewed,1476
C12,27.4151,Highly Skewed,1199
C13,8.9864,Highly Skewed,1597
C14,16.5349,Highly Skewed,1108
D1,1.8054,Moderately Skewed,641
D2,1.0157,Moderately Skewed,641
D3,4.5393,Highly Skewed,649
D4,1.1713,Moderately Skewed,808
D5,3.3931,Highly Skewed,688
D6,2.2618,Highly Skewed,829
D7,2.9503,Highly Skewed,597
D8,2.2374,Highly Skewed,12353
D9,-0.5859,Moderately Skewed,24
D10,1.3915,Moderately Skewed,818
D11,1.0512,Moderately Skewed,676
D12,2.4599,Highly Skewed,635
D13,5.4098,Highly Skewed,577
D14,2.577,Highly Skewed,802
D15,0.9574,Moderately Skewed,859
