feature_name,feature_group,data_type,missing_percentage,unique_values,cardinality,availability
V77,V-Series,float32,15.0987,31,High,High
V78,V-Series,float32,15.0987,32,High,High
V79,V-Series,float32,15.0987,8,Low,High
V80,V-Series,float32,15.0987,20,High,High
V81,V-Series,float32,15.0987,20,High,High
V82,V-Series,float32,15.0987,8,Low,High
V83,V-Series,float32,15.0987,8,Low,High
V84,V-Series,float32,15.0987,8,Low,High
V85,V-Series,float32,15.0987,8,Low,High
V86,V-Series,float32,15.0987,31,High,High
V87,V-Series,float32,15.0987,31,High,High
V88,V-Series,float32,15.0987,2,Binary,High
V89,V-Series,float32,15.0987,3,Low,High
V90,V-Series,float32,15.0987,6,Low,High
V91,V-Series,float32,15.0987,7,Low,High
V92,V-Series,float32,15.0987,8,Low,High
V93,V-Series,float32,15.0987,8,Low,High
V94,V-Series,float32,15.0987,3,Low,High
V95,V-Series,float32,0.0532,881,High,High
V96,V-Series,float32,0.0532,1410,High,High
V97,V-Series,float32,0.0532,976,High,High
V98,V-Series,float32,0.0532,13,High,High
V99,V-Series,float32,0.0532,89,High,High
V100,V-Series,float32,0.0532,29,High,High
V101,V-Series,float32,0.0532,870,High,High
V102,V-Series,float32,0.0532,1285,High,High
V103,V-Series,float32,0.0532,928,High,High
V104,V-Series,float32,0.0532,16,High,High
V105,V-Series,float32,0.0532,100,High,High
V106,V-Series,float32,0.0532,56,High,High
V107,V-Series,float32,0.0532,2,Binary,High
V108,V-Series,float32,0.0532,8,Low,High
V109,V-Series,float32,0.0532,8,Low,High
V110,V-Series,float32,0.0532,8,Low,High
V111,V-Series,float32,0.0532,10,Low,High
V112,V-Series,float32,0.0532,10,Low,High
V113,V-Series,float32,0.0532,10,Low,High
V114,V-Series,float32,0.0532,7,Low,High
V115,V-Series,float32,0.0532,7,Low,High
V116,V-Series,float32,0.0532,7,Low,High
V117,V-Series,float32,0.0532,4,Low,High
V118,V-Series,float32,0.0532,4,Low,High
V119,V-Series,float32,0.0532,4,Low,High
V120,V-Series,float32,0.0532,4,Low,High
V121,V-Series,float32,0.0532,4,Low,High
V122,V-Series,float32,0.0532,4,Low,High
V123,V-Series,float32,0.0532,14,High,High
V124,V-Series,float32,0.0532,14,High,High
V125,V-Series,float32,0.0532,14,High,High
V126,V-Series,float32,0.0532,10299,High,High
V127,V-Series,float32,0.0532,24414,High,High
V128,V-Series,float32,0.0532,14507,High,High
V129,V-Series,float32,0.0532,1968,High,High
V130,V-Series,float32,0.0532,12332,High,High
V131,V-Series,float32,0.0532,4444,High,High
V132,V-Series,float32,0.0532,6560,High,High
V133,V-Series,float32,0.0532,9949,High,High
V134,V-Series,float32,0.0532,8178,High,High
V135,V-Series,float32,0.0532,3724,High,High
V136,V-Series,float32,0.0532,4852,High,High
V137,V-Series,float32,0.0532,4252,High,High
V138,V-Series,float32,86.1237,23,High,Low
V139,V-Series,float32,86.1237,34,High,Low
V140,V-Series,float32,86.1237,34,High,Low
V141,V-Series,float32,86.1237,6,Low,Low
V142,V-Series,float32,86.1237,10,Low,Low
V143,V-Series,float32,86.1227,870,High,Low
V144,V-Series,float32,86.1227,63,High,Low
V145,V-Series,float32,86.1227,260,High,Low
V146,V-Series,float32,86.1237,25,High,Low
V147,V-Series,float32,86.1237,27,High,Low
V148,V-Series,float32,86.1237,21,High,Low
V149,V-Series,float32,86.1237,21,High,Low
V150,V-Series,float32,86.1227,1996,High,Low
V151,V-Series,float32,86.1227,56,High,Low
V152,V-Series,float32,86.1227,39,High,Low
V153,V-Series,float32,86.1237,19,High,Low
V154,V-Series,float32,86.1237,19,High,Low
V155,V-Series,float32,86.1237,25,High,Low
V156,V-Series,float32,86.1237,25,High,Low
V157,V-Series,float32,86.1237,25,High,Low
V158,V-Series,float32,86.1237,25,High,Low
V159,V-Series,float32,86.1227,6663,High,Low
V160,V-Series,float32,86.1227,9621,High,Low
V161,V-Series,float32,86.1237,79,High,Low
V162,V-Series,float32,86.1237,185,High,Low
V163,V-Series,float32,86.1237,106,High,Low
V164,V-Series,float32,86.1227,1978,High,Low
V165,V-Series,float32,86.1227,2547,High,Low
V166,V-Series,float32,86.1227,987,High,Low
V167,V-Series,float32,76.3554,873,High,Low
V168,V-Series,float32,76.3554,965,High,Low
V169,V-Series,float32,76.3235,20,High,Low
V170,V-Series,float32,76.3235,49,High,Low
V171,V-Series,float32,76.3235,62,High,Low
V172,V-Series,float32,76.3554,32,High,Low
V173,V-Series,float32,76.3554,8,Low,Low
V174,V-Series,float32,76.3235,9,Low,Low
V175,V-Series,float32,76.3235,15,High,Low
V176,V-Series,float32,76.3554,49,High,Low
V177,V-Series,float32,76.3554,862,High,Low
V178,V-Series,float32,76.3554,1236,High,Low
V179,V-Series,float32,76.3554,921,High,Low
V180,V-Series,float32,76.3235,84,High,Low
V181,V-Series,float32,76.3554,25,High,Low
V182,V-Series,float32,76.3554,84,High,Low
V183,V-Series,float32,76.3554,42,High,Low
V184,V-Series,float32,76.3235,17,High,Low
V185,V-Series,float32,76.3235,32,High,Low
V186,V-Series,float32,76.3554,39,High,Low
V187,V-Series,float32,76.3554,215,High,Low
V188,V-Series,float32,76.3235,31,High,Low
V189,V-Series,float32,76.3235,31,High,Low
V190,V-Series,float32,76.3554,43,High,Low
V191,V-Series,float32,76.3554,22,High,Low
V192,V-Series,float32,76.3554,45,High,Low
V193,V-Series,float32,76.3554,38,High,Low
V194,V-Series,float32,76.3235,8,Low,Low
V195,V-Series,float32,76.3235,17,High,Low
V196,V-Series,float32,76.3554,39,High,Low
V197,V-Series,float32,76.3235,15,High,Low
V198,V-Series,float32,76.3235,22,High,Low
V199,V-Series,float32,76.3554,46,High,Low
V200,V-Series,float32,76.3235,46,High,Low
V201,V-Series,float32,76.3235,56,High,Low
V202,V-Series,float32,76.3554,10970,High,Low
V203,V-Series,float32,76.3554,14951,High,Low
V204,V-Series,float32,76.3554,12858,High,Low
V205,V-Series,float32,76.3554,2240,High,Low
V206,V-Series,float32,76.3554,1780,High,Low
V207,V-Series,float32,76.3554,3246,High,Low
V208,V-Series,float32,76.3235,2552,High,Low
V209,V-Series,float32,76.3235,3451,High,Low
V210,V-Series,float32,76.3235,2836,High,Low
V211,V-Series,float32,76.3554,7624,High,Low
V212,V-Series,float32,76.3554,8868,High,Low
V213,V-Series,float32,76.3554,8317,High,Low
V214,V-Series,float32,76.3554,2282,High,Low
V215,V-Series,float32,76.3554,2747,High,Low
V216,V-Series,float32,76.3554,2532,High,Low
V217,V-Series,float32,77.9134,304,High,Low
V218,V-Series,float32,77.9134,401,High,Low
V219,V-Series,float32,77.9134,379,High,Low
V220,V-Series,float32,76.0531,26,High,Low
V221,V-Series,float32,76.0531,77,High,Low
V222,V-Series,float32,76.0531,76,High,Low
V223,V-Series,float32,77.9134,17,High,Low
V224,V-Series,float32,77.9134,79,High,Low
V225,V-Series,float32,77.9134,35,High,Low
V226,V-Series,float32,77.9134,81,High,Low
V227,V-Series,float32,76.0531,50,High,Low
V228,V-Series,float32,77.9134,55,High,Low
V229,V-Series,float32,77.9134,91,High,Low
V230,V-Series,float32,77.9134,66,High,Low
V231,V-Series,float32,77.9134,294,High,Low
V232,V-Series,float32,77.9134,338,High,Low
V233,V-Series,float32,77.9134,333,High,Low
V234,V-Series,float32,76.0531,122,High,Low
V235,V-Series,float32,77.9134,24,High,Low
V236,V-Series,float32,77.9134,46,High,Low
V237,V-Series,float32,77.9134,40,High,Low
V238,V-Series,float32,76.0531,24,High,Low
V239,V-Series,float32,76.0531,24,High,Low
V240,V-Series,float32,77.9134,6,Low,Low
V241,V-Series,float32,77.9134,5,Low,Low
V242,V-Series,float32,77.9134,21,High,Low
V243,V-Series,float32,77.9134,43,High,Low
V244,V-Series,float32,77.9134,23,High,Low
V245,V-Series,float32,76.0531,58,High,Low
V246,V-Series,float32,77.9134,46,High,Low
V247,V-Series,float32,77.9134,19,High,Low
V248,V-Series,float32,77.9134,23,High,Low
V249,V-Series,float32,77.9134,23,High,Low
V250,V-Series,float32,76.0531,19,High,Low
V251,V-Series,float32,76.0531,19,High,Low
V252,V-Series,float32,77.9134,25,High,Low
V253,V-Series,float32,77.9134,66,High,Low
V254,V-Series,float32,77.9134,45,High,Low
V255,V-Series,float32,76.0531,46,High,Low
V256,V-Series,float32,76.0531,48,High,Low
V257,V-Series,float32,77.9134,49,High,Low
V258,V-Series,float32,77.9134,67,High,Low
V259,V-Series,float32,76.0531,68,High,Low
V260,V-Series,float32,77.9134,9,Low,Low
V261,V-Series,float32,77.9134,41,High,Low
V262,V-Series,float32,77.9134,21,High,Low
V263,V-Series,float32,77.9134,10422,High,Low
V264,V-Series,float32,77.9134,13358,High,Low
V265,V-Series,float32,77.9134,11757,High,Low
V266,V-Series,float32,77.9134,2178,High,Low
V267,V-Series,float32,77.9134,3616,High,Low
V268,V-Series,float32,77.9134,2756,High,Low
V269,V-Series,float32,77.9134,151,High,Low
V270,V-Series,float32,76.0531,2340,High,Low
V271,V-Series,float32,76.0531,2787,High,Low
V272,V-Series,float32,76.0531,2507,High,Low
V273,V-Series,float32,77.9134,7177,High,Low
V274,V-Series,float32,77.9134,8315,High,Low
V275,V-Series,float32,77.9134,7776,High,Low
V276,V-Series,float32,77.9134,2263,High,Low
V277,V-Series,float32,77.9134,2540,High,Low
V278,V-Series,float32,77.9134,2398,High,Low
V279,V-Series,float32,0.002,881,High,High
V280,V-Series,float32,0.002,975,High,High
V281,V-Series,float32,0.2149,23,High,High
V282,V-Series,float32,0.2149,33,High,High
V283,V-Series,float32,0.2149,62,High,High
V284,V-Series,float32,0.002,13,High,High
V285,V-Series,float32,0.002,96,High,High
V286,V-Series,float32,0.002,9,Low,High
V287,V-Series,float32,0.002,32,High,High
V288,V-Series,float32,0.2149,11,High,High
V289,V-Series,float32,0.2149,13,High,High
V290,V-Series,float32,0.002,58,High,High
V291,V-Series,float32,0.002,219,High,High
V292,V-Series,float32,0.002,173,High,High
V293,V-Series,float32,0.002,870,High,High
V294,V-Series,float32,0.002,1286,High,High
V295,V-Series,float32,0.002,928,High,High
V296,V-Series,float32,0.2149,94,High,High
V297,V-Series,float32,0.002,13,High,High
V298,V-Series,float32,0.002,94,High,High
V299,V-Series,float32,0.002,50,High,High
V300,V-Series,float32,0.2149,12,High,High
V301,V-Series,float32,0.2149,14,High,High
V302,V-Series,float32,0.002,17,High,High
V303,V-Series,float32,0.002,21,High,High
V304,V-Series,float32,0.002,17,High,High
V305,V-Series,float32,0.002,2,Binary,High
V306,V-Series,float32,0.002,16210,High,High
V307,V-Series,float32,0.002,37367,High,High
V308,V-Series,float32,0.002,23064,High,High
V309,V-Series,float32,0.002,4236,High,High
V310,V-Series,float32,0.002,19136,High,High
V311,V-Series,float32,0.002,3098,High,High
V312,V-Series,float32,0.002,8068,High,High
V313,V-Series,float32,0.2149,5529,High,High
V314,V-Series,float32,0.2149,11377,High,High
V315,V-Series,float32,0.2149,6973,High,High
V316,V-Series,float32,0.002,9814,High,High
V317,V-Series,float32,0.002,15184,High,High
V318,V-Series,float32,0.002,12309,High,High
V319,V-Series,float32,0.002,4799,High,High
V320,V-Series,float32,0.002,6439,High,High
V321,V-Series,float32,0.002,5560,High,High
V322,V-Series,float32,86.055,881,High,Low
V323,V-Series,float32,86.055,1411,High,Low
V324,V-Series,float32,86.055,976,High,Low
V325,V-Series,float32,86.055,13,High,Low
V326,V-Series,float32,86.055,45,High,Low
V327,V-Series,float32,86.055,19,High,Low
V328,V-Series,float32,86.055,16,High,Low
V329,V-Series,float32,86.055,100,High,Low
V330,V-Series,float32,86.055,56,High,Low
V331,V-Series,float32,86.055,1758,High,Low
V332,V-Series,float32,86.055,2453,High,Low
V333,V-Series,float32,86.055,1971,High,Low
V334,V-Series,float32,86.055,143,High,Low
V335,V-Series,float32,86.055,672,High,Low
V336,V-Series,float32,86.055,356,High,Low
V337,V-Series,float32,86.055,254,High,Low
V338,V-Series,float32,86.055,380,High,Low
V339,V-Series,float32,86.055,334,High,Low
C1,C-Series,float32,0.0,1657,High,High
C2,C-Series,float32,0.0,1216,High,High
C3,C-Series,float32,0.0,27,High,High
C4,C-Series,float32,0.0,1260,High,High
C5,C-Series,float32,0.0,319,High,High
C6,C-Series,float32,0.0,1328,High,High
C7,C-Series,float32,0.0,1103,High,High
C8,C-Series,float32,0.0,1253,High,High
C9,C-Series,float32,0.0,205,High,High
C10,C-Series,float32,0.0,1231,High,High
C11,C-Series,float32,0.0,1476,High,High
C12,C-Series,float32,0.0,1199,High,High
C13,C-Series,float32,0.0,1597,High,High
C14,C-Series,float32,0.0,1108,High,High
D1,D-Series,float32,0.2149,641,High,High
D2,D-Series,float32,47.5492,641,High,Medium
D3,D-Series,float32,44.5149,649,High,Medium
D4,D-Series,float32,28.6047,808,High,Medium
D5,D-Series,float32,52.4674,688,High,Medium
D6,D-Series,float32,87.6068,829,High,Low
D7,D-Series,float32,93.4099,597,High,Low
D8,D-Series,float32,87.3123,12353,High,Low
D9,D-Series,float32,87.3123,24,High,Low
D10,D-Series,float32,12.8733,818,High,High
D11,D-Series,float32,47.2935,676,High,Medium
D12,D-Series,float32,89.041,635,High,Low
D13,D-Series,float32,89.5093,577,High,Low
D14,D-Series,float32,89.4695,802,High,Low
D15,D-Series,float32,15.0901,859,High,High
M1,M-Series,category,45.9071,2,Binary,Medium
M2,M-Series,category,45.9071,2,Binary,Medium
M3,M-Series,category,45.9071,2,Binary,Medium
M4,M-Series,category,47.6588,3,Low,Medium
M5,M-Series,category,59.3494,2,Binary,Medium
M6,M-Series,category,28.6788,2,Binary,Medium
M7,M-Series,category,58.6353,2,Binary,Medium
M8,M-Series,category,58.6331,2,Binary,Medium
M9,M-Series,category,58.6331,2,Binary,Medium
