feature_name,missing_count,missing_percentage,missingness_classification,informative_missingness_ratio
V224,460110,77.9134,High Missing,0.2912
V242,460110,77.9134,High Missing,0.2912
V240,460110,77.9134,High Missing,0.2912
V262,460110,77.9134,High Missing,0.2912
V277,460110,77.9134,High Missing,0.2912
V276,460110,77.9134,High Missing,0.2912
V275,460110,77.9134,High Missing,0.2912
V274,460110,77.9134,High Missing,0.2912
V273,460110,77.9134,High Missing,0.2912
V241,460110,77.9134,High Missing,0.2912
V269,460110,77.9134,High Missing,0.2912
V268,460110,77.9134,High Missing,0.2912
V267,460110,77.9134,High Missing,0.2912
V266,460110,77.9134,High Missing,0.2912
V265,460110,77.9134,High Missing,0.2912
V264,460110,77.9134,High Missing,0.2912
V263,460110,77.9134,High Missing,0.2912
V278,460110,77.9134,High Missing,0.2912
V261,460110,77.9134,High Missing,0.2912
V249,460110,77.9134,High Missing,0.2912
V258,460110,77.9134,High Missing,0.2912
V257,460110,77.9134,High Missing,0.2912
V254,460110,77.9134,High Missing,0.2912
V247,460110,77.9134,High Missing,0.2912
V248,460110,77.9134,High Missing,0.2912
V243,460110,77.9134,High Missing,0.2912
V244,460110,77.9134,High Missing,0.2912
V260,460110,77.9134,High Missing,0.2912
V246,460110,77.9134,High Missing,0.2912
V253,460110,77.9134,High Missing,0.2912
V252,460110,77.9134,High Missing,0.2912
V190,450909,76.3554,High Missing,0.27
V187,450909,76.3554,High Missing,0.27
V191,450909,76.3554,High Missing,0.27
V176,450909,76.3554,High Missing,0.27
V167,450909,76.3554,High Missing,0.27
V183,450909,76.3554,High Missing,0.27
V186,450909,76.3554,High Missing,0.27
V168,450909,76.3554,High Missing,0.27
V182,450909,76.3554,High Missing,0.27
V181,450909,76.3554,High Missing,0.27
V172,450909,76.3554,High Missing,0.27
V179,450909,76.3554,High Missing,0.27
V192,450909,76.3554,High Missing,0.27
V177,450909,76.3554,High Missing,0.27
V178,450909,76.3554,High Missing,0.27
V206,450909,76.3554,High Missing,0.27
V193,450909,76.3554,High Missing,0.27
V196,450909,76.3554,High Missing,0.27
V216,450909,76.3554,High Missing,0.27
V215,450909,76.3554,High Missing,0.27
V214,450909,76.3554,High Missing,0.27
V213,450909,76.3554,High Missing,0.27
V212,450909,76.3554,High Missing,0.27
V211,450909,76.3554,High Missing,0.27
V207,450909,76.3554,High Missing,0.27
V205,450909,76.3554,High Missing,0.27
V204,450909,76.3554,High Missing,0.27
V203,450909,76.3554,High Missing,0.27
V202,450909,76.3554,High Missing,0.27
V199,450909,76.3554,High Missing,0.27
V173,450909,76.3554,High Missing,0.27
V171,450721,76.3235,High Missing,0.2688
V174,450721,76.3235,High Missing,0.2688
V189,450721,76.3235,High Missing,0.2688
V175,450721,76.3235,High Missing,0.2688
V198,450721,76.3235,High Missing,0.2688
V180,450721,76.3235,High Missing,0.2688
V210,450721,76.3235,High Missing,0.2688
V209,450721,76.3235,High Missing,0.2688
V208,450721,76.3235,High Missing,0.2688
V201,450721,76.3235,High Missing,0.2688
V200,450721,76.3235,High Missing,0.2688
V170,450721,76.3235,High Missing,0.2688
V197,450721,76.3235,High Missing,0.2688
V185,450721,76.3235,High Missing,0.2688
V195,450721,76.3235,High Missing,0.2688
V184,450721,76.3235,High Missing,0.2688
V169,450721,76.3235,High Missing,0.2688
V188,450721,76.3235,High Missing,0.2688
V194,450721,76.3235,High Missing,0.2688
V220,449124,76.0531,High Missing,0.2776
V221,449124,76.0531,High Missing,0.2776
V272,449124,76.0531,High Missing,0.2776
V271,449124,76.0531,High Missing,0.2776
V270,449124,76.0531,High Missing,0.2776
V259,449124,76.0531,High Missing,0.2776
V256,449124,76.0531,High Missing,0.2776
V255,449124,76.0531,High Missing,0.2776
V251,449124,76.0531,High Missing,0.2776
V250,449124,76.0531,High Missing,0.2776
V239,449124,76.0531,High Missing,0.2776
V238,449124,76.0531,High Missing,0.2776
V234,449124,76.0531,High Missing,0.2776
V227,449124,76.0531,High Missing,0.2776
V222,449124,76.0531,High Missing,0.2776
V245,449124,76.0531,High Missing,0.2776
M5,350482,59.3494,Moderate Missing,1.1849
M7,346265,58.6353,Moderate Missing,2.3207
M8,346252,58.6331,Moderate Missing,2.3209
M9,346252,58.6331,Moderate Missing,2.3209
D5,309841,52.4674,Moderate Missing,0.8146
M4,281444,47.6588,Moderate Missing,0.3719
D2,280797,47.5492,Moderate Missing,1.7931
V1,279287,47.2935,Moderate Missing,2.6569
V7,279287,47.2935,Moderate Missing,2.6569
V11,279287,47.2935,Moderate Missing,2.6569
V10,279287,47.2935,Moderate Missing,2.6569
V9,279287,47.2935,Moderate Missing,2.6569
D11,279287,47.2935,Moderate Missing,2.6569
V8,279287,47.2935,Moderate Missing,2.6569
V2,279287,47.2935,Moderate Missing,2.6569
V6,279287,47.2935,Moderate Missing,2.6569
V3,279287,47.2935,Moderate Missing,2.6569
V5,279287,47.2935,Moderate Missing,2.6569
V4,279287,47.2935,Moderate Missing,2.6569
M2,271100,45.9071,Moderate Missing,2.6608
M3,271100,45.9071,Moderate Missing,2.6608
M1,271100,45.9071,Moderate Missing,2.6608
D3,262878,44.5149,Moderate Missing,1.4311
M6,169360,28.6788,Moderate Missing,3.4251
V43,168969,28.6126,Moderate Missing,1.0441
V50,168969,28.6126,Moderate Missing,1.0441
V49,168969,28.6126,Moderate Missing,1.0441
V48,168969,28.6126,Moderate Missing,1.0441
V47,168969,28.6126,Moderate Missing,1.0441
V46,168969,28.6126,Moderate Missing,1.0441
V45,168969,28.6126,Moderate Missing,1.0441
V44,168969,28.6126,Moderate Missing,1.0441
V39,168969,28.6126,Moderate Missing,1.0441
V42,168969,28.6126,Moderate Missing,1.0441
V41,168969,28.6126,Moderate Missing,1.0441
V40,168969,28.6126,Moderate Missing,1.0441
V38,168969,28.6126,Moderate Missing,1.0441
V37,168969,28.6126,Moderate Missing,1.0441
V36,168969,28.6126,Moderate Missing,1.0441
V52,168969,28.6126,Moderate Missing,1.0441
V51,168969,28.6126,Moderate Missing,1.0441
V35,168969,28.6126,Moderate Missing,1.0441
D4,168922,28.6047,Moderate Missing,1.0445
V83,89164,15.0987,Low Missing,1.4673
V86,89164,15.0987,Low Missing,1.4673
V75,89164,15.0987,Low Missing,1.4673
V76,89164,15.0987,Low Missing,1.4673
V77,89164,15.0987,Low Missing,1.4673
V78,89164,15.0987,Low Missing,1.4673
V79,89164,15.0987,Low Missing,1.4673
V80,89164,15.0987,Low Missing,1.4673
V81,89164,15.0987,Low Missing,1.4673
V82,89164,15.0987,Low Missing,1.4673
V84,89164,15.0987,Low Missing,1.4673
V85,89164,15.0987,Low Missing,1.4673
V87,89164,15.0987,Low Missing,1.4673
V88,89164,15.0987,Low Missing,1.4673
V89,89164,15.0987,Low Missing,1.4673
V90,89164,15.0987,Low Missing,1.4673
V91,89164,15.0987,Low Missing,1.4673
V92,89164,15.0987,Low Missing,1.4673
V93,89164,15.0987,Low Missing,1.4673
V94,89164,15.0987,Low Missing,1.4673
D15,89113,15.0901,Low Missing,1.4683
V57,77096,13.0552,Low Missing,1.8589
V59,77096,13.0552,Low Missing,1.8589
V61,77096,13.0552,Low Missing,1.8589
V62,77096,13.0552,Low Missing,1.8589
V58,77096,13.0552,Low Missing,1.8589
V60,77096,13.0552,Low Missing,1.8589
V56,77096,13.0552,Low Missing,1.8589
V55,77096,13.0552,Low Missing,1.8589
V64,77096,13.0552,Low Missing,1.8589
V54,77096,13.0552,Low Missing,1.8589
V53,77096,13.0552,Low Missing,1.8589
V63,77096,13.0552,Low Missing,1.8589
V65,77096,13.0552,Low Missing,1.8589
V67,77096,13.0552,Low Missing,1.8589
V68,77096,13.0552,Low Missing,1.8589
V69,77096,13.0552,Low Missing,1.8589
V70,77096,13.0552,Low Missing,1.8589
V71,77096,13.0552,Low Missing,1.8589
V72,77096,13.0552,Low Missing,1.8589
V73,77096,13.0552,Low Missing,1.8589
V74,77096,13.0552,Low Missing,1.8589
V66,77096,13.0552,Low Missing,1.8589
V13,76073,12.8819,Low Missing,1.5669
V19,76073,12.8819,Low Missing,1.5669
V21,76073,12.8819,Low Missing,1.5669
V12,76073,12.8819,Low Missing,1.5669
V20,76073,12.8819,Low Missing,1.5669
V17,76073,12.8819,Low Missing,1.5669
V32,76073,12.8819,Low Missing,1.5669
V18,76073,12.8819,Low Missing,1.5669
V34,76073,12.8819,Low Missing,1.5669
V33,76073,12.8819,Low Missing,1.5669
V23,76073,12.8819,Low Missing,1.5669
V31,76073,12.8819,Low Missing,1.5669
V22,76073,12.8819,Low Missing,1.5669
V26,76073,12.8819,Low Missing,1.5669
V24,76073,12.8819,Low Missing,1.5669
V25,76073,12.8819,Low Missing,1.5669
V30,76073,12.8819,Low Missing,1.5669
V14,76073,12.8819,Low Missing,1.5669
V15,76073,12.8819,Low Missing,1.5669
V27,76073,12.8819,Low Missing,1.5669
V29,76073,12.8819,Low Missing,1.5669
V28,76073,12.8819,Low Missing,1.5669
V16,76073,12.8819,Low Missing,1.5669
D10,76022,12.8733,Low Missing,1.5677
V282,1269,0.2149,Complete,1.0361
V283,1269,0.2149,Complete,1.0361
V281,1269,0.2149,Complete,1.0361
V314,1269,0.2149,Complete,1.0361
D1,1269,0.2149,Complete,1.0361
V296,1269,0.2149,Complete,1.0361
V300,1269,0.2149,Complete,1.0361
V301,1269,0.2149,Complete,1.0361
V313,1269,0.2149,Complete,1.0361
V289,1269,0.2149,Complete,1.0361
V315,1269,0.2149,Complete,1.0361
V288,1269,0.2149,Complete,1.0361
V100,314,0.0532,Complete,1.5478
V118,314,0.0532,Complete,1.5478
V119,314,0.0532,Complete,1.5478
V135,314,0.0532,Complete,1.5478
V134,314,0.0532,Complete,1.5478
V133,314,0.0532,Complete,1.5478
V132,314,0.0532,Complete,1.5478
V131,314,0.0532,Complete,1.5478
V129,314,0.0532,Complete,1.5478
V128,314,0.0532,Complete,1.5478
V127,314,0.0532,Complete,1.5478
V126,314,0.0532,Complete,1.5478
V125,314,0.0532,Complete,1.5478
V124,314,0.0532,Complete,1.5478
V123,314,0.0532,Complete,1.5478
V122,314,0.0532,Complete,1.5478
V121,314,0.0532,Complete,1.5478
V120,314,0.0532,Complete,1.5478
V130,314,0.0532,Complete,1.5478
V137,314,0.0532,Complete,1.5478
V109,314,0.0532,Complete,1.5478
V108,314,0.0532,Complete,1.5478
V117,314,0.0532,Complete,1.5478
V99,314,0.0532,Complete,1.5478
V116,314,0.0532,Complete,1.5478
V115,314,0.0532,Complete,1.5478
V114,314,0.0532,Complete,1.5478
V113,314,0.0532,Complete,1.5478
V112,314,0.0532,Complete,1.5478
V111,314,0.0532,Complete,1.5478
V110,314,0.0532,Complete,1.5478
V107,314,0.0532,Complete,1.5478
V106,314,0.0532,Complete,1.5478
V105,314,0.0532,Complete,1.5478
V104,314,0.0532,Complete,1.5478
V103,314,0.0532,Complete,1.5478
V102,314,0.0532,Complete,1.5478
V101,314,0.0532,Complete,1.5478
V95,314,0.0532,Complete,1.5478
V96,314,0.0532,Complete,1.5478
V97,314,0.0532,Complete,1.5478
V98,314,0.0532,Complete,1.5478
V136,314,0.0532,Complete,1.5478
V279,12,0.002,Complete,4.7636
V310,12,0.002,Complete,4.7636
V309,12,0.002,Complete,4.7636
V284,12,0.002,Complete,4.7636
V280,12,0.002,Complete,4.7636
V293,12,0.002,Complete,4.7636
V285,12,0.002,Complete,4.7636
V286,12,0.002,Complete,4.7636
V298,12,0.002,Complete,4.7636
V299,12,0.002,Complete,4.7636
V302,12,0.002,Complete,4.7636
V303,12,0.002,Complete,4.7636
V304,12,0.002,Complete,4.7636
V305,12,0.002,Complete,4.7636
V321,12,0.002,Complete,4.7636
V320,12,0.002,Complete,4.7636
V319,12,0.002,Complete,4.7636
V318,12,0.002,Complete,4.7636
V317,12,0.002,Complete,4.7636
V316,12,0.002,Complete,4.7636
V306,12,0.002,Complete,4.7636
V307,12,0.002,Complete,4.7636
V308,12,0.002,Complete,4.7636
V312,12,0.002,Complete,4.7636
V311,12,0.002,Complete,4.7636
V297,12,0.002,Complete,4.7636
V295,12,0.002,Complete,4.7636
V294,12,0.002,Complete,4.7636
V291,12,0.002,Complete,4.7636
V290,12,0.002,Complete,4.7636
V287,12,0.002,Complete,4.7636
V292,12,0.002,Complete,4.7636
C7,0,0.0,Complete,1.0
C1,0,0.0,Complete,1.0
C2,0,0.0,Complete,1.0
C3,0,0.0,Complete,1.0
C5,0,0.0,Complete,1.0
C6,0,0.0,Complete,1.0
C9,0,0.0,Complete,1.0
C8,0,0.0,Complete,1.0
C10,0,0.0,Complete,1.0
C11,0,0.0,Complete,1.0
C12,0,0.0,Complete,1.0
C13,0,0.0,Complete,1.0
C14,0,0.0,Complete,1.0
C4,0,0.0,Complete,1.0
