feature_1,feature_2,spearman_correlation
V17,D10,-0.3327
V18,D10,-0.3323
V16,D15,-0.3235
C7,D15,-0.3235
V15,D15,-0.3231
C5,D1,0.3222
C6,D10,0.3218
C10,D10,-0.3197
C8,D1,-0.3194
V18,C5,-0.3185
V17,C5,-0.3184
V11,C11,0.3162
C5,D10,0.3157
D1,D7,0.3154
C11,D11,0.3143
C4,D1,-0.3124
C6,D4,0.3123
C11,D10,0.3115
V10,C11,0.3089
V13,C12,-0.3087
V12,C12,-0.308
V16,C5,-0.3075
V15,C5,-0.3072
C10,D1,-0.3071
V15,C13,-0.3054
V16,C13,-0.3046
V11,C14,0.3019
C9,D11,0.3019
C5,D15,0.2989
C4,D15,-0.2984
D3,D15,0.2978
V10,C14,0.2951
C9,C12,-0.2926
V20,C6,0.2895
D3,D4,0.2876
V18,D15,-0.2873
V17,D15,-0.2872
C5,C12,-0.2848
V19,D13,-0.2808
V5,C6,0.2806
V15,D13,-0.2803
V20,D13,-0.2801
V16,D13,-0.2799
C8,D15,-0.2799
C5,D4,0.2792
V11,C1,0.2783
D6,D8,0.2779
V17,C13,-0.2741
V18,C13,-0.2739
V5,V9,0.2713
V10,C1,0.2711
C5,C7,-0.2687
V11,C2,0.2685
C7,D8,-0.2682
D8,D15,0.2666
V19,D6,-0.2655
V3,V5,0.2648
D5,D10,0.2623
V20,D6,-0.262
C11,D15,0.2614
C10,D15,-0.2612
V10,C2,0.2608
C12,D10,-0.2606
C4,D6,0.2603
V11,C13,0.2599
D3,D10,0.2593
V15,D6,-0.2562
V11,C9,0.2561
C12,D8,-0.255
V16,D6,-0.2544
V10,C13,0.2532
C8,C14,-0.2532
V12,D11,-0.2523
V4,V8,0.2523
D13,D14,0.2513
C8,D13,0.2491
V10,C9,0.2488
V19,D14,-0.2487
V4,C6,0.2486
D6,D14,0.2482
C5,D11,0.2461
V16,D1,-0.2457
V15,D1,-0.2452
C4,C14,-0.2449
V15,D14,-0.2442
V19,C6,0.2434
V13,D11,-0.2419
C10,C14,-0.2411
V16,D4,-0.2401
V2,V4,0.2396
V15,D4,-0.2396
V5,V8,0.2394
V10,C12,-0.2381
V16,D14,-0.2364
C7,D4,-0.2358
V11,C12,-0.2348
V11,C6,0.2332
C5,D2,0.2322
C9,D2,0.232
C4,D4,-0.2309
V2,V5,0.2302
V20,D14,-0.2299
D4,D8,0.2299
C12,D5,-0.2283
C8,D14,0.2276
C2,D10,0.2269
V10,C6,0.2253
V17,D1,-0.225
V18,D1,-0.2248
D1,D5,0.2247
V10,D3,0.2246
D8,D12,0.2226
V17,D4,-0.2219
C2,D8,-0.2218
V18,D4,-0.2218
D1,D14,0.2204
V4,V9,0.2201
C12,D15,-0.2196
V15,C14,-0.2186
V5,V7,0.2181
V16,C14,-0.2177
C13,D14,0.2162
V11,D3,0.2158
C7,C13,-0.2158
C5,D3,0.2142
C4,D14,0.213
C12,D3,-0.2112
V4,V6,0.2111
C7,D12,0.2081
C8,D4,-0.2073
C13,D7,0.2064
C4,D12,0.2055
C6,D12,0.2055
D14,D15,0.204
V5,V6,0.2015
V17,C14,-0.1962
V18,C14,-0.1958
C7,D1,-0.1933
C14,D14,0.192
D8,D10,0.1901
C10,D4,-0.19
V16,D8,-0.188
C7,D5,-0.1879
V15,D5,-0.1874
V16,D5,-0.1873
C7,D2,-0.1866
V16,D2,-0.1859
V15,D2,-0.1859
C11,D14,0.1856
C5,D5,0.1847
V15,D8,-0.1827
D3,D11,0.181
V3,V4,0.1804
V15,V19,0.1785
C6,C8,-0.1785
C11,D2,0.1784
V10,D2,0.1777
V16,V19,0.1772
D5,D13,0.1766
C1,D14,0.1764
D4,D14,0.1756
C6,C10,-0.172
C12,D6,0.1705
V18,D5,-0.1701
V17,D5,-0.1699
V4,V7,0.1697
D5,D11,0.1695
C12,D2,-0.1693
V10,D5,0.1691
C4,D5,-0.1685
V11,D2,0.1684
C1,C8,-0.1651
C6,D2,0.1642
V17,D2,-0.1637
V18,D2,-0.1634
D2,D14,0.1631
C8,D5,-0.1617
V11,D5,0.1614
C4,C6,-0.1599
C4,D3,-0.1592
C10,D5,-0.1581
C1,C4,-0.1571
C8,D3,-0.1557
C1,C10,-0.1549
C4,D2,-0.1529
V3,D3,-0.1526
V16,V20,0.1525
V17,D3,-0.1518
V19,C7,0.1515
V15,V20,0.1514
V18,D3,-0.1513
V7,D5,-0.1505
C7,D3,-0.1501
C2,D14,0.1501
C10,D3,-0.1498
C14,D2,0.1489
V11,D4,0.1483
V3,C2,0.1479
V11,D1,0.1478
C8,D2,-0.1475
V10,D4,0.1472
C7,C14,-0.1472
V3,D5,-0.147
C2,D2,0.1468
V10,D1,0.1464
D3,D13,0.1447
C10,D2,-0.144
C1,D2,0.1437
V16,D3,-0.1428
V15,D3,-0.1428
C10,D14,0.1406
C1,D8,-0.14
C12,D4,-0.1397
D12,D14,0.1372
V15,C1,-0.1365
D8,D9,0.1361
V13,D2,-0.136
C14,D5,0.1353
V16,C1,-0.1352
V11,D11,0.135
V10,D11,0.1331
V17,C6,-0.1329
V18,C6,-0.1325
V3,D2,-0.1309
C14,D7,0.1302
V19,D15,-0.1288
D7,D13,0.1274
V20,C7,0.1272
V11,V13,-0.1271
V19,C12,0.127
V19,D10,-0.1268
V10,V13,-0.1266
V11,D10,0.1263
V10,D10,0.1261
V11,D15,0.1249
V10,D15,0.1245
V7,C1,0.1224
V6,D5,-0.1221
V2,D3,-0.1217
V17,C1,-0.121
V18,C1,-0.1205
C6,D8,-0.1186
V19,C13,-0.1178
V20,C12,0.1177
C2,D7,-0.1172
V12,D2,-0.1164
C1,D7,-0.1135
C3,C6,-0.1116
V2,D5,-0.1111
V19,D1,-0.111
V11,V12,-0.1109
V18,V19,0.1108
V17,V19,0.1107
V19,C4,0.1097
C2,C12,0.1094
V4,D11,-0.109
V10,V12,-0.1089
C4,D7,-0.1086
C14,D8,0.1071
C10,D7,0.1058
C3,C10,0.1052
V20,D15,-0.1051
V20,D8,-0.1045
C13,D8,0.1042
C3,C8,0.1038
V9,D5,-0.1033
C14,D3,0.1001
V19,D8,-0.0991
C12,D11,0.0981
C9,D5,0.098
V4,D1,-0.0937
V9,D3,-0.0933
V5,D11,-0.093
V2,D11,-0.0927
V19,C8,0.0926
C3,C4,0.0924
C12,D13,0.0923
V20,D10,-0.0923
V19,C9,-0.0916
V8,D11,-0.0915
V5,D2,-0.089
V17,D7,-0.0886
V14,C3,-0.0879
V2,C2,0.0868
V20,D1,-0.0868
C12,C13,-0.0863
V20,C4,0.0861
V18,V20,0.086
V18,D7,-0.086
V19,C10,0.0859
C12,C14,-0.0855
V2,D2,-0.0854
V17,V20,0.0853
C7,D7,-0.0852
C13,D5,0.0852
V19,C5,-0.0849
V4,D10,-0.0847
C2,C7,0.0847
V15,C6,-0.0847
V4,C13,-0.0842
C8,D8,-0.0842
V20,C5,-0.0834
V16,C6,-0.0834
V20,D2,-0.0824
C3,C9,-0.0823
C9,D3,0.0817
C8,C11,-0.0812
C12,D1,-0.0808
V8,D5,-0.0805
V4,D15,-0.0803
V9,D2,-0.08
V9,C11,0.0799
V5,D1,-0.0794
C13,D3,0.0789
V20,C13,-0.0787
C4,D8,-0.0781
D8,D14,0.0772
C11,D8,-0.0763
C10,C11,-0.0752
V6,C1,0.0752
V5,D10,-0.0744
V13,C13,0.0743
V19,D11,-0.0743
V13,C5,0.0741
C1,C7,-0.0738
V9,D11,-0.0733
V8,D3,-0.0732
V20,D3,-0.0709
V12,C5,0.0709
V5,D15,-0.0703
V20,C8,0.0698
V6,D11,-0.0692
V19,C14,-0.0689
C4,C11,-0.0688
V13,D3,-0.0682
V7,D2,-0.0659
V18,D6,0.0658
V18,C3,0.0656
V3,C12,0.0654
V17,C3,0.0651
V20,C10,0.0644
C2,C8,-0.0643
V4,D2,-0.0632
V17,D6,0.0629
C3,D8,0.0627
V9,C9,0.0616
V5,D3,-0.0609
V13,V20,0.0608
V20,D11,-0.0607
V3,V13,0.0606
D9,D15,0.0597
V7,D3,-0.0593
V3,C6,0.0592
V3,D11,-0.0584
V18,D13,-0.0581
V7,C14,0.058
V5,C13,-0.057
D7,D9,0.0569
V8,D2,-0.0566
C2,C10,-0.0565
D9,D13,0.0561
V20,D7,0.056
V14,D8,-0.0559
C2,C4,-0.0551
V20,D5,-0.055
V20,C9,-0.0541
V19,D2,-0.054
V19,D7,0.0537
V20,C3,-0.0527
V19,C3,-0.0527
D5,D9,0.0521
D3,D9,0.0517
V19,C1,-0.0517
V17,D13,-0.0512
V5,C5,-0.0511
D1,D8,0.0508
V9,C12,0.0508
C1,D3,0.0504
V11,V20,-0.0503
V10,V20,-0.0501
C3,D7,0.0499
V9,C6,0.0499
C11,D3,0.0498
V3,C9,0.0497
C7,D14,-0.0496
V19,D4,-0.0493
V8,C9,0.049
V5,D5,-0.049
C3,C5,-0.0488
C7,D6,-0.0482
C2,C3,-0.048
V14,C10,-0.0469
V7,V20,0.0469
C11,D5,0.0468
C3,C13,-0.0467
C6,D14,-0.0459
V14,C8,-0.0459
C6,D5,0.0456
V9,C2,0.0453
V17,C11,-0.0452
D10,D12,0.0452
V18,C11,-0.0446
V2,V13,0.0443
V19,C11,-0.0439
V6,D2,-0.0439
D7,D10,0.0435
V4,D4,-0.0435
V8,C11,0.0435
C6,D13,0.0434
V13,D5,-0.0434
V12,V20,0.0431
V7,C9,0.0425
V5,V10,-0.0425
V7,C2,0.0424
C11,C12,0.0424
V5,V13,0.0421
C3,D13,0.0416
V4,C5,-0.0414
V15,C11,-0.0413
V13,C14,0.0412
V18,D12,0.0411
V17,D12,0.0406
C1,D5,0.0405
V6,D3,-0.0402
V16,C11,-0.04
V3,C5,-0.0394
V2,D15,-0.0393
V5,D4,-0.0393
V7,C12,0.0393
C1,C3,-0.0391
V7,D11,-0.0391
V20,C14,-0.039
V14,C4,-0.0389
V2,C9,0.0387
V12,C11,-0.0384
V8,V10,0.0383
V19,C2,-0.038
V4,C9,-0.0379
V3,V12,0.0379
V12,D3,-0.0377
C3,C11,-0.0377
V9,V20,0.0377
V8,V11,0.0376
D4,D9,0.0376
V19,D3,-0.0375
V12,C13,0.0375
V7,C6,0.0373
V14,V20,0.0372
V14,V19,0.0372
V14,D7,-0.037
V2,D10,-0.0368
C12,D9,-0.0367
C3,D1,-0.0364
V12,V19,0.0361
V4,C14,-0.0361
D5,D14,0.036
V6,V19,0.0358
V4,C2,-0.0355
C3,C14,-0.0351
V9,V13,0.0349
V18,D9,-0.0347
V5,V11,-0.0346
C7,D9,-0.0346
V12,C2,-0.0346
V3,C11,0.0346
V11,V19,-0.0345
C2,D5,-0.0344
V2,D4,-0.0343
V5,V12,0.0343
V4,C11,-0.0342
V6,V20,0.0335
V5,C12,0.0335
V3,D10,-0.0333
V10,V19,-0.0333
V7,V13,0.0328
C2,D9,-0.0327
C10,D8,-0.0325
V15,D7,-0.0323
V12,D10,-0.0322
C12,D14,-0.0318
V4,V12,0.0314
D3,D14,-0.0313
D1,D9,-0.031
V13,C3,-0.031
C3,C12,-0.0303
V8,V13,0.0303
V2,D1,-0.03
V3,D15,-0.0299
V2,C6,0.0298
V4,V13,0.0297
V12,C3,-0.0297
V8,C6,0.0296
V17,D9,-0.0294
V16,C2,0.0293
V8,D15,-0.0293
V3,V10,-0.0293
V9,D15,-0.0292
V13,C6,0.0289
V16,D7,-0.0285
V6,V10,0.0284
V15,C2,0.0284
V6,V11,0.0282
C6,D3,0.0282
V14,D9,-0.0282
V7,V19,0.0279
V6,C9,0.0277
V14,C9,0.0276
V12,D4,-0.0269
V8,V20,0.0268
V4,D3,-0.0266
V2,V12,0.0266
V3,D4,-0.0266
C1,C12,-0.0261
D7,D14,-0.0257
D9,D12,0.0256
V13,C2,-0.0255
V20,D4,-0.0254
V18,D14,0.0253
C2,D3,-0.0252
V2,C13,-0.025
V19,D12,0.025
V15,D12,0.025
V2,C12,0.025
V2,V20,0.0249
V3,V20,0.0248
V8,V19,0.0246
V4,C1,-0.0243
V12,D15,-0.0242
C6,C7,-0.0241
C3,C7,-0.0241
V2,V19,0.0241
V6,V13,0.0239
V3,C1,0.0237
V13,C11,-0.0235
C3,D6,0.0234
V9,C1,0.0232
C6,D9,0.0231
V19,D5,-0.023
V14,D14,-0.0229
C12,D7,0.0225
V8,C2,0.0224
V6,D15,-0.0223
V9,D4,-0.0221
V13,D1,0.022
V13,V14,0.0219
V20,C1,-0.0219
V9,V11,0.0218
D2,D9,0.0217
V13,V19,0.0216
V8,D4,-0.0215
C1,D9,-0.0213
V9,V19,0.0211
C8,D9,-0.0211
V12,V14,0.021
V12,C14,0.0209
V4,V10,-0.0205
V6,D1,-0.0204
V2,C14,-0.0202
V7,C11,0.0201
V2,C11,0.0196
V4,V11,-0.0195
V14,D5,-0.0193
V14,C6,0.0191
V20,C11,-0.019
C11,D9,-0.0189
V7,D1,-0.0189
V2,V11,0.0189
V20,C2,-0.0186
V2,C5,-0.0184
V18,C2,0.0183
V6,D10,-0.0182
V8,D1,-0.0182
V14,C13,0.0182
V17,C2,0.018
V5,C14,-0.018
V9,C5,-0.0177
V16,D12,0.0175
V20,D12,0.0175
V2,V10,0.0172
V6,D4,-0.0172
V6,C12,0.0172
V6,C13,-0.0169
C10,D9,-0.0168
V5,C11,-0.0166
V4,D5,-0.0163
V6,C6,0.0162
V6,C2,0.0161
V8,C12,0.016
V12,D5,-0.0157
V14,C5,0.0157
V12,C1,-0.0152
V8,C1,0.0149
V14,C2,0.0149
V14,C14,0.0148
C7,C11,0.0146
C6,C12,0.0143
V8,D10,-0.0141
V7,V11,0.0141
V3,V19,0.0139
V3,V11,-0.0139
V5,C9,-0.0139
V3,D1,-0.0137
V14,D1,0.0137
V14,C1,0.0133
V14,D3,-0.0133
D6,D9,0.0133
C6,D7,-0.0132
V14,D2,-0.0132
V7,C13,0.0126
C4,D9,0.0124
V7,C5,-0.0121
V4,C12,0.012
C6,D6,0.0117
V8,C13,-0.011
V9,D1,-0.0105
V8,V12,0.0104
V15,C3,-0.0102
V16,C3,-0.0102
V14,C11,0.0101
C3,D14,0.0099
V9,V12,0.0099
C14,D9,0.0099
C3,D9,-0.0098
V14,D13,0.0098
V9,V10,0.0098
V7,D15,-0.0096
C3,D3,0.0094
V14,C12,0.0094
C13,D9,0.0093
V6,C11,0.0092
V6,C14,0.0091
V18,D8,-0.0091
C8,D7,0.0087
C3,D10,0.0087
V3,C13,0.0086
D9,D10,-0.0086
V12,C6,0.0084
V16,D9,-0.0083
V14,D10,0.0083
V9,D10,-0.0082
V5,C2,-0.0082
C11,D7,0.0077
V19,D9,0.0077
V14,V18,0.0075
V14,V17,0.0075
V8,C14,-0.0074
V14,C7,0.0073
C3,D2,-0.0073
V14,V16,0.0072
V14,V15,0.0072
V6,C5,-0.007
V2,C1,0.0068
V5,C1,-0.0063
V13,D4,-0.0062
V7,D4,-0.006
V15,D9,-0.0059
V9,C13,0.0053
V6,V12,0.0051
V20,D9,0.005
V7,V12,0.0049
V14,D6,-0.0049
V14,D15,0.0046
V3,C14,-0.0044
V7,D10,-0.0043
C7,D13,0.0043
V17,D14,-0.0038
C3,D15,0.0035
V13,C1,0.003
V9,C14,-0.0028
D9,D14,0.0027
V12,D1,-0.0026
V13,D10,0.0022
V13,D15,-0.0017
V8,C5,-0.0011
V17,D8,-0.0006
V14,D4,0.0004
V3,D8,0.0
V1,V11,0.0
V4,D14,0.0
V4,D13,0.0
V4,D12,0.0
V4,D9,0.0
V4,D8,0.0
V4,D7,0.0
V4,D6,0.0
V4,C10,0.0
V3,D6,0.0
V4,C8,0.0
V4,C7,0.0
V3,D9,0.0
V4,C4,0.0
V4,C3,0.0
V4,V18,0.0
V1,V10,0.0
V4,V17,0.0
V4,V16,0.0
V4,V15,0.0
V1,V12,0.0
V4,V14,0.0
V3,D14,0.0
V3,D7,0.0
V3,D13,0.0
V3,D12,0.0
V5,V14,0.0
V1,V18,0.0
D11,D12,0.0
V5,V15,0.0
V6,C3,0.0
V6,V18,0.0
V1,V4,0.0
V1,V5,0.0
V6,V17,0.0
V6,V16,0.0
V6,V15,0.0
V6,V14,0.0
V1,V6,0.0
V5,D14,0.0
V5,D13,0.0
V5,D12,0.0
V1,V7,0.0
V5,D9,0.0
V1,V8,0.0
V5,D8,0.0
V5,D7,0.0
V5,D6,0.0
V5,C10,0.0
V5,C8,0.0
V5,C7,0.0
V5,C4,0.0
V1,V9,0.0
V5,C3,0.0
D11,D14,0.0
V5,V18,0.0
D11,D13,0.0
V5,V17,0.0
V1,V13,0.0
V5,V16,0.0
V3,C7,0.0
V3,C10,0.0
V1,C12,0.0
V1,D11,0.0
V1,D10,0.0
V1,D9,0.0
V1,D8,0.0
V1,D7,0.0
V1,D6,0.0
V1,D5,0.0
V1,D4,0.0
V1,D3,0.0
V1,D2,0.0
V1,D1,0.0
D6,D11,0.0
V1,C14,0.0
V1,C13,0.0
V1,C11,0.0
V3,C8,0.0
V1,C10,0.0
V1,C9,0.0
D9,D11,0.0
V1,C8,0.0
D7,D11,0.0
V1,C7,0.0
V1,C6,0.0
V1,C5,0.0
V1,C4,0.0
V1,C3,0.0
V1,C2,0.0
D8,D11,0.0
V1,C1,0.0
V1,V20,0.0
V1,D12,0.0
V1,D13,0.0
V1,D14,0.0
V1,D15,0.0
V1,V19,0.0
V3,C4,0.0
V3,C3,0.0
V3,V18,0.0
V3,V17,0.0
V3,V16,0.0
V1,V14,0.0
V3,V15,0.0
V1,V15,0.0
V3,V14,0.0
V2,D14,0.0
V2,D13,0.0
V2,D12,0.0
V2,D9,0.0
V2,D8,0.0
V2,D7,0.0
V2,D6,0.0
V2,C10,0.0
V2,C8,0.0
V2,C7,0.0
V2,C4,0.0
V2,C3,0.0
V1,V16,0.0
V1,V17,0.0
V2,V18,0.0
V2,V17,0.0
V2,V16,0.0
V2,V15,0.0
V2,V14,0.0
V6,C4,0.0
V7,C8,0.0
V6,C7,0.0
V11,C7,0.0
V11,V15,0.0
V11,V16,0.0
V11,V17,0.0
V11,V18,0.0
V11,C3,0.0
V11,C4,0.0
V11,C8,0.0
V11,D14,0.0
V11,C10,0.0
V11,D6,0.0
V11,D7,0.0
V11,D8,0.0
V11,D9,0.0
V11,D12,0.0
V11,V14,0.0
V10,D14,0.0
V10,D13,0.0
V10,D12,0.0
V10,D9,0.0
V10,D8,0.0
V10,D7,0.0
V10,D6,0.0
V10,C10,0.0
V10,C8,0.0
C7,D11,0.0
V10,C7,0.0
V10,C4,0.0
V10,C3,0.0
V10,V18,0.0
V10,V17,0.0
V10,V16,0.0
V11,D13,0.0
V12,D6,0.0
V10,V14,0.0
V15,D11,0.0
V13,D13,0.0
V13,D14,0.0
V14,D11,0.0
V14,D12,0.0
V1,V3,0.0
C4,D11,0.0
V16,D11,0.0
V12,D7,0.0
V17,D11,0.0
V18,D11,0.0
C3,D4,0.0
C3,D5,0.0
C3,D11,0.0
C3,D12,0.0
C5,D6,0.0
C5,D7,0.0
C5,D8,0.0
C5,D9,0.0
V13,D12,0.0
C5,D12,0.0
C5,D13,0.0
C5,D14,0.0
V13,D9,0.0
V13,D8,0.0
V13,D7,0.0
V13,D6,0.0
V12,D14,0.0
V12,D13,0.0
V12,D12,0.0
V12,D9,0.0
V12,D8,0.0
V10,V15,0.0
V9,D14,0.0
V6,C8,0.0
V7,D13,0.0
V7,C10,0.0
V7,D6,0.0
V7,D7,0.0
V7,D8,0.0
V7,D9,0.0
V7,D12,0.0
V7,D14,0.0
V8,C4,0.0
C10,D11,0.0
V8,V14,0.0
V8,V15,0.0
V8,V16,0.0
V8,V17,0.0
V8,V18,0.0
V7,C7,0.0
V7,C4,0.0
V7,C3,0.0
V7,V18,0.0
V7,V17,0.0
V7,V16,0.0
V7,V15,0.0
V7,V14,0.0
V7,V10,0.0
V6,D14,0.0
V6,D13,0.0
V6,D12,0.0
V6,D9,0.0
V6,D8,0.0
V6,D7,0.0
V6,D6,0.0
V6,C10,0.0
V8,C3,0.0
V8,C7,0.0
V9,D13,0.0
V9,C8,0.0
V9,V16,0.0
V9,V17,0.0
V9,V18,0.0
V9,C3,0.0
V9,C4,0.0
V9,C7,0.0
V9,C10,0.0
V8,C8,0.0
C8,D11,0.0
V9,D6,0.0
V9,D7,0.0
V9,D8,0.0
V9,D9,0.0
V9,D12,0.0
V9,V15,0.0
V9,V14,0.0
V8,D14,0.0
V8,D13,0.0
C9,D6,0.0
C9,D7,0.0
C9,D8,0.0
C9,D9,0.0
V8,D12,0.0
V8,D9,0.0
C9,D12,0.0
C9,D13,0.0
C9,D14,0.0
V8,D8,0.0
V8,D7,0.0
V8,D6,0.0
V8,C10,0.0
V1,V2,0.0
