interaction,amt_bin,ProductCD,transaction_count,fraud_count,mean_amt,fraud_rate,relative_risk,card4,addr1,card6
ProductCD×addr1,,C,2,0,2,0.0,0.0,,112.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,117.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,119.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,120.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,124.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,126.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,127.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,128.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,129.0,
ProductCD×addr1,,C,342,29,342,8.4795,2.4234,,130.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,131.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,132.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,133.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,137.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,139.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,141.0,
ProductCD×addr1,,C,15,0,15,0.0,0.0,,142.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,144.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,145.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,146.0,
ProductCD×addr1,,C,96,0,96,0.0,0.0,,148.0,
ProductCD×addr1,,C,7,0,7,0.0,0.0,,152.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,153.0,
ProductCD×addr1,,C,13,0,13,0.0,0.0,,154.0,
ProductCD×addr1,,C,18,1,18,5.5556,1.5878,,155.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,156.0,
ProductCD×addr1,,C,421,82,421,19.4774,5.5666,,161.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,162.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,163.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,164.0,
ProductCD×addr1,,C,57,3,57,5.2632,1.5042,,167.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,172.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,178.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,180.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,183.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,184.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,185.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,187.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,189.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,190.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,193.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,195.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,200.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,201.0,
ProductCD×addr1,,C,7,0,7,0.0,0.0,,210.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,211.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,213.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,214.0,
ProductCD×addr1,,C,54,13,54,24.0741,6.8803,,216.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,217.0,
ProductCD×addr1,,C,6,0,6,0.0,0.0,,218.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,219.0,
ProductCD×addr1,,C,8,0,8,0.0,0.0,,221.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,233.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,234.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,235.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,238.0,
ProductCD×addr1,,C,31,6,31,19.3548,5.5315,,239.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,241.0,
ProductCD×addr1,,C,84,5,84,5.9524,1.7012,,242.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,243.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,244.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,248.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,249.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,252.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,257.0,
ProductCD×addr1,,C,38,0,38,0.0,0.0,,258.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,261.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,262.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,270.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,279.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,280.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,283.0,
ProductCD×addr1,,C,773,25,773,3.2342,0.9243,,284.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,290.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,292.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,298.0,
ProductCD×addr1,,C,5,0,5,0.0,0.0,,299.0,
ProductCD×addr1,,C,6,0,6,0.0,0.0,,300.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,302.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,304.0,
ProductCD×addr1,,C,9,6,9,66.6667,19.0531,,305.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,306.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,307.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,312.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,313.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,314.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,323.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,325.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,326.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,328.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,329.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,330.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,331.0,
ProductCD×addr1,,C,19,0,19,0.0,0.0,,332.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,333.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,335.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,338.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,339.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,341.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,345.0,
ProductCD×addr1,,C,10,0,10,0.0,0.0,,346.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,347.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,351.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,352.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,353.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,356.0,
ProductCD×addr1,,C,18,1,18,5.5556,1.5878,,359.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,360.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,365.0,
ProductCD×addr1,,C,7,0,7,0.0,0.0,,366.0,
ProductCD×addr1,,C,8,0,8,0.0,0.0,,371.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,372.0,
ProductCD×addr1,,C,14,1,14,7.1429,2.0414,,374.0,
ProductCD×addr1,,C,22,0,22,0.0,0.0,,375.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,379.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,382.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,385.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,386.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,389.0,
ProductCD×addr1,,C,35,16,35,45.7143,13.065,,391.0,
ProductCD×addr1,,C,10,0,10,0.0,0.0,,393.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,395.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,397.0,
ProductCD×addr1,,C,5,1,5,20.0,5.7159,,399.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,400.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,401.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,402.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,403.0,
ProductCD×addr1,,C,6,0,6,0.0,0.0,,404.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,406.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,408.0,
ProductCD×addr1,,C,14,0,14,0.0,0.0,,411.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,416.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,425.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,427.0,
ProductCD×addr1,,C,5,0,5,0.0,0.0,,430.0,
ProductCD×addr1,,C,38,13,38,34.2105,9.7772,,431.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,433.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,434.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,439.0,
ProductCD×addr1,,C,23,0,23,0.0,0.0,,443.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,446.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,450.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,451.0,
ProductCD×addr1,,C,8,0,8,0.0,0.0,,452.0,
ProductCD×addr1,,C,21,4,21,19.0476,5.4437,,453.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,454.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,456.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,457.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,462.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,464.0,
ProductCD×addr1,,C,503,42,503,8.3499,2.3864,,465.0,
ProductCD×addr1,,C,2,1,2,50.0,14.2898,,466.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,467.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,468.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,470.0,
ProductCD×addr1,,C,2,1,2,50.0,14.2898,,471.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,474.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,477.0,
ProductCD×addr1,,C,9,0,9,0.0,0.0,,478.0,
ProductCD×addr1,,C,6,0,6,0.0,0.0,,482.0,
ProductCD×addr1,,C,23,13,23,56.5217,16.1537,,483.0,
ProductCD×addr1,,C,54,0,54,0.0,0.0,,486.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,488.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,489.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,493.0,
ProductCD×addr1,,C,7,0,7,0.0,0.0,,496.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,500.0,
ProductCD×addr1,,C,4,2,4,50.0,14.2898,,501.0,
ProductCD×addr1,,C,10,0,10,0.0,0.0,,504.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,505.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,506.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,507.0,
ProductCD×addr1,,C,70,3,70,4.2857,1.2248,,508.0,
ProductCD×addr1,,C,157,10,157,6.3694,1.8203,,511.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,512.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,513.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,514.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,516.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,518.0,
ProductCD×addr1,,C,26,0,26,0.0,0.0,,520.0,
ProductCD×addr1,,C,6,0,6,0.0,0.0,,521.0,
ProductCD×addr1,,C,3,0,3,0.0,0.0,,523.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,526.0,
ProductCD×addr1,,C,4,0,4,0.0,0.0,,527.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,528.0,
ProductCD×addr1,,C,7,0,7,0.0,0.0,,529.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,530.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,531.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,535.0,
ProductCD×addr1,,C,6,0,6,0.0,0.0,,540.0,
ProductCD×addr1,,H,187,2,187,1.0695,0.3057,,110.0,
ProductCD×addr1,,H,76,9,76,11.8421,3.3844,,122.0,
ProductCD×addr1,,H,659,41,659,6.2215,1.7781,,123.0,
ProductCD×addr1,,H,1155,29,1155,2.5108,0.7176,,126.0,
ProductCD×addr1,,H,461,10,461,2.1692,0.6199,,143.0,
ProductCD×addr1,,H,16,0,16,0.0,0.0,,157.0,
ProductCD×addr1,,H,49,2,49,4.0816,1.1665,,158.0,
ProductCD×addr1,,H,177,17,177,9.6045,2.7449,,170.0,
ProductCD×addr1,,H,5,0,5,0.0,0.0,,171.0,
ProductCD×addr1,,H,483,27,483,5.5901,1.5976,,177.0,
ProductCD×addr1,,H,763,20,763,2.6212,0.7491,,181.0,
ProductCD×addr1,,H,957,26,957,2.7168,0.7765,,184.0,
ProductCD×addr1,,H,506,27,506,5.336,1.525,,191.0,
ProductCD×addr1,,H,157,2,157,1.2739,0.3641,,194.0,
ProductCD×addr1,,H,1,1,1,100.0,28.5796,,199.0,
ProductCD×addr1,,H,90,3,90,3.3333,0.9526,,203.0,
ProductCD×addr1,,H,2177,107,2177,4.915,1.4047,,204.0,
ProductCD×addr1,,H,282,4,282,1.4184,0.4054,,205.0,
ProductCD×addr1,,H,335,16,335,4.7761,1.365,,220.0,
ProductCD×addr1,,H,665,20,665,3.0075,0.8595,,225.0,
ProductCD×addr1,,H,467,21,467,4.4968,1.2852,,226.0,
ProductCD×addr1,,H,437,33,437,7.5515,2.1582,,231.0,
ProductCD×addr1,,H,115,6,115,5.2174,1.4911,,251.0,
ProductCD×addr1,,H,40,4,40,10.0,2.858,,253.0,
ProductCD×addr1,,H,11,0,11,0.0,0.0,,254.0,
ProductCD×addr1,,H,2,2,2,100.0,28.5796,,260.0,
ProductCD×addr1,,H,2339,100,2339,4.2753,1.2219,,264.0,
ProductCD×addr1,,H,191,10,191,5.2356,1.4963,,269.0,
ProductCD×addr1,,H,1062,61,1062,5.7439,1.6416,,272.0,
ProductCD×addr1,,H,367,78,367,21.2534,6.0741,,296.0,
ProductCD×addr1,,H,4555,201,4555,4.4127,1.2611,,299.0,
ProductCD×addr1,,H,158,13,158,8.2278,2.3515,,308.0,
ProductCD×addr1,,H,676,22,676,3.2544,0.9301,,310.0,
ProductCD×addr1,,H,1357,102,1357,7.5166,2.1482,,315.0,
ProductCD×addr1,,H,86,8,86,9.3023,2.6586,,324.0,
ProductCD×addr1,,H,2950,191,2950,6.4746,1.8504,,325.0,
ProductCD×addr1,,H,460,33,460,7.1739,2.0503,,327.0,
ProductCD×addr1,,H,1194,55,1194,4.6064,1.3165,,330.0,
ProductCD×addr1,,H,1160,36,1160,3.1034,0.8869,,337.0,
ProductCD×addr1,,H,123,4,123,3.252,0.9294,,343.0,
ProductCD×addr1,,H,38,4,38,10.5263,3.0084,,348.0,
ProductCD×addr1,,H,4,0,4,0.0,0.0,,349.0,
ProductCD×addr1,,H,9,0,9,0.0,0.0,,356.0,
ProductCD×addr1,,H,177,7,177,3.9548,1.1303,,384.0,
ProductCD×addr1,,H,352,10,352,2.8409,0.8119,,387.0,
ProductCD×addr1,,H,8,0,8,0.0,0.0,,410.0,
ProductCD×addr1,,H,29,1,29,3.4483,0.9855,,418.0,
ProductCD×addr1,,H,418,14,418,3.3493,0.9572,,420.0,
ProductCD×addr1,,H,2,0,2,0.0,0.0,,426.0,
ProductCD×addr1,,H,109,12,109,11.0092,3.1464,,428.0,
ProductCD×addr1,,H,10,0,10,0.0,0.0,,432.0,
ProductCD×addr1,,H,285,4,285,1.4035,0.4011,,433.0,
ProductCD×addr1,,H,219,9,219,4.1096,1.1745,,436.0,
ProductCD×addr1,,H,908,37,908,4.0749,1.1646,,441.0,
ProductCD×addr1,,H,137,7,137,5.1095,1.4603,,444.0,
ProductCD×addr1,,H,107,0,107,0.0,0.0,,448.0,
ProductCD×addr1,,H,375,20,375,5.3333,1.5242,,469.0,
ProductCD×addr1,,H,831,25,831,3.0084,0.8598,,472.0,
ProductCD×addr1,,H,367,15,367,4.0872,1.1681,,476.0,
ProductCD×addr1,,H,1,0,1,0.0,0.0,,479.0,
ProductCD×addr1,,H,207,6,207,2.8986,0.8284,,485.0,
ProductCD×addr1,,H,43,1,43,2.3256,0.6646,,492.0,
ProductCD×addr1,,H,251,1,251,0.3984,0.1139,,494.0,
ProductCD×addr1,,H,183,1,183,0.5464,0.1562,,498.0,
ProductCD×addr1,,H,17,0,17,0.0,0.0,,502.0,
ProductCD×addr1,,H,841,44,841,5.2319,1.4953,,512.0,
ProductCD×addr1,,H,1,0,1,0.0,0.0,,515.0,
ProductCD×addr1,,H,60,10,60,16.6667,4.7633,,536.0,
ProductCD×addr1,,R,310,7,310,2.2581,0.6454,,110.0,
ProductCD×addr1,,R,52,4,52,7.6923,2.1984,,122.0,
ProductCD×addr1,,R,640,36,640,5.625,1.6076,,123.0,
ProductCD×addr1,,R,1431,43,1431,3.0049,0.8588,,126.0,
ProductCD×addr1,,R,361,12,361,3.3241,0.95,,143.0,
ProductCD×addr1,,R,47,2,47,4.2553,1.2161,,158.0,
ProductCD×addr1,,R,78,5,78,6.4103,1.832,,170.0,
ProductCD×addr1,,R,6,2,6,33.3333,9.5265,,171.0,
ProductCD×addr1,,R,433,14,433,3.2333,0.9241,,177.0,
ProductCD×addr1,,R,1048,32,1048,3.0534,0.8726,,181.0,
ProductCD×addr1,,R,1434,32,1434,2.2315,0.6378,,184.0,
ProductCD×addr1,,R,996,25,996,2.51,0.7173,,191.0,
ProductCD×addr1,,R,214,0,214,0.0,0.0,,194.0,
ProductCD×addr1,,R,62,1,62,1.6129,0.461,,203.0,
ProductCD×addr1,,R,3332,129,3332,3.8715,1.1065,,204.0,
ProductCD×addr1,,R,273,10,273,3.663,1.0469,,205.0,
ProductCD×addr1,,R,173,4,173,2.3121,0.6608,,220.0,
ProductCD×addr1,,R,595,28,595,4.7059,1.3449,,225.0,
ProductCD×addr1,,R,278,10,278,3.5971,1.028,,226.0,
ProductCD×addr1,,R,510,23,510,4.5098,1.2889,,231.0,
ProductCD×addr1,,R,2,0,2,0.0,0.0,,236.0,
ProductCD×addr1,,R,235,9,235,3.8298,1.0945,,251.0,
ProductCD×addr1,,R,23,0,23,0.0,0.0,,253.0,
ProductCD×addr1,,R,21,0,21,0.0,0.0,,254.0,
ProductCD×addr1,,R,1,0,1,0.0,0.0,,260.0,
ProductCD×addr1,,R,1898,115,1898,6.059,1.7316,,264.0,
ProductCD×addr1,,R,500,7,500,1.4,0.4001,,269.0,
ProductCD×addr1,,R,916,77,916,8.4061,2.4024,,272.0,
ProductCD×addr1,,R,6019,172,6019,2.8576,0.8167,,299.0,
ProductCD×addr1,,R,59,4,59,6.7797,1.9376,,308.0,
ProductCD×addr1,,R,495,23,495,4.6465,1.328,,310.0,
ProductCD×addr1,,R,1446,66,1446,4.5643,1.3045,,315.0,
ProductCD×addr1,,R,112,2,112,1.7857,0.5103,,324.0,
ProductCD×addr1,,R,1950,83,1950,4.2564,1.2165,,325.0,
ProductCD×addr1,,R,1001,23,1001,2.2977,0.6567,,327.0,
ProductCD×addr1,,R,1346,30,1346,2.2288,0.637,,330.0,
ProductCD×addr1,,R,1513,59,1513,3.8995,1.1145,,337.0,
ProductCD×addr1,,R,371,12,371,3.2345,0.9244,,343.0,
ProductCD×addr1,,R,34,2,34,5.8824,1.6812,,348.0,
ProductCD×addr1,,R,78,12,78,15.3846,4.3969,,356.0,
ProductCD×addr1,,R,138,9,138,6.5217,1.8639,,384.0,
ProductCD×addr1,,R,1234,13,1234,1.0535,0.3011,,387.0,
ProductCD×addr1,,R,38,4,38,10.5263,3.0084,,418.0,
ProductCD×addr1,,R,314,8,314,2.5478,0.7282,,420.0,
ProductCD×addr1,,R,25,5,25,20.0,5.7159,,426.0,
ProductCD×addr1,,R,59,14,59,23.7288,6.7816,,428.0,
ProductCD×addr1,,R,28,11,28,39.2857,11.2277,,432.0,
ProductCD×addr1,,R,443,18,443,4.0632,1.1612,,433.0,
ProductCD×addr1,,R,97,4,97,4.1237,1.1785,,436.0,
ProductCD×addr1,,R,1485,33,1485,2.2222,0.6351,,441.0,
ProductCD×addr1,,R,47,0,47,0.0,0.0,,444.0,
ProductCD×addr1,,R,40,6,40,15.0,4.2869,,448.0,
ProductCD×addr1,,R,606,10,606,1.6502,0.4716,,469.0,
ProductCD×addr1,,R,938,43,938,4.5842,1.3101,,472.0,
ProductCD×addr1,,R,606,25,606,4.1254,1.179,,476.0,
ProductCD×addr1,,R,12,3,12,25.0,7.1449,,479.0,
ProductCD×addr1,,R,68,10,68,14.7059,4.2029,,485.0,
ProductCD×addr1,,R,26,1,26,3.8462,1.0992,,492.0,
ProductCD×addr1,,R,145,4,145,2.7586,0.7884,,494.0,
ProductCD×addr1,,R,194,7,194,3.6082,1.0312,,498.0,
ProductCD×addr1,,R,12,0,12,0.0,0.0,,502.0,
ProductCD×addr1,,R,566,40,566,7.0671,2.0197,,512.0,
ProductCD×addr1,,R,1,0,1,0.0,0.0,,515.0,
ProductCD×addr1,,R,234,40,234,17.094,4.8854,,536.0,
ProductCD×addr1,,S,7,1,7,14.2857,4.0828,,110.0,
ProductCD×addr1,,S,7,0,7,0.0,0.0,,122.0,
ProductCD×addr1,,S,576,86,576,14.9306,4.2671,,123.0,
ProductCD×addr1,,S,183,8,183,4.3716,1.2494,,126.0,
ProductCD×addr1,,S,26,0,26,0.0,0.0,,143.0,
ProductCD×addr1,,S,1,0,1,0.0,0.0,,158.0,
ProductCD×addr1,,S,20,1,20,5.0,1.429,,170.0,
ProductCD×addr1,,S,1,0,1,0.0,0.0,,171.0,
ProductCD×addr1,,S,13,1,13,7.6923,2.1984,,177.0,
ProductCD×addr1,,S,87,12,87,13.7931,3.942,,181.0,
ProductCD×addr1,,S,522,6,522,1.1494,0.3285,,184.0,
ProductCD×addr1,,S,56,1,56,1.7857,0.5103,,191.0,
ProductCD×addr1,,S,1,0,1,0.0,0.0,,194.0,
ProductCD×addr1,,S,466,18,466,3.8627,1.1039,,203.0,
ProductCD×addr1,,S,349,19,349,5.4441,1.5559,,204.0,
ProductCD×addr1,,S,18,1,18,5.5556,1.5878,,205.0,
ProductCD×addr1,,S,14,0,14,0.0,0.0,,220.0,
ProductCD×addr1,,S,32,5,32,15.625,4.4656,,225.0,
ProductCD×addr1,,S,22,1,22,4.5455,1.2991,,226.0,
ProductCD×addr1,,S,45,2,45,4.4444,1.2702,,231.0,
ProductCD×addr1,,S,1,0,1,0.0,0.0,,236.0,
