feature_name,pearson_correlation,spearman_correlation,point_biserial_correlation,mutual_information
V249,0.076377,0.239855,0.076377,0.013931
V197,0.152135,0.101088,0.152135,0.013919
V203,-0.014157,0.209203,-0.014157,0.013899
V228,0.240495,0.263664,0.240495,0.01374
D7,-0.144472,-0.230158,-0.144472,0.013649
V277,0.00616,0.146539,0.00616,0.013631
V247,0.139246,0.268221,0.139246,0.013617
V93,0.164597,0.165782,0.164597,0.013487
V239,0.1361,0.141533,0.1361,0.01343
V240,-0.009393,-0.009393,-0.009393,0.013317
id_37,0.011001,0.011001,0.011001,0.013308
V43,0.181465,0.167885,0.181465,0.013258
V212,-0.015226,0.248755,-0.015226,0.013245
V221,0.212826,0.074236,0.212826,0.013011
V182,-0.003477,0.096522,-0.003477,0.012977
D12,-0.079641,0.023928,-0.079641,0.012941
V185,0.107109,0.106936,0.107109,0.012873
id_01,-0.133131,-0.124471,-0.133131,0.01286
V79,0.172691,0.174243,0.172691,0.012735
V265,0.014535,0.26964,0.014535,0.012711
V253,0.010746,0.179534,0.010746,0.012708
V52,0.246201,0.187705,0.246201,0.012521
V250,0.022305,-0.00909,0.022305,0.012425
V213,-0.013992,0.240085,-0.013992,0.012374
V236,0.031083,0.148191,0.031083,0.012335
V245,0.195767,0.06497,0.195767,0.012194
V94,0.175721,0.175721,0.175721,0.012119
V71,0.144083,0.13945,0.144083,0.012043
C12,0.070934,0.141329,0.070934,0.01201
V33,0.171402,0.167865,0.171402,0.011944
id_11,0.015092,0.012497,0.015092,0.011841
V169,0.027828,0.021312,0.027828,0.011836
V254,0.02794,0.190483,0.02794,0.011793
V173,-0.034365,-0.033907,-0.034365,0.011683
V21,0.149181,0.148418,0.149181,0.011676
V91,-0.098047,-0.105638,-0.098047,0.011667
V276,0.012642,0.117735,0.012642,0.011587
C14,0.038313,-0.066348,0.038313,0.011578
V92,0.175857,0.16547,0.175857,0.011538
addr2,-0.038918,-0.048497,-0.038918,0.011491
V180,-0.002584,0.094219,-0.002584,0.01135
V274,0.01707,0.319931,0.01707,0.011349
C10,0.066718,0.149332,0.066718,0.011294
V81,0.175443,0.16489,0.175443,0.011235
id_09,-0.018228,0.034883,-0.018228,0.011147
V275,0.020671,0.315285,0.020671,0.011104
V268,-0.008743,0.015641,-0.008743,0.011062
V44,0.258587,0.203082,0.258587,0.011057
V32,0.158508,0.151041,0.158508,0.011029
V85,0.149955,0.157607,0.149955,0.010964
id_35,0.120183,0.120183,0.120183,0.010916
V266,-0.012478,-0.008084,-0.012478,0.010898
V234,-0.023582,0.118958,-0.023582,0.010806
V80,0.181561,0.163367,0.181561,0.010603
V193,0.033143,0.200578,0.033143,0.010557
V30,-0.096065,-0.101968,-0.096065,0.010448
V273,0.020901,0.323522,0.020901,0.010422
V202,-0.016212,0.200645,-0.016212,0.010399
V251,0.039045,-0.003045,0.039045,0.010201
id_10,0.014007,0.020645,0.014007,0.010183
id_03,-0.034357,0.032823,-0.034357,0.010127
D3,-0.045871,-0.118308,-0.045871,0.010107
id_02,0.035897,0.044156,0.035897,0.010009
V231,0.043276,0.325005,0.043276,0.009969
V195,0.135572,0.109212,0.135572,0.009967
V303,0.116584,0.134001,0.116584,0.009949
V237,0.028613,0.12788,0.028613,0.00991
V283,0.126134,0.109289,0.126134,0.009783
V261,0.075289,0.133055,0.075289,0.009757
V47,0.196438,0.140948,0.196438,0.009742
V184,0.108582,0.125465,0.108582,0.009725
V302,0.132888,0.131346,0.132888,0.009655
V167,-0.011048,0.205964,-0.011048,0.00961
V252,0.11693,0.233698,0.11693,0.009555
V172,-0.015694,-0.015994,-0.015694,0.009484
V194,0.138951,0.104496,0.138951,0.009366
V262,0.12633,0.106712,0.12633,0.009342
V34,0.17031,0.166551,0.17031,0.009294
V205,-0.007407,-0.01524,-0.007407,0.009273
V269,-0.012838,-0.007816,-0.012838,0.009189
V256,0.075669,0.004742,0.075669,0.009148
V181,0.023218,0.08327,0.023218,0.009119
V191,0.050978,0.178804,0.050978,0.009049
id_13,-0.001895,-0.014604,-0.001895,0.008973
V36,-0.05423,-0.058683,-0.05423,0.008887
V255,0.054493,0.000761,0.054493,0.008772
V64,0.121576,0.131482,0.121576,0.008751
C5,-0.029561,-0.097413,-0.029561,0.008713
V223,-0.007578,-0.008472,-0.007578,0.008697
V42,0.174033,0.166734,0.174033,0.008682
V58,0.15393,0.150475,0.15393,0.008643
V29,-0.09997,-0.102137,-0.09997,0.008576
V51,0.223852,0.186478,0.223852,0.008544
V211,-0.016967,0.239022,-0.016967,0.008537
M6,0.001757,0.001757,0.001757,0.008516
V50,0.171176,0.172032,0.171176,0.008509
V48,-0.109816,-0.112835,-0.109816,0.008344
id_04,-0.065523,-0.040457,-0.065523,0.008256
V204,-0.014119,0.205637,-0.014119,0.008206
V63,0.13186,0.131842,0.13186,0.008144
V60,0.123293,0.137034,0.123293,0.008141
V272,0.015457,0.027019,0.015457,0.008081
V174,0.020395,0.011355,0.020395,0.00797
id_29,0.079506,0.079506,0.079506,0.007945
id_28,0.073904,0.073904,0.073904,0.007817
id_16,0.106698,0.106698,0.106698,0.007807
card1,0.002832,0.001872,0.002832,0.007772
V206,-0.022609,-0.033674,-0.022609,0.007771
id_06,-0.034792,-0.058795,-0.034792,0.007663
V77,0.144201,0.121077,0.144201,0.007645
TransactionAmt,0.021057,0.009624,0.021057,0.007599
V15,0.170631,0.163607,0.170631,0.00759
C13,0.015962,-0.077184,0.015962,0.007513
D9,-0.024577,0.002277,-0.024577,0.00746
addr1,0.008957,0.010415,0.008957,0.007442
V241,-0.004695,-0.004695,-0.004695,0.007415
V73,0.160458,0.154227,0.160458,0.007393
V149,0.241329,0.143594,0.241329,0.007215
D2,-0.084373,-0.112277,-0.084373,0.007207
V62,0.080526,0.061166,0.080526,0.007163
V22,0.145886,0.148412,0.145886,0.007066
V278,0.004282,0.12749,0.004282,0.007061
V23,0.1914,0.119731,0.1914,0.00704
V318,0.002504,0.107417,0.002504,0.007008
V61,0.050473,0.04672,0.050473,0.006999
V70,-0.099843,-0.10547,-0.099843,0.006916
id_38,0.055193,0.055193,0.055193,0.006911
id_20,0.037472,0.045234,0.037472,0.006896
D8,-0.116901,-0.16571,-0.116901,0.006869
id_12,-0.026809,-0.026809,-0.026809,0.006864
V35,-0.0583,-0.0591,-0.0583,0.006621
V16,0.172569,0.16371,0.172569,0.006611
D13,-0.063552,-0.02486,-0.063552,0.006592
D4,-0.081012,-0.072527,-0.081012,0.006548
V90,-0.102424,-0.105931,-0.102424,0.006444
V144,-0.053821,0.038031,-0.053821,0.006353
V214,0.008319,0.082829,0.008319,0.006344
V38,0.195266,0.158365,0.195266,0.006274
V20,0.059478,0.042879,0.059478,0.006266
V196,0.041758,0.178551,0.041758,0.006242
V72,0.143079,0.140361,0.143079,0.006194
V134,-0.002512,0.134619,-0.002512,0.006158
C9,-0.031198,-0.094108,-0.031198,0.00615
V151,-0.060467,0.038475,-0.060467,0.006133
D6,-0.093894,-0.007675,-0.093894,0.006098
V227,0.042919,0.025385,0.042919,0.006081
V215,0.004531,0.096646,0.004531,0.005963
C2,0.070937,0.087213,0.070937,0.005956
V59,0.138829,0.13735,0.138829,0.005949
V7,0.019705,0.021838,0.019705,0.005944
D11,-0.035233,-0.021925,-0.035233,0.005903
V31,0.154833,0.150652,0.154833,0.005878
V226,0.008483,0.030216,0.008483,0.005813
V290,0.027637,0.053768,0.027637,0.005719
V126,-0.001262,0.105817,-0.001262,0.005702
V207,-0.008495,-0.008839,-0.008495,0.005684
V177,-0.011791,0.242384,-0.011791,0.005661
V175,-0.003205,0.011663,-0.003205,0.005588
V75,-0.033575,-0.037849,-0.033575,0.005559
V18,0.182402,0.154113,0.182402,0.005558
V37,0.164554,0.157762,0.164554,0.005486
C1,0.06413,0.075663,0.06413,0.005314
D15,-0.084417,-0.087028,-0.084417,0.005272
V317,0.001744,0.108898,0.001744,0.005215
V166,-0.045808,0.038775,-0.045808,0.005165
V295,-0.003838,0.107374,-0.003838,0.005158
V146,0.147589,0.145417,0.147589,0.005138
V164,-0.028846,0.02502,-0.028846,0.005106
dist2,-0.01879,-0.024615,-0.01879,0.0051
V238,0.116831,0.13801,0.116831,0.005088
V282,0.111735,0.104307,0.111735,0.005048
id_36,-0.033779,-0.033779,-0.033779,0.004923
V102,-0.0044,0.121406,-0.0044,0.00488
V156,0.244337,0.140196,0.244337,0.004836
V270,0.012068,0.027976,0.012068,0.004809
V24,0.159199,0.098612,0.159199,0.004796
M2,0.006401,0.006401,0.006401,0.00476
V128,-0.001314,0.08143,-0.001314,0.004673
V66,0.020948,0.01095,0.020948,0.004666
M9,-0.024248,-0.024248,-0.024248,0.004658
C6,0.053286,0.055573,0.053286,0.004642
D5,-0.074703,-0.177849,-0.074703,0.00456
V220,0.082832,0.035714,0.082832,0.004545
V224,-0.002227,0.028725,-0.002227,0.004487
id_21,0.202031,0.155623,0.202031,0.004486
card5,-0.029047,-0.034393,-0.029047,0.004474
V154,0.200887,0.118943,0.200887,0.004377
V10,-0.064628,-0.068359,-0.064628,0.004376
V5,0.033568,0.019859,0.033568,0.004354
V155,0.220852,0.122751,0.220852,0.004338
V13,-0.032717,-0.042153,-0.032717,0.004336
V8,0.006291,0.00955,0.006291,0.004311
V308,0.004464,0.071371,0.004464,0.0043
V225,-0.004515,0.013861,-0.004515,0.004291
V56,0.036533,0.062828,0.036533,0.004231
D14,-0.00353,0.088576,-0.00353,0.004092
D10,-0.072973,-0.081795,-0.072973,0.004023
V100,0.009685,0.019757,0.009685,0.004019
V143,-0.030187,0.024404,-0.030187,0.003938
M3,0.00346,0.00346,0.00346,0.003905
V267,-0.008023,0.030283,-0.008023,0.003901
V11,-0.065096,-0.069321,-0.065096,0.003875
V294,-0.002889,0.10866,-0.002889,0.00378
V133,-0.00266,0.120372,-0.00266,0.00371
V74,0.167814,0.15444,0.167814,0.003646
V83,0.071667,0.058164,0.071667,0.003646
V17,0.176233,0.153735,0.176233,0.00364
V147,0.192122,0.161932,0.192122,0.003621
V297,0.004718,0.01861,0.004718,0.003596
V110,0.117736,0.105057,0.117736,0.003588
V41,0.004222,0.004222,0.004222,0.003514
V209,-0.021298,0.009171,-0.021298,0.003392
V57,0.155261,0.149618,0.155261,0.00339
V150,-0.063247,0.074179,-0.063247,0.003386
V271,0.019306,0.030831,0.019306,0.003358
V78,0.116281,0.117159,0.116281,0.003354
V309,0.033606,0.033211,0.033606,0.003352
V324,-0.024317,0.05914,-0.024317,0.003348
V131,0.022534,0.023127,0.022534,0.003319
dist1,0.01307,0.010845,0.01307,0.003302
V307,0.002355,0.032495,0.002355,0.003271
V69,-0.101579,-0.104733,-0.101579,0.00327
V288,0.038566,0.035607,0.038566,0.003267
V279,-0.003165,0.08242,-0.003165,0.003255
V88,0.00459,0.00459,0.00459,0.003239
V1,0.0,0.0,0.0,0.003156
V99,-0.010871,-0.021404,-0.010871,0.003124
has_identity,0.131376,0.131376,0.131376,0.003066
id_05,-0.00108,0.023622,-0.00108,0.003059
V6,-0.005069,-0.003042,-0.005069,0.00303
V53,-0.02985,-0.03402,-0.02985,0.002865
V108,0.139534,0.12848,0.139534,0.002759
V124,0.086413,0.058815,0.086413,0.002713
id_24,0.188961,0.196269,0.188961,0.002631
V26,0.031601,0.017982,0.031601,0.002597
V19,0.035245,0.030369,0.035245,0.002588
id_14,0.050362,0.030009,0.050362,0.002563
V12,-0.037348,-0.041977,-0.037348,0.002534
V125,0.123117,0.090211,0.123117,0.002529
V97,-0.004041,0.082642,-0.004041,0.002507
V153,0.19085,0.111722,0.19085,0.002443
V157,0.209872,0.124164,0.209872,0.002319
V132,-0.002111,0.13624,-0.002111,0.002285
V158,0.242734,0.137178,0.242734,0.002266
id_32,0.05755,0.059075,0.05755,0.00226
V140,0.188633,0.127538,0.188633,0.002122
V162,0.033673,0.101512,0.033673,0.0021
V105,-0.002062,0.017334,-0.002062,0.00207
V292,0.009146,0.065074,0.009146,0.001901
V332,-0.024515,0.054655,-0.024515,0.001893
V54,-0.025534,-0.033022,-0.025534,0.001863
V129,0.027684,0.02936,0.027684,0.001845
C11,0.061727,0.077726,0.061727,0.001844
V165,-0.053784,0.017515,-0.053784,0.001835
V216,-0.002072,0.094003,-0.002072,0.001824
V117,0.051405,0.051403,0.051405,0.001693
V123,0.160536,0.115756,0.160536,0.001692
V67,0.06525,0.053653,0.06525,0.001691
V305,0.0,0.0,0.0,0.00167
V325,0.015297,0.016282,0.015297,0.001668
V293,-0.003888,0.094772,-0.003888,0.001579
V118,0.041834,0.04184,0.041834,0.001493
V289,0.056843,0.040618,0.056843,0.001411
V137,-0.000936,0.018745,-0.000936,0.001335
V9,0.043266,0.054416,0.043266,0.001327
V335,-0.007904,0.005271,-0.007904,0.00117
V287,0.013655,0.02588,0.013655,0.001012
V320,0.00485,0.026632,0.00485,0.000982
id_26,0.202578,0.186379,0.202578,0.000976
V135,0.000547,0.019972,0.000547,0.000964
D1,-0.070892,-0.067975,-0.070892,0.000936
V281,0.071972,0.071484,0.071972,0.000934
V210,0.000521,0.012864,0.000521,0.000894
V116,0.113765,0.093851,0.113765,0.000868
V98,0.026204,0.028553,0.026204,0.000861
V319,0.001473,0.018524,0.001473,0.000829
V46,0.154663,0.114316,0.154663,0.000734
V306,0.001758,0.083879,0.001758,0.000689
V296,-0.001381,0.020382,-0.001381,0.000658
V312,0.03773,0.030636,0.03773,0.000648
V339,-0.022605,0.0234,-0.022605,0.000648
V330,-0.019931,0.025245,-0.019931,0.000613
V322,-0.020666,0.056394,-0.020666,0.000598
V337,-0.009519,0.015733,-0.009519,0.00055
V260,0.132428,0.085353,0.132428,0.000443
V2,0.010383,0.011807,0.010383,0.000431
id_27,-0.029348,-0.029348,-0.029348,0.000418
V323,-0.023599,0.056596,-0.023599,0.000393
V3,0.048042,0.040677,0.048042,0.000366
V280,-0.003132,0.069707,-0.003132,0.000346
V327,-0.002858,0.009883,-0.002858,0.000244
V121,0.013374,0.008817,0.013374,0.000162
V103,-0.004566,0.135862,-0.004566,0.000102
V55,0.036716,0.061582,0.036716,7.9e-05
V65,0.00329,0.00329,0.00329,8e-06
V316,0.0007,0.095673,0.0007,6e-06
V106,-0.002635,0.018965,-0.002635,0.0
M7,0.010231,0.010231,0.010231,0.0
id_07,-0.214275,-0.221663,-0.214275,0.0
id_08,-0.049212,-0.028724,-0.049212,0.0
M8,-0.022686,-0.022686,-0.022686,0.0
V139,0.120631,0.107863,0.120631,0.0
V138,0.035426,0.081279,0.035426,0.0
V28,-0.003488,-0.003662,-0.003488,0.0
V141,0.107608,0.093241,0.107608,0.0
V142,0.113017,0.09064,0.113017,0.0
M1,-0.002129,-0.002129,-0.002129,0.0
V145,-0.062342,0.035012,-0.062342,0.0
V338,-0.025949,0.02382,-0.025949,0.0
M5,0.010065,0.010065,0.010065,0.0
V152,-0.060856,0.053564,-0.060856,0.0
V148,0.211599,0.122422,0.211599,0.0
V112,0.148708,0.141467,0.148708,0.0
card2,0.01184,0.010337,0.01184,0.0
V95,-0.002589,0.108001,-0.002589,0.0
V161,0.02349,0.093628,0.02349,0.0
V160,-0.058931,-0.036147,-0.058931,0.0
V89,-0.003871,-0.004048,-0.003871,0.0
V159,-0.061904,-0.058215,-0.061904,0.0
C3,-0.010425,-0.01141,-0.010425,0.0
id_25,-0.100565,-0.091358,-0.100565,0.0
V76,-0.032245,-0.038815,-0.032245,0.0
V101,-0.003392,0.137328,-0.003392,0.0
id_22,0.201841,0.199728,0.201841,0.0
V82,0.057503,0.050696,0.057503,0.0
V104,0.007906,0.020402,0.007906,0.0
id_18,0.032334,0.054961,0.032334,0.0
V113,0.16776,0.165993,0.16776,0.0
V336,-0.00891,0.010671,-0.00891,0.0
V27,-0.003662,-0.003662,-0.003662,0.0
V291,0.00235,0.04477,0.00235,0.0
V114,0.136731,0.114734,0.136731,0.0
V334,-0.002051,0.016335,-0.002051,0.0
V310,0.004444,-0.012444,0.004444,0.0
V136,0.000335,0.017254,0.000335,0.0
V122,0.021269,0.01382,0.021269,0.0
V284,0.02651,0.031554,0.02651,0.0
V4,0.006172,0.005458,0.006172,0.0
V130,-0.001174,-0.015963,-0.001174,0.0
V107,0.00488,0.00488,0.00488,0.0
V301,0.047322,0.04442,0.047322,0.0
V300,0.038156,0.03064,0.038156,0.0
V299,-0.001879,0.026803,-0.001879,0.0
V298,-0.00089,0.026181,-0.00089,0.0
V127,-0.002433,0.034286,-0.002433,0.0
V285,-0.011159,-0.019212,-0.011159,0.0
V208,0.012795,0.011775,0.012795,0.0
V286,0.013504,0.013741,0.013504,0.0
V311,0.010517,0.014044,0.010517,0.0
V120,0.027797,0.01997,0.027797,0.0
V313,0.058597,0.039927,0.058597,0.0
V326,-0.005184,0.004848,-0.005184,0.0
V333,-0.025397,0.057528,-0.025397,0.0
V109,0.090379,0.079189,0.090379,0.0
V331,-0.022205,0.053101,-0.022205,0.0
V115,0.08576,0.06508,0.08576,0.0
V329,-0.02378,0.02601,-0.02378,0.0
V328,-0.005048,0.017597,-0.005048,0.0
V25,0.002518,-0.004567,0.002518,0.0
V314,0.059188,0.033755,0.059188,0.0
V163,0.033631,0.091146,0.033631,0.0
V119,0.048841,0.048847,0.048841,0.0
V321,0.001911,0.026978,0.001911,0.0
V14,-0.014448,-0.014448,-0.014448,0.0
V111,0.170384,0.170333,0.170384,0.0
V315,0.072279,0.043852,0.072279,0.0
V68,-0.003121,-0.00329,-0.003121,0.0
