feature_1,feature_2,correlation,abs_correlation
V211,V308,0.892053,0.892053
V211,V128,0.891902,0.891902
V204,V202,0.891891,0.891891
V308,V132,0.891861,0.891861
V317,V126,0.891542,0.891542
V132,V273,0.890963,0.890963
V331,V263,0.890415,0.890415
V332,V338,0.890249,0.890249
V211,V264,0.890247,0.890247
V212,V126,0.890023,0.890023
V212,V331,0.889758,0.889758
V164,V308,0.889604,0.889604
V333,V164,0.88939,0.88939
V307,V316,0.889061,0.889061
V212,V306,0.888973,0.888973
V212,V132,0.888776,0.888776
V333,V263,0.888668,0.888668
V212,V316,0.88857,0.88857
V164,V128,0.888181,0.888181
V203,V127,0.887781,0.887781
V203,V307,0.887763,0.887763
V307,V126,0.887369,0.887369
V332,V203,0.886997,0.886997
V203,V133,0.886671,0.886671
V203,V317,0.88656,0.88656
V164,V213,0.886249,0.886249
V306,V263,0.885684,0.885684
V307,V132,0.884959,0.884959
V166,V150,0.884609,0.884609
V126,V273,0.884594,0.884594
V203,V134,0.88169,0.88169
V134,V338,0.881672,0.881672
V203,V318,0.881424,0.881424
V318,V338,0.880836,0.880836
V203,V308,0.88078,0.88078
V203,V128,0.88072,0.88072
V127,V338,0.880641,0.880641
V203,V333,0.880627,0.880627
V212,V164,0.879448,0.879448
V307,V338,0.878325,0.878325
V204,V211,0.877783,0.877783
V160,V159,0.87534,0.87534
V332,V273,0.874424,0.874424
V126,V263,0.874406,0.874406
V128,V273,0.874373,0.874373
V165,V318,0.874094,0.874094
V165,V134,0.873543,0.873543
V127,V273,0.872985,0.872985
V165,V308,0.872593,0.872593
V165,V333,0.872081,0.872081
V165,V128,0.871522,0.871522
V204,V331,0.871452,0.871452
V306,V273,0.871343,0.871343
V204,V306,0.871123,0.871123
V204,V126,0.870993,0.870993
V165,V307,0.870441,0.870441
V165,V127,0.869997,0.869997
V165,V317,0.869913,0.869913
V332,V165,0.869757,0.869757
V308,V263,0.869623,0.869623
V165,V133,0.869449,0.869449
V307,V263,0.866518,0.866518
V204,V132,0.866274,0.866274
V204,V316,0.865795,0.865795
V165,V213,0.865235,0.865235
V308,V273,0.863327,0.863327
V133,V338,0.863218,0.863218
V332,V263,0.862268,0.862268
V307,V273,0.862186,0.862186
V317,V338,0.861487,0.861487
V213,V338,0.861311,0.861311
V128,V263,0.859857,0.859857
V159,V166,0.858844,0.858844
V204,V164,0.858715,0.858715
V127,V263,0.857681,0.857681
V204,V338,0.857058,0.857058
V134,V263,0.853006,0.853006
V133,V263,0.851847,0.851847
V132,V263,0.850427,0.850427
V317,V263,0.848501,0.848501
V318,V263,0.848311,0.848311
V265,V263,0.848091,0.848091
V264,V267,0.847997,0.847997
V316,V263,0.845545,0.845545
V333,V275,0.844392,0.844392
V264,V265,0.844097,0.844097
V203,V202,0.843964,0.843964
V165,V212,0.842917,0.842917
V160,V166,0.840498,0.840498
V165,V164,0.83953,0.83953
V165,V204,0.839457,0.839457
V317,V275,0.835881,0.835881
V318,V275,0.835625,0.835625
V134,V275,0.830725,0.830725
V212,V338,0.830568,0.830568
V331,V275,0.830547,0.830547
V133,V275,0.829515,0.829515
V316,V275,0.828547,0.828547
V264,V277,0.82685,0.82685
V132,V275,0.826497,0.826497
V203,V211,0.82497,0.82497
V164,V273,0.823526,0.823526
V126,V275,0.820372,0.820372
V332,V275,0.819854,0.819854
V128,V275,0.813577,0.813577
V127,V275,0.813154,0.813154
V203,V126,0.812753,0.812753
V203,V331,0.812647,0.812647
V203,V306,0.812083,0.812083
V308,V275,0.811214,0.811214
V307,V275,0.810476,0.810476
V274,V273,0.809774,0.809774
V203,V132,0.809306,0.809306
V203,V316,0.808693,0.808693
V274,V263,0.808542,0.808542
V306,V275,0.808284,0.808284
V203,V164,0.800118,0.800118
V265,V273,0.799344,0.799344
V203,V215,0.798143,0.798143
V164,V263,0.797898,0.797898
V165,V306,0.792953,0.792953
V165,V331,0.792032,0.792032
V165,V126,0.791587,0.791587
V165,V316,0.790797,0.790797
V165,V211,0.790325,0.790325
V165,V132,0.790202,0.790202
V165,V202,0.789017,0.789017
V203,V338,0.78239,0.78239
V331,V338,0.77344,0.77344
V126,V338,0.771811,0.771811
V308,V265,0.769386,0.769386
V203,V165,0.768695,0.768695
V307,V265,0.76745,0.76745
V306,V338,0.765762,0.765762
V165,V338,0.76432,0.76432
V202,V338,0.762074,0.762074
V164,V275,0.759134,0.759134
V128,V265,0.753909,0.753909
V333,V265,0.75365,0.75365
V127,V265,0.752393,0.752393
V132,V338,0.75213,0.75213
V316,V338,0.750669,0.750669
V211,V338,0.743154,0.743154
V164,V338,0.742498,0.742498
V331,V265,0.739708,0.739708
V306,V265,0.73784,0.73784
V332,V265,0.733665,0.733665
V333,V274,0.733644,0.733644
V126,V265,0.7309,0.7309
V317,V274,0.727786,0.727786
V318,V274,0.727411,0.727411
V134,V274,0.72332,0.72332
V133,V274,0.72289,0.72289
V331,V274,0.721167,0.721167
V316,V274,0.721047,0.721047
V317,V265,0.720027,0.720027
V318,V265,0.719453,0.719453
V132,V274,0.719421,0.719421
V134,V265,0.719246,0.719246
V133,V265,0.718631,0.718631
V132,V265,0.714663,0.714663
V126,V274,0.713954,0.713954
V332,V274,0.713332,0.713332
V204,V215,0.711642,0.711642
V316,V265,0.71106,0.71106
V127,V274,0.708892,0.708892
V128,V274,0.708473,0.708473
V308,V274,0.706198,0.706198
V307,V274,0.705905,0.705905
V306,V274,0.703309,0.703309
V267,V277,0.700087,0.700087
V265,V277,0.69723,0.69723
V264,V275,0.692995,0.692995
V203,V277,0.68896,0.68896
V212,V215,0.670658,0.670658
V264,V215,0.669126,0.669126
V164,V265,0.663792,0.663792
V204,V277,0.661933,0.661933
V164,V274,0.656805,0.656805
V265,V215,0.645427,0.645427
V274,V277,0.629244,0.629244
V215,V338,0.625547,0.625547
V213,V215,0.622995,0.622995
V264,V263,0.622481,0.622481
V274,V267,0.614444,0.614444
V263,V338,0.601761,0.601761
V202,V277,0.58446,0.58446
V308,V215,0.567308,0.567308
V128,V215,0.562096,0.562096
V263,V215,0.557587,0.557587
V333,V215,0.556271,0.556271
V307,V215,0.55516,0.55516
V264,V273,0.554891,0.554891
V127,V215,0.550268,0.550268
V332,V215,0.546661,0.546661
V134,V215,0.544793,0.544793
V318,V215,0.543705,0.543705
V338,V277,0.539023,0.539023
V133,V215,0.53368,0.53368
V265,V338,0.533643,0.533643
V317,V215,0.532895,0.532895
V307,V264,0.532215,0.532215
V215,V207,0.531264,0.531264
V203,V267,0.530928,0.530928
V308,V264,0.529035,0.529035
V204,V267,0.527955,0.527955
V202,V215,0.525291,0.525291
V127,V264,0.520045,0.520045
V128,V264,0.519162,0.519162
V333,V264,0.518488,0.518488
V332,V264,0.510976,0.510976
V273,V338,0.509545,0.509545
V165,V166,0.507155,0.507155
V264,V306,0.507151,0.507151
V331,V264,0.506576,0.506576
V264,V126,0.502901,0.502901
V275,V338,0.498355,0.498355
V317,V264,0.496992,0.496992
V133,V264,0.496436,0.496436
V318,V264,0.496406,0.496406
V134,V264,0.496317,0.496317
V263,V277,0.495693,0.495693
V264,V132,0.492484,0.492484
V264,V316,0.490074,0.490074
V306,V215,0.485635,0.485635
V265,V267,0.485313,0.485313
V165,V215,0.479599,0.479599
V126,V215,0.47929,0.47929
V331,V215,0.477409,0.477409
V211,V215,0.476452,0.476452
V203,V207,0.471229,0.471229
V164,V215,0.470254,0.470254
V215,V267,0.464591,0.464591
V132,V215,0.464029,0.464029
V316,V215,0.461786,0.461786
V164,V264,0.444701,0.444701
V160,V165,0.440366,0.440366
V165,V150,0.433977,0.433977
V274,V338,0.433806,0.433806
V275,V277,0.4303,0.4303
V265,V207,0.424764,0.424764
V307,V277,0.418941,0.418941
V264,V207,0.415405,0.415405
V159,V165,0.412918,0.412918
V212,V277,0.4129,0.4129
V274,V215,0.412781,0.412781
V275,V215,0.412304,0.412304
V213,V277,0.411252,0.411252
V308,V277,0.40978,0.40978
V207,V277,0.40206,0.40206
V264,V338,0.390594,0.390594
V211,V277,0.387242,0.387242
V306,V277,0.373765,0.373765
V127,V277,0.366883,0.366883
V128,V277,0.366155,0.366155
V273,V215,0.364726,0.364726
V332,V277,0.357187,0.357187
V212,V267,0.34493,0.34493
V333,V277,0.344077,0.344077
V213,V267,0.342866,0.342866
V204,V207,0.338749,0.338749
V331,V277,0.331915,0.331915
V165,V273,0.330823,0.330823
V126,V277,0.329423,0.329423
V165,V275,0.314887,0.314887
V165,V263,0.312859,0.312859
V273,V277,0.304299,0.304299
V211,V267,0.298481,0.298481
V202,V267,0.297176,0.297176
V133,V277,0.280484,0.280484
V134,V277,0.279888,0.279888
V212,V207,0.277421,0.277421
V132,V277,0.275313,0.275313
V165,V265,0.27144,0.27144
V317,V277,0.270686,0.270686
V318,V277,0.269692,0.269692
V165,V274,0.267593,0.267593
V164,V277,0.262316,0.262316
V316,V277,0.262038,0.262038
V275,V267,0.257005,0.257005
V275,V207,0.243517,0.243517
V274,V207,0.242504,0.242504
V164,V166,0.196578,0.196578
V213,V207,0.190774,0.190774
V165,V264,0.174364,0.174364
V263,V207,0.173373,0.173373
V273,V207,0.169995,0.169995
V338,V166,0.164549,0.164549
card1,V338,0.159814,0.159814
V202,V207,0.151032,0.151032
V333,card1,0.14753,0.14753
V263,V267,0.143483,0.143483
V332,card1,0.142577,0.142577
V263,V166,0.135816,0.135816
V331,card1,0.129927,0.129927
V166,V277,0.126387,0.126387
V164,card1,0.122188,0.122188
id_02,V165,-0.12073,0.12073
V165,card1,0.11741,0.11741
V126,V166,0.110879,0.110879
id_02,V333,-0.110761,0.110761
V331,V166,0.110317,0.110317
id_02,V332,-0.109878,0.109878
V128,V166,0.10946,0.10946
V333,V166,0.108859,0.108859
V202,V166,0.10782,0.10782
V211,V207,0.107481,0.107481
V215,V166,0.107002,0.107002
V128,V207,0.106135,0.106135
V307,V267,0.105326,0.105326
V204,card1,0.104991,0.104991
V308,V267,0.104861,0.104861
V308,V207,0.104851,0.104851
V213,card1,0.10424,0.10424
V127,V267,0.104212,0.104212
V308,V166,0.1034,0.1034
V306,V166,0.102598,0.102598
V128,V267,0.102537,0.102537
id_02,V164,-0.101715,0.101715
V127,V166,0.10147,0.10147
V338,V207,0.101434,0.101434
V127,V207,0.10111,0.10111
V212,card1,0.100518,0.100518
V332,V166,0.100493,0.100493
V204,V166,0.100365,0.100365
V307,V207,0.100074,0.100074
id_02,V308,-0.099512,0.099512
V265,V166,0.099501,0.099501
V134,V166,0.099248,0.099248
id_02,V128,-0.098484,0.098484
V132,V166,0.097482,0.097482
id_02,V318,-0.097122,0.097122
V318,V166,0.097053,0.097053
id_02,V307,-0.097039,0.097039
V307,V166,0.097022,0.097022
id_02,V338,-0.096499,0.096499
id_02,V134,-0.096473,0.096473
V333,V207,0.096321,0.096321
id_02,V127,-0.096044,0.096044
V134,V207,0.095489,0.095489
V203,card1,0.095349,0.095349
V318,V207,0.094954,0.094954
V316,V166,0.094568,0.094568
V213,V166,0.094314,0.094314
V211,V166,0.094212,0.094212
card1,V202,0.09399,0.09399
V133,V166,0.093821,0.093821
id_02,V317,-0.093633,0.093633
id_02,V133,-0.09324,0.09324
V332,V207,0.092953,0.092953
id_02,V331,-0.092704,0.092704
V133,V207,0.092654,0.092654
V317,V166,0.092251,0.092251
V317,V207,0.092196,0.092196
V165,V277,0.091884,0.091884
card1,V211,0.090299,0.090299
id_02,V213,-0.08852,0.08852
V273,V166,0.088131,0.088131
V126,V207,0.086705,0.086705
V212,V166,0.08641,0.08641
id_02,V306,-0.085477,0.085477
V331,V207,0.085434,0.085434
id_02,V316,-0.084333,0.084333
V306,V207,0.08414,0.08414
id_02,V126,-0.083963,0.083963
id_02,V132,-0.083542,0.083542
V132,V207,0.083228,0.083228
id_02,V204,-0.08296,0.08296
V316,V207,0.082163,0.082163
V203,V166,0.082149,0.082149
id_02,V212,-0.081377,0.081377
id_02,V211,-0.080461,0.080461
V273,V267,0.079491,0.079491
id_02,V202,-0.078991,0.078991
V164,V207,0.078912,0.078912
V275,V166,0.076766,0.076766
V164,V150,0.076236,0.076236
card1,V215,0.07551,0.07551
V159,V164,0.075393,0.075393
V160,V164,0.075267,0.075267
V332,V267,0.075134,0.075134
V333,V267,0.072314,0.072314
V165,V207,0.070846,0.070846
id_02,V203,-0.070413,0.070413
V317,V267,0.068753,0.068753
V133,V267,0.068394,0.068394
V318,V267,0.068292,0.068292
V134,V267,0.067648,0.067648
V126,V267,0.06655,0.06655
V132,V267,0.065814,0.065814
V331,V267,0.065287,0.065287
V306,V267,0.065268,0.065268
V316,V267,0.065202,0.065202
V215,V150,-0.061899,0.061899
V160,V215,-0.060745,0.060745
V274,V166,0.060678,0.060678
V159,V215,-0.058965,0.058965
card1,V263,0.058271,0.058271
id_02,V267,-0.057982,0.057982
V264,V166,0.057065,0.057065
V338,V267,0.056946,0.056946
card1,V128,0.054279,0.054279
card1,V308,0.053882,0.053882
card1,V127,0.053298,0.053298
card1,V134,0.053119,0.053119
card1,V318,0.053054,0.053054
card1,V307,0.052685,0.052685
card1,V273,0.052448,0.052448
id_02,V150,-0.051747,0.051747
card1,V133,0.051607,0.051607
id_02,V264,-0.051535,0.051535
id_02,V215,-0.05147,0.05147
id_02,V159,-0.051453,0.051453
V338,V150,-0.051323,0.051323
card1,V317,0.051291,0.051291
V203,V150,-0.051063,0.051063
V160,V338,-0.049539,0.049539
V164,V267,0.049387,0.049387
V160,V203,-0.049361,0.049361
V204,V150,-0.04887,0.04887
V203,V159,-0.048457,0.048457
V159,V338,-0.048228,0.048228
id_02,V265,-0.04722,0.04722
card1,V126,0.047141,0.047141
card1,V306,0.047064,0.047064
V160,V204,-0.046994,0.046994
V159,V204,-0.04637,0.04637
card1,V132,0.046037,0.046037
card1,V316,0.046014,0.046014
card1,V274,0.045642,0.045642
id_02,V274,-0.045026,0.045026
id_02,V275,-0.044637,0.044637
V212,V150,-0.044503,0.044503
card1,V265,0.043225,0.043225
V213,V150,-0.043164,0.043164
id_02,V273,-0.042785,0.042785
V160,V212,-0.042683,0.042683
card1,V275,0.042666,0.042666
V159,V212,-0.042172,0.042172
V333,V150,-0.0421,0.0421
V160,V213,-0.041257,0.041257
V128,V150,-0.041125,0.041125
V308,V150,-0.041009,0.041009
V150,V277,-0.040982,0.040982
V159,V213,-0.040878,0.040878
V160,V277,-0.04078,0.04078
V332,V150,-0.040742,0.040742
V160,V333,-0.040155,0.040155
V159,V333,-0.039799,0.039799
V159,V277,-0.039726,0.039726
card1,V277,0.039666,0.039666
V127,V150,-0.039654,0.039654
V307,V150,-0.039652,0.039652
V202,V150,-0.039343,0.039343
V318,V150,-0.039308,0.039308
id_02,V160,-0.039212,0.039212
V160,V128,-0.039189,0.039189
V134,V150,-0.039176,0.039176
id_02,V263,-0.039175,0.039175
V160,V308,-0.039054,0.039054
V159,V128,-0.038927,0.038927
V160,V332,-0.038845,0.038845
V159,V308,-0.038807,0.038807
V332,V159,-0.038542,0.038542
V160,V127,-0.037764,0.037764
card1,V264,0.037757,0.037757
V160,V307,-0.037751,0.037751
V317,V150,-0.037701,0.037701
V133,V150,-0.037652,0.037652
V160,V202,-0.037647,0.037647
V159,V307,-0.037611,0.037611
V159,V127,-0.03761,0.03761
V159,V202,-0.037522,0.037522
V331,V150,-0.037489,0.037489
V160,V318,-0.037369,0.037369
V160,V134,-0.037251,0.037251
V159,V318,-0.0372,0.0372
V159,V134,-0.037098,0.037098
V126,V150,-0.036429,0.036429
V306,V150,-0.036221,0.036221
V265,V150,-0.035852,0.035852
V160,V331,-0.035851,0.035851
V160,V317,-0.035837,0.035837
V160,V133,-0.035797,0.035797
V159,V317,-0.035779,0.035779
V159,V331,-0.035762,0.035762
V159,V133,-0.035738,0.035738
V211,V150,-0.035408,0.035408
V159,V126,-0.034846,0.034846
V160,V126,-0.034801,0.034801
V159,V306,-0.034619,0.034619
V160,V306,-0.034567,0.034567
V160,V265,-0.034496,0.034496
V316,V150,-0.034387,0.034387
V263,V150,-0.034336,0.034336
V132,V150,-0.034245,0.034245
V159,V265,-0.03412,0.03412
V159,V211,-0.033778,0.033778
V160,V211,-0.033715,0.033715
V160,V263,-0.033558,0.033558
V264,V150,-0.033298,0.033298
V150,V207,-0.033162,0.033162
V160,V207,-0.032887,0.032887
V159,V316,-0.032884,0.032884
V159,V132,-0.032781,0.032781
V160,V316,-0.032741,0.032741
V160,V132,-0.032617,0.032617
V159,V263,-0.032355,0.032355
V160,V264,-0.032336,0.032336
V159,V264,-0.031881,0.031881
V159,V207,-0.03173,0.03173
V274,V150,-0.030361,0.030361
id_02,V277,-0.029435,0.029435
V160,V274,-0.029433,0.029433
V159,V274,-0.028735,0.028735
V159,card1,-0.028334,0.028334
V275,V150,-0.028062,0.028062
V160,V275,-0.026955,0.026955
V159,V275,-0.026431,0.026431
id_02,card1,0.025583,0.025583
V273,V150,-0.025446,0.025446
id_02,V166,-0.025399,0.025399
id_02,V207,0.024674,0.024674
V160,V273,-0.024614,0.024614
card1,V166,0.023845,0.023845
V159,V273,-0.023744,0.023744
card1,V150,-0.021702,0.021702
V150,V267,-0.021064,0.021064
V159,V267,-0.020479,0.020479
V160,V267,-0.019742,0.019742
card1,V207,0.019257,0.019257
V160,card1,-0.015008,0.015008
V166,V267,-0.012532,0.012532
V165,V267,0.010694,0.010694
card1,V267,0.010507,0.010507
V166,V207,-0.003257,0.003257
