feature_name,feature_type,missing_percentage,data_availability
V31,Float,12.8819,Both
V32,Float,12.8819,Both
V33,Float,12.8819,Both
V34,Float,12.8819,Both
V35,Float,28.6126,Both
V36,Float,28.6126,Both
V37,Float,28.6126,Both
V38,Float,28.6126,Both
V39,Float,28.6126,Both
V40,Float,28.6126,Both
V41,Float,28.6126,Both
V42,Float,28.6126,Both
V43,Float,28.6126,Both
V44,Float,28.6126,Both
V45,Float,28.6126,Both
V46,Float,28.6126,Both
V47,Float,28.6126,Both
V48,Float,28.6126,Both
V49,Float,28.6126,Both
V50,Float,28.6126,Both
V51,Float,28.6126,Both
V52,Float,28.6126,Both
V53,Float,13.0552,Both
V54,Float,13.0552,Both
V55,Float,13.0552,Both
V56,Float,13.0552,Both
V57,Float,13.0552,Both
V58,Float,13.0552,Both
V59,Float,13.0552,Both
V60,Float,13.0552,Both
V61,Float,13.0552,Both
V62,Float,13.0552,Both
V63,Float,13.0552,Both
V64,Float,13.0552,Both
V65,Float,13.0552,Both
V66,Float,13.0552,Both
V67,Float,13.0552,Both
V68,Float,13.0552,Both
V69,Float,13.0552,Both
V70,Float,13.0552,Both
V71,Float,13.0552,Both
V72,Float,13.0552,Both
V73,Float,13.0552,Both
V74,Float,13.0552,Both
V75,Float,15.0987,Both
V76,Float,15.0987,Both
V77,Float,15.0987,Both
V78,Float,15.0987,Both
V79,Float,15.0987,Both
V80,Float,15.0987,Both
V81,Float,15.0987,Both
V82,Float,15.0987,Both
V83,Float,15.0987,Both
V84,Float,15.0987,Both
V85,Float,15.0987,Both
V86,Float,15.0987,Both
V87,Float,15.0987,Both
V88,Float,15.0987,Both
V89,Float,15.0987,Both
V90,Float,15.0987,Both
V91,Float,15.0987,Both
V92,Float,15.0987,Both
V93,Float,15.0987,Both
V94,Float,15.0987,Both
V95,Float,0.0532,Both
V96,Float,0.0532,Both
V97,Float,0.0532,Both
V98,Float,0.0532,Both
V99,Float,0.0532,Both
V100,Float,0.0532,Both
V101,Float,0.0532,Both
V102,Float,0.0532,Both
V103,Float,0.0532,Both
V104,Float,0.0532,Both
V105,Float,0.0532,Both
V106,Float,0.0532,Both
V107,Float,0.0532,Both
V108,Float,0.0532,Both
V109,Float,0.0532,Both
V110,Float,0.0532,Both
V111,Float,0.0532,Both
V112,Float,0.0532,Both
V113,Float,0.0532,Both
V114,Float,0.0532,Both
V115,Float,0.0532,Both
V116,Float,0.0532,Both
V117,Float,0.0532,Both
V118,Float,0.0532,Both
V119,Float,0.0532,Both
V120,Float,0.0532,Both
V121,Float,0.0532,Both
V122,Float,0.0532,Both
V123,Float,0.0532,Both
V124,Float,0.0532,Both
V125,Float,0.0532,Both
V126,Float,0.0532,Both
V127,Float,0.0532,Both
V128,Float,0.0532,Both
V129,Float,0.0532,Both
V130,Float,0.0532,Both
V131,Float,0.0532,Both
V132,Float,0.0532,Both
V133,Float,0.0532,Both
V134,Float,0.0532,Both
V135,Float,0.0532,Both
V136,Float,0.0532,Both
V137,Float,0.0532,Both
V138,Float,86.1237,Both
V139,Float,86.1237,Both
V140,Float,86.1237,Both
V141,Float,86.1237,Both
V142,Float,86.1237,Both
V143,Float,86.1227,Both
V144,Float,86.1227,Both
V145,Float,86.1227,Both
V146,Float,86.1237,Both
V147,Float,86.1237,Both
V148,Float,86.1237,Both
V149,Float,86.1237,Both
V150,Float,86.1227,Both
V151,Float,86.1227,Both
V152,Float,86.1227,Both
V153,Float,86.1237,Both
V154,Float,86.1237,Both
V155,Float,86.1237,Both
V156,Float,86.1237,Both
V157,Float,86.1237,Both
V158,Float,86.1237,Both
V159,Float,86.1227,Both
V160,Float,86.1227,Both
V161,Float,86.1237,Both
V162,Float,86.1237,Both
V163,Float,86.1237,Both
V164,Float,86.1227,Both
V165,Float,86.1227,Both
V166,Float,86.1227,Both
V167,Float,76.3554,Both
V168,Float,76.3554,Both
V169,Float,76.3235,Both
V170,Float,76.3235,Both
V171,Float,76.3235,Both
V172,Float,76.3554,Both
V173,Float,76.3554,Both
V174,Float,76.3235,Both
V175,Float,76.3235,Both
V176,Float,76.3554,Both
V177,Float,76.3554,Both
V178,Float,76.3554,Both
V179,Float,76.3554,Both
V180,Float,76.3235,Both
V181,Float,76.3554,Both
V182,Float,76.3554,Both
V183,Float,76.3554,Both
V184,Float,76.3235,Both
V185,Float,76.3235,Both
V186,Float,76.3554,Both
V187,Float,76.3554,Both
V188,Float,76.3235,Both
V189,Float,76.3235,Both
V190,Float,76.3554,Both
V191,Float,76.3554,Both
V192,Float,76.3554,Both
V193,Float,76.3554,Both
V194,Float,76.3235,Both
V195,Float,76.3235,Both
V196,Float,76.3554,Both
V197,Float,76.3235,Both
V198,Float,76.3235,Both
V199,Float,76.3554,Both
V200,Float,76.3235,Both
V201,Float,76.3235,Both
V202,Float,76.3554,Both
V203,Float,76.3554,Both
V204,Float,76.3554,Both
V205,Float,76.3554,Both
V206,Float,76.3554,Both
V207,Float,76.3554,Both
V208,Float,76.3235,Both
V209,Float,76.3235,Both
V210,Float,76.3235,Both
V211,Float,76.3554,Both
V212,Float,76.3554,Both
V213,Float,76.3554,Both
V214,Float,76.3554,Both
V215,Float,76.3554,Both
V216,Float,76.3554,Both
V217,Float,77.9134,Both
V218,Float,77.9134,Both
V219,Float,77.9134,Both
V220,Float,76.0531,Both
V221,Float,76.0531,Both
V222,Float,76.0531,Both
V223,Float,77.9134,Both
V224,Float,77.9134,Both
V225,Float,77.9134,Both
V226,Float,77.9134,Both
V227,Float,76.0531,Both
V228,Float,77.9134,Both
V229,Float,77.9134,Both
V230,Float,77.9134,Both
V231,Float,77.9134,Both
V232,Float,77.9134,Both
V233,Float,77.9134,Both
V234,Float,76.0531,Both
V235,Float,77.9134,Both
V236,Float,77.9134,Both
V237,Float,77.9134,Both
V238,Float,76.0531,Both
V239,Float,76.0531,Both
V240,Float,77.9134,Both
V241,Float,77.9134,Both
V242,Float,77.9134,Both
V243,Float,77.9134,Both
V244,Float,77.9134,Both
V245,Float,76.0531,Both
V246,Float,77.9134,Both
V247,Float,77.9134,Both
V248,Float,77.9134,Both
V249,Float,77.9134,Both
V250,Float,76.0531,Both
V251,Float,76.0531,Both
V252,Float,77.9134,Both
V253,Float,77.9134,Both
V254,Float,77.9134,Both
V255,Float,76.0531,Both
V256,Float,76.0531,Both
V257,Float,77.9134,Both
V258,Float,77.9134,Both
V259,Float,76.0531,Both
V260,Float,77.9134,Both
V261,Float,77.9134,Both
V262,Float,77.9134,Both
V263,Float,77.9134,Both
V264,Float,77.9134,Both
V265,Float,77.9134,Both
V266,Float,77.9134,Both
V267,Float,77.9134,Both
V268,Float,77.9134,Both
V269,Float,77.9134,Both
V270,Float,76.0531,Both
V271,Float,76.0531,Both
V272,Float,76.0531,Both
V273,Float,77.9134,Both
V274,Float,77.9134,Both
V275,Float,77.9134,Both
V276,Float,77.9134,Both
V277,Float,77.9134,Both
V278,Float,77.9134,Both
V279,Float,0.002,Both
V280,Float,0.002,Both
V281,Float,0.2149,Both
V282,Float,0.2149,Both
V283,Float,0.2149,Both
V284,Float,0.002,Both
V285,Float,0.002,Both
V286,Float,0.002,Both
V287,Float,0.002,Both
V288,Float,0.2149,Both
V289,Float,0.2149,Both
V290,Float,0.002,Both
V291,Float,0.002,Both
V292,Float,0.002,Both
V293,Float,0.002,Both
V294,Float,0.002,Both
V295,Float,0.002,Both
V296,Float,0.2149,Both
V297,Float,0.002,Both
V298,Float,0.002,Both
V299,Float,0.002,Both
V300,Float,0.2149,Both
V301,Float,0.2149,Both
V302,Float,0.002,Both
V303,Float,0.002,Both
V304,Float,0.002,Both
V305,Float,0.002,Both
V306,Float,0.002,Both
V307,Float,0.002,Both
V308,Float,0.002,Both
V309,Float,0.002,Both
V310,Float,0.002,Both
V311,Float,0.002,Both
V312,Float,0.002,Both
V313,Float,0.2149,Both
V314,Float,0.2149,Both
V315,Float,0.2149,Both
V316,Float,0.002,Both
V317,Float,0.002,Both
V318,Float,0.002,Both
V319,Float,0.002,Both
V320,Float,0.002,Both
V321,Float,0.002,Both
V322,Float,86.055,Both
V323,Float,86.055,Both
V324,Float,86.055,Both
V325,Float,86.055,Both
V326,Float,86.055,Both
V327,Float,86.055,Both
V328,Float,86.055,Both
V329,Float,86.055,Both
V330,Float,86.055,Both
V331,Float,86.055,Both
V332,Float,86.055,Both
V333,Float,86.055,Both
V334,Float,86.055,Both
V335,Float,86.055,Both
V336,Float,86.055,Both
V337,Float,86.055,Both
V338,Float,86.055,Both
V339,Float,86.055,Both
id_01,Float,75.5761,Train Only
id_02,Float,76.1452,Train Only
id_03,Float,88.7689,Train Only
id_04,Float,88.7689,Train Only
id_05,Float,76.8238,Train Only
id_06,Float,76.8238,Train Only
id_07,Float,99.1271,Train Only
id_08,Float,99.1271,Train Only
id_09,Float,87.3123,Train Only
id_10,Float,87.3123,Train Only
id_11,Float,76.1273,Train Only
id_12,Float,75.5761,Train Only
id_13,Float,78.4401,Train Only
id_14,Float,86.4456,Train Only
id_16,Float,78.098,Train Only
id_17,Float,76.3997,Train Only
id_18,Float,92.3607,Train Only
id_19,Float,76.4084,Train Only
id_20,Float,76.418,Train Only
id_21,Float,99.1264,Train Only
id_22,Float,99.1247,Train Only
id_24,Float,99.1962,Train Only
id_25,Float,99.131,Train Only
id_26,Float,99.1257,Train Only
id_27,Float,99.1247,Train Only
id_28,Float,76.1273,Train Only
id_29,Float,76.1273,Train Only
id_32,Float,86.8619,Train Only
id_35,Float,76.1261,Train Only
id_36,Float,76.1261,Train Only
id_37,Float,76.1261,Train Only
id_38,Float,76.1261,Train Only
has_identity,Integer,0.0,Both
