source,target,weight
V204,V316,0.8658
V204,V132,0.8663
V204,V265,0.9857
V204,V274,0.9343
V204,V275,0.936
V204,V263,0.9427
V204,V273,0.9107
V204,V338,0.8571
V331,V164,0.9892
V331,V213,0.8971
V331,V202,0.9887
V331,V307,0.9128
V331,V127,0.9137
V331,V211,0.9904
V331,V317,0.9173
V331,V133,0.9176
V331,V308,0.9017
V331,V128,0.9027
V331,V318,0.9056
V331,V134,0.906
V331,V306,0.997
V331,V126,0.9993
V331,V316,0.9975
V331,V132,0.9979
V331,V263,0.8904
V331,V273,0.8975
V164,V213,0.8862
V164,V202,0.9805
V164,V307,0.9017
V164,V127,0.901
V164,V211,0.9844
V164,V317,0.9071
V164,V133,0.9066
V164,V308,0.8896
V164,V128,0.8882
V164,V318,0.8938
V164,V134,0.8931
V164,V306,0.9891
V164,V126,0.9875
V164,V316,0.9902
V164,V132,0.9892
V213,V202,0.9065
V213,V307,0.984
V213,V127,0.9843
V213,V211,0.9036
V213,V317,0.9847
V213,V133,0.9845
V213,V308,0.9815
V213,V128,0.9817
V213,V318,0.9852
V213,V134,0.9851
V213,V264,0.9158
V213,V306,0.8963
V213,V126,0.8971
V213,V316,0.8949
V213,V132,0.8949
V213,V265,0.9206
V213,V274,0.9816
V213,V275,0.9834
V213,V263,0.9375
V213,V273,0.9824
V213,V338,0.8613
V202,V307,0.9093
V202,V127,0.9086
V202,V211,0.9956
V202,V317,0.9129
V202,V133,0.9131
V202,V308,0.8948
V202,V128,0.8934
V202,V318,0.8972
V202,V134,0.8976
V202,V264,0.9145
V202,V306,0.9885
V202,V126,0.9876
V202,V316,0.9862
V202,V132,0.9866
V202,V265,0.9217
V202,V274,0.9164
V202,V275,0.9178
V202,V263,0.9931
V202,V273,0.9468
V307,V127,0.9767
V307,V211,0.9089
V307,V317,0.9943
V307,V133,0.9732
V307,V308,0.981
V307,V128,0.9681
V307,V318,0.9794
V307,V134,0.968
V307,V306,0.893
V307,V126,0.8874
V307,V316,0.8891
V307,V132,0.885
V307,V263,0.8665
V307,V273,0.8622
V307,V338,0.8783
V127,V211,0.909
V127,V317,0.9717
V127,V133,0.9955
V127,V308,0.9847
V127,V128,0.9911
V127,V318,0.9849
V127,V134,0.9902
V127,V306,0.9038
V127,V126,0.9088
V127,V316,0.9018
V127,V132,0.9054
V127,V263,0.8577
V127,V273,0.873
V127,V338,0.8806
V211,V317,0.9156
V211,V133,0.9155
V211,V308,0.8921
V211,V128,0.8919
V211,V318,0.8985
V211,V134,0.8984
V211,V264,0.8902
V211,V306,0.9891
V211,V126,0.9899
V211,V316,0.992
V211,V132,0.9918
V211,V265,0.8945
V211,V274,0.9645
V211,V275,0.9661
V211,V263,0.9511
V211,V273,0.9963
V317,V133,0.9763
V317,V308,0.9743
V317,V128,0.9631
V317,V318,0.9813
V317,V134,0.9694
V317,V306,0.8951
V317,V126,0.8915
V317,V316,0.897
V317,V132,0.8929
V317,V273,0.896
V317,V338,0.8615
V133,V308,0.981
V133,V128,0.9865
V133,V318,0.9876
V133,V134,0.9927
V133,V306,0.9097
V133,V126,0.9137
V133,V316,0.9115
V133,V132,0.9148
V133,V263,0.8518
V133,V273,0.8923
V133,V338,0.8632
V308,V128,0.993
V308,V318,0.995
V308,V134,0.9902
V308,V306,0.9022
V308,V126,0.8969
V308,V316,0.8951
V308,V132,0.8919
V308,V263,0.8696
V308,V273,0.8633
V308,V338,0.8925
V128,V318,0.9907
V128,V134,0.9959
V128,V306,0.8977
V128,V126,0.9033
V128,V316,0.8934
V128,V132,0.8969
V128,V263,0.8599
V128,V273,0.8744
V128,V338,0.897
V318,V134,0.9951
V318,V306,0.9024
V318,V126,0.8998
V318,V316,0.9027
V318,V132,0.8994
V318,V273,0.896
V318,V338,0.8808
V134,V306,0.9008
V134,V126,0.9049
V134,V316,0.9011
V134,V132,0.9042
V134,V263,0.853
V134,V273,0.8938
V134,V338,0.8817
V264,V274,0.9193
V306,V126,0.9933
V306,V316,0.9951
V306,V132,0.9915
V306,V263,0.8857
V306,V273,0.8713
V126,V316,0.9924
V126,V132,0.9964
V126,V263,0.8744
V126,V273,0.8846
V316,V132,0.9965
V316,V273,0.8934
V132,V263,0.8504
V132,V273,0.891
V265,V274,0.9152
V265,V275,0.9319
V274,V275,0.8955
V275,V263,0.8931
V275,V273,0.9262
V263,V273,0.9534
V215,V277,0.9863
V166,V150,0.8846
V207,V267,0.9046
