feature_1,feature_2,correlation,abs_correlation
V318,V274,0.661725,0.661725
V164,V166,0.65975,0.65975
V203,V308,0.65922,0.65922
V274,V263,0.65878,0.65878
V265,V273,0.658574,0.658574
V317,V274,0.658043,0.658043
V160,V164,0.657274,0.657274
V203,V213,0.6569,0.6569
V306,V265,0.656215,0.656215
V317,V273,0.653514,0.653514
V127,V338,0.649655,0.649655
V308,V265,0.649252,0.649252
V316,V274,0.648366,0.648366
V331,V215,0.646717,0.646717
V202,V338,0.645424,0.645424
V204,V307,0.644079,0.644079
V134,V316,0.643632,0.643632
V202,V308,0.642963,0.642963
V160,V166,0.640545,0.640545
V306,V316,0.640381,0.640381
V204,V215,0.636756,0.636756
V264,V275,0.636081,0.636081
V204,V338,0.635596,0.635596
V126,V263,0.635146,0.635146
V211,V263,0.635028,0.635028
V204,V128,0.634709,0.634709
V211,V132,0.634508,0.634508
V318,V132,0.633045,0.633045
V203,V306,0.630022,0.630022
V203,V211,0.629557,0.629557
V203,V215,0.627272,0.627272
V203,V338,0.626902,0.626902
V202,V215,0.626772,0.626772
V333,V215,0.625775,0.625775
V317,V134,0.622625,0.622625
V308,V263,0.622158,0.622158
V263,V338,0.621426,0.621426
V213,V134,0.62099,0.62099
V133,V318,0.618126,0.618126
V204,V126,0.618118,0.618118
V308,V264,0.616471,0.616471
V132,V273,0.616119,0.616119
V213,V263,0.615749,0.615749
V126,V132,0.614424,0.614424
V211,V134,0.614134,0.614134
V213,V133,0.613875,0.613875
V264,V273,0.613062,0.613062
V264,V306,0.612245,0.612245
V207,V267,0.611249,0.611249
V307,V264,0.611149,0.611149
V213,V132,0.610654,0.610654
V331,V277,0.610419,0.610419
V202,V273,0.60969,0.60969
V212,V133,0.608764,0.608764
V203,V127,0.608475,0.608475
V202,V128,0.60729,0.60729
V211,V133,0.607156,0.607156
V204,V127,0.607147,0.607147
V203,V128,0.606764,0.606764
V212,V134,0.60492,0.60492
V134,V275,0.603839,0.603839
V213,V265,0.601562,0.601562
V204,V207,0.601198,0.601198
V212,V263,0.600765,0.600765
V128,V265,0.600517,0.600517
V332,V215,0.599964,0.599964
V264,V267,0.597849,0.597849
V134,V273,0.595477,0.595477
V133,V275,0.595254,0.595254
V307,V265,0.595233,0.595233
V132,V275,0.595228,0.595228
V265,V338,0.595203,0.595203
V212,V132,0.594924,0.594924
V211,V265,0.593416,0.593416
V126,V265,0.593315,0.593315
V212,V265,0.589509,0.589509
V202,V307,0.588962,0.588962
V133,V273,0.587079,0.587079
V202,V275,0.586727,0.586727
V263,V277,0.585346,0.585346
V264,V277,0.58532,0.58532
V331,V132,0.58341,0.58341
V264,V338,0.583153,0.583153
V265,V277,0.582765,0.582765
V306,V338,0.582391,0.582391
V203,V126,0.580942,0.580942
V134,V274,0.579583,0.579583
V203,V207,0.577893,0.577893
V133,V274,0.577479,0.577479
V202,V127,0.577439,0.577439
V204,V275,0.575852,0.575852
V333,V277,0.575596,0.575596
V128,V264,0.573057,0.573057
V132,V274,0.571586,0.571586
V318,V306,0.57084,0.57084
V204,V273,0.570591,0.570591
V202,V274,0.569136,0.569136
V331,V134,0.568876,0.568876
V127,V264,0.568444,0.568444
V128,V263,0.568186,0.568186
V307,V128,0.567751,0.567751
V204,V274,0.56563,0.56563
V307,V263,0.565123,0.565123
V331,V133,0.564959,0.564959
V127,V265,0.564894,0.564894
V213,V264,0.562124,0.562124
V212,V264,0.561469,0.561469
V308,V338,0.559682,0.559682
V333,V134,0.559269,0.559269
V134,V126,0.558108,0.558108
V333,V133,0.557765,0.557765
V264,V126,0.556381,0.556381
V331,V316,0.55522,0.55522
V202,V277,0.55272,0.55272
V211,V264,0.551928,0.551928
V263,V215,0.549712,0.549712
V331,V211,0.549009,0.549009
V332,V277,0.548796,0.548796
V133,V316,0.54675,0.54675
V308,V126,0.546205,0.546205
V308,V318,0.54412,0.54412
V203,V274,0.544062,0.544062
V127,V308,0.543522,0.543522
V265,V215,0.543415,0.543415
V317,V132,0.543351,0.543351
V307,V338,0.543284,0.543284
V164,V211,0.542652,0.542652
V203,V275,0.540674,0.540674
V204,V277,0.539082,0.539082
V331,V318,0.538644,0.538644
V331,V213,0.53673,0.53673
V203,V273,0.535619,0.535619
V128,V306,0.53356,0.53356
V333,V318,0.53336,0.53336
V333,V132,0.533261,0.533261
V127,V263,0.532556,0.532556
V332,V133,0.53233,0.53233
V212,V331,0.531057,0.531057
V317,V308,0.530572,0.530572
V331,V317,0.527946,0.527946
V264,V215,0.525354,0.525354
V332,V134,0.524845,0.524845
V333,V317,0.52403,0.52403
V333,V212,0.523869,0.523869
V333,V213,0.523654,0.523654
V127,V126,0.521394,0.521394
V128,V134,0.519776,0.519776
V203,V277,0.519276,0.519276
V165,V213,0.518484,0.518484
V164,V213,0.514142,0.514142
V133,V128,0.511006,0.511006
V332,V317,0.508662,0.508662
V164,V316,0.508657,0.508657
V165,V211,0.507932,0.507932
V165,V212,0.507325,0.507325
V317,V306,0.504461,0.504461
V333,V316,0.504169,0.504169
V212,V164,0.50364,0.50364
V333,V211,0.502325,0.502325
V126,V215,0.502291,0.502291
V164,V273,0.501293,0.501293
V338,V166,0.500361,0.500361
V332,V132,0.500249,0.500249
V202,V316,0.499316,0.499316
V332,V318,0.498778,0.498778
V332,V212,0.497749,0.497749
V307,V306,0.497742,0.497742
V215,V166,0.496989,0.496989
V316,V263,0.496635,0.496635
V165,V318,0.496216,0.496216
V331,V273,0.495935,0.495935
V133,V126,0.49474,0.49474
V332,V213,0.49233,0.49233
V164,V132,0.489527,0.489527
V308,V207,0.488597,0.488597
V211,V306,0.488343,0.488343
V165,V317,0.48677,0.48677
V333,V207,0.485297,0.485297
V128,V215,0.484528,0.484528
V204,V318,0.483695,0.483695
V307,V317,0.482896,0.482896
V204,V317,0.480555,0.480555
V164,V318,0.479134,0.479134
V202,V318,0.478804,0.478804
V202,V207,0.477596,0.477596
V165,V134,0.476948,0.476948
V308,V316,0.47669,0.47669
V166,V277,0.47613,0.47613
V165,V316,0.475666,0.475666
V265,V267,0.474564,0.474564
V332,V207,0.473543,0.473543
V332,V211,0.472403,0.472403
V213,V306,0.472066,0.472066
V165,V133,0.471227,0.471227
V318,V263,0.471114,0.471114
V332,V316,0.470841,0.470841
V164,V317,0.470813,0.470813
V127,V215,0.469864,0.469864
V126,V277,0.468429,0.468429
V203,V317,0.468286,0.468286
V202,V317,0.468047,0.468047
V164,V275,0.467465,0.467465
V331,V275,0.466997,0.466997
V165,V275,0.466254,0.466254
V127,V133,0.465761,0.465761
V204,V316,0.465182,0.465182
V318,V265,0.463952,0.463952
V212,V306,0.461419,0.461419
V165,V273,0.460592,0.460592
V164,V134,0.460284,0.460284
V317,V263,0.459711,0.459711
V316,V265,0.459652,0.459652
V331,V274,0.459579,0.459579
V165,V132,0.458565,0.458565
V213,V308,0.458401,0.458401
V306,V132,0.458383,0.458383
V333,V274,0.458232,0.458232
V306,V273,0.457831,0.457831
V317,V265,0.457481,0.457481
V128,V132,0.457447,0.457447
V203,V318,0.456561,0.456561
V307,V207,0.456405,0.456405
V333,V275,0.45609,0.45609
V164,V133,0.455268,0.455268
V212,V308,0.455202,0.455202
V164,V274,0.447753,0.447753
V202,V132,0.446717,0.446717
V165,V274,0.445715,0.445715
V333,V273,0.443089,0.443089
V317,V264,0.442467,0.442467
V318,V264,0.441552,0.441552
V128,V277,0.440356,0.440356
V211,V308,0.440053,0.440053
V202,V134,0.436706,0.436706
V203,V316,0.435604,0.435604
V132,V263,0.435558,0.435558
V306,V275,0.434779,0.434779
V332,V274,0.434681,0.434681
V202,V133,0.434338,0.434338
V212,V307,0.434012,0.434012
V126,V316,0.432506,0.432506
V264,V316,0.43127,0.43127
V213,V307,0.426944,0.426944
V211,V126,0.426503,0.426503
V204,V134,0.425583,0.425583
V204,V133,0.425043,0.425043
V306,V215,0.423332,0.423332
V127,V277,0.422605,0.422605
V332,V275,0.422451,0.422451
V306,V274,0.421029,0.421029
V134,V306,0.41979,0.41979
V134,V263,0.419447,0.419447
V265,V207,0.4182,0.4182
V204,V132,0.416736,0.416736
V332,V267,0.415741,0.415741
V134,V265,0.414536,0.414536
V213,V126,0.414514,0.414514
V133,V263,0.414382,0.414382
V133,V265,0.411637,0.411637
V308,V275,0.411243,0.411243
V332,V273,0.410841,0.410841
V306,V207,0.410357,0.410357
V307,V211,0.410107,0.410107
V132,V265,0.40771,0.40771
V212,V126,0.406343,0.406343
V308,V273,0.405144,0.405144
V308,V274,0.405089,0.405089
V308,V215,0.404862,0.404862
V203,V133,0.403018,0.403018
V308,V134,0.400746,0.400746
V203,V134,0.400084,0.400084
V133,V308,0.397532,0.397532
V203,V267,0.395809,0.395809
V307,V318,0.395398,0.395398
V306,V277,0.394165,0.394165
V213,V128,0.393751,0.393751
V307,V267,0.391787,0.391787
V264,V207,0.39165,0.39165
V203,V132,0.391399,0.391399
V211,V128,0.388882,0.388882
V212,V207,0.388699,0.388699
V318,V126,0.388378,0.388378
V134,V264,0.38769,0.38769
V133,V264,0.387378,0.387378
V212,V128,0.387165,0.387165
V202,V166,0.386263,0.386263
V127,V134,0.386225,0.386225
V213,V207,0.384064,0.384064
V331,V207,0.382293,0.382293
V307,V215,0.381805,0.381805
V317,V128,0.381579,0.381579
V307,V274,0.381567,0.381567
V264,V132,0.381343,0.381343
V307,V275,0.378787,0.378787
V126,V166,0.37736,0.37736
V307,V126,0.377241,0.377241
V307,V273,0.37366,0.37366
V126,V273,0.37339,0.37339
V213,V127,0.371394,0.371394
V331,V166,0.371011,0.371011
V133,V306,0.370847,0.370847
V212,V127,0.367535,0.367535
V128,V318,0.367144,0.367144
V127,V211,0.36695,0.36695
V263,V166,0.366912,0.366912
V307,V133,0.363706,0.363706
V308,V267,0.361275,0.361275
V308,V277,0.360592,0.360592
V211,V207,0.359655,0.359655
V126,V275,0.357721,0.357721
V263,V207,0.357398,0.357398
V317,V126,0.355912,0.355912
V204,V267,0.355901,0.355901
V127,V306,0.35284,0.35284
V263,V267,0.351779,0.351779
V126,V274,0.347245,0.347245
V308,V132,0.343704,0.343704
V204,V166,0.340557,0.340557
V333,V267,0.339585,0.339585
V307,V316,0.337371,0.337371
V128,V207,0.336899,0.336899
V307,V277,0.336568,0.336568
V128,V275,0.335936,0.335936
V127,V132,0.332946,0.332946
V164,V202,0.3317,0.3317
V128,V273,0.331619,0.331619
V128,V274,0.328613,0.328613
V127,V207,0.326944,0.326944
V127,V317,0.32517,0.32517
V128,V166,0.318905,0.318905
V265,V166,0.31563,0.31563
V331,V164,0.315589,0.315589
V128,V316,0.314433,0.314433
V333,V166,0.313219,0.313219
V165,V202,0.3131,0.3131
V164,V306,0.31269,0.31269
V127,V275,0.31107,0.31107
V203,V166,0.310586,0.310586
V306,V166,0.309286,0.309286
V127,V273,0.307175,0.307175
V127,V274,0.304078,0.304078
V306,V267,0.302405,0.302405
V165,V306,0.29797,0.29797
V307,V134,0.297229,0.297229
V317,V207,0.297152,0.297152
V318,V207,0.296108,0.296108
V165,V331,0.294975,0.294975
V160,V207,0.29275,0.29275
V165,V204,0.292655,0.292655
V202,V267,0.290587,0.290587
V127,V166,0.290403,0.290403
V204,V164,0.289007,0.289007
V316,V207,0.282926,0.282926
V134,V338,0.282715,0.282715
V164,V263,0.282325,0.282325
V133,V338,0.281487,0.281487
V132,V338,0.280229,0.280229
V164,V126,0.28016,0.28016
V165,V308,0.276256,0.276256
V165,V333,0.275525,0.275525
V264,V166,0.275456,0.275456
V332,V166,0.273695,0.273695
V126,V207,0.271916,0.271916
V274,V267,0.271002,0.271002
V203,V165,0.2665,0.2665
V164,V308,0.26612,0.26612
V203,V164,0.263789,0.263789
V212,V215,0.263762,0.263762
V165,V126,0.262936,0.262936
V333,V164,0.262877,0.262877
V127,V267,0.259733,0.259733
V308,V166,0.257903,0.257903
V212,V338,0.25763,0.25763
V213,V338,0.25733,0.25733
V213,V215,0.257011,0.257011
V165,V263,0.254405,0.254405
V338,V207,0.254208,0.254208
V127,V318,0.251272,0.251272
V275,V207,0.249337,0.249337
V275,V267,0.249248,0.249248
V316,V338,0.248028,0.248028
V318,V338,0.247791,0.247791
V273,V207,0.247704,0.247704
V307,V132,0.246813,0.246813
V165,V307,0.243956,0.243956
V274,V207,0.243641,0.243641
V317,V338,0.24257,0.24257
V332,V165,0.242011,0.242011
V211,V338,0.241629,0.241629
id_02,V160,-0.239499,0.239499
V160,V267,0.239186,0.239186
V165,V128,0.238093,0.238093
V164,V307,0.23576,0.23576
V165,V265,0.233588,0.233588
V128,V267,0.232566,0.232566
V332,V164,0.231655,0.231655
V211,V215,0.23145,0.23145
V164,V265,0.230957,0.230957
V273,V267,0.230941,0.230941
V164,V128,0.230874,0.230874
V215,V207,0.225899,0.225899
V307,V166,0.223094,0.223094
V133,V207,0.214508,0.214508
V331,V267,0.21356,0.21356
V160,V307,0.213537,0.213537
V134,V207,0.212177,0.212177
V165,V127,0.21177,0.21177
V317,V267,0.208391,0.208391
V127,V316,0.20817,0.20817
V164,V127,0.20618,0.20618
V132,V207,0.205349,0.205349
V318,V267,0.204518,0.204518
V212,V267,0.202782,0.202782
V165,V264,0.200026,0.200026
V164,V264,0.199224,0.199224
V160,V127,0.19785,0.19785
V213,V267,0.194092,0.194092
V316,V267,0.192364,0.192364
V134,V215,0.192098,0.192098
V133,V215,0.191989,0.191989
V132,V215,0.191541,0.191541
V211,V267,0.190153,0.190153
V160,V332,0.185153,0.185153
V274,V277,0.174792,0.174792
V160,V308,0.172984,0.172984
V160,V128,0.166344,0.166344
V318,V215,0.158958,0.158958
V126,V267,0.158895,0.158895
V317,V215,0.15798,0.15798
V275,V277,0.157917,0.157917
V160,V203,0.15068,0.15068
V159,V207,0.150649,0.150649
V316,V215,0.150419,0.150419
V273,V277,0.150039,0.150039
V274,V338,0.149603,0.149603
V160,V333,0.14906,0.14906
V165,V215,0.146713,0.146713
V132,V166,0.146588,0.146588
id_02,V127,-0.146058,0.146058
V164,V215,0.143484,0.143484
V134,V166,0.138509,0.138509
id_02,V332,-0.137583,0.137583
V133,V166,0.136762,0.136762
V213,V166,0.135797,0.135797
V211,V166,0.13578,0.13578
V275,V338,0.134125,0.134125
V212,V166,0.133255,0.133255
V165,V338,0.131319,0.131319
V273,V338,0.131048,0.131048
id_02,V159,-0.129798,0.129798
V274,V215,0.129549,0.129549
V164,V338,0.12846,0.12846
V338,V267,0.127282,0.127282
V316,V166,0.127025,0.127025
V165,V207,0.124458,0.124458
id_02,V128,-0.122861,0.122861
V213,V277,0.122786,0.122786
V212,V277,0.12193,0.12193
V211,V277,0.121733,0.121733
V275,V215,0.120804,0.120804
V132,V277,0.118776,0.118776
id_02,V165,-0.118712,0.118712
id_02,V307,-0.118607,0.118607
V273,V215,0.117571,0.117571
V160,V133,0.117283,0.117283
V318,V166,0.116757,0.116757
V160,V317,0.115992,0.115992
V164,V207,0.115229,0.115229
V133,V277,0.114721,0.114721
V267,V277,0.114262,0.114262
V134,V277,0.114083,0.114083
V160,V132,0.11327,0.11327
id_02,V308,-0.113138,0.113138
V160,V204,0.111569,0.111569
V317,V166,0.111254,0.111254
V331,card1,0.109734,0.109734
id_02,V333,-0.109343,0.109343
V160,V134,0.108258,0.108258
id_02,V207,-0.10728,0.10728
V160,V318,0.105295,0.105295
id_02,V203,-0.105091,0.105091
V160,V306,0.104712,0.104712
V332,card1,0.104383,0.104383
V133,V267,0.103365,0.103365
id_02,V306,-0.10078,0.10078
id_02,V204,-0.100224,0.100224
V134,V267,0.100167,0.100167
V160,V316,0.09935,0.09935
id_02,V164,-0.099211,0.099211
V333,card1,0.098396,0.098396
V160,V126,0.097994,0.097994
V316,V277,0.095405,0.095405
V273,V150,0.095207,0.095207
V275,V150,0.094891,0.094891
V132,V267,0.094342,0.094342
V263,V150,0.093161,0.093161
V160,V338,0.092246,0.092246
card1,V338,0.092093,0.092093
V274,V150,0.090158,0.090158
id_02,V318,-0.089969,0.089969
V159,V306,0.089874,0.089874
id_02,V317,-0.087243,0.087243
id_02,V316,-0.086175,0.086175
V159,V126,0.084333,0.084333
V318,V277,0.08401,0.08401
V317,V277,0.081757,0.081757
V202,V150,0.081129,0.081129
V160,V264,0.078949,0.078949
V160,V331,0.078763,0.078763
V265,V150,0.077486,0.077486
id_02,V202,-0.075931,0.075931
V215,V267,0.07475,0.07475
V160,V212,0.074121,0.074121
id_02,V267,-0.073614,0.073614
V212,V150,0.070828,0.070828
V213,V150,0.070455,0.070455
V211,V150,0.070272,0.070272
card1,V211,0.068445,0.068445
V164,card1,0.067811,0.067811
V273,V166,0.067619,0.067619
V160,V202,0.067296,0.067296
V165,card1,0.066573,0.066573
V159,V133,0.065711,0.065711
V204,V150,0.065345,0.065345
V213,card1,0.063721,0.063721
id_02,V213,-0.063249,0.063249
id_02,V212,-0.063066,0.063066
V212,card1,0.062857,0.062857
V160,V211,0.06217,0.06217
V160,V215,0.062031,0.062031
V159,V132,0.061658,0.061658
V166,V207,0.061612,0.061612
V159,V134,0.061391,0.061391
id_02,V126,-0.061044,0.061044
V215,V150,0.060689,0.060689
id_02,V211,-0.06054,0.06054
V159,V331,0.06022,0.06022
V160,V213,0.060023,0.060023
V159,V308,0.060008,0.060008
V274,V166,0.059241,0.059241
id_02,V215,-0.059179,0.059179
V275,V166,0.05777,0.05777
V159,V267,0.057033,0.057033
V150,V277,0.055755,0.055755
V164,V277,0.05478,0.05478
id_02,V133,-0.054191,0.054191
V159,V202,0.054129,0.054129
V264,V150,0.052339,0.052339
V159,V317,0.052247,0.052247
V307,V150,-0.052113,0.052113
V159,V128,0.052101,0.052101
V159,V318,0.051007,0.051007
V150,V267,-0.050156,0.050156
id_02,V134,-0.050021,0.050021
id_02,V331,-0.049526,0.049526
card1,V150,-0.04929,0.04929
V165,V277,0.049015,0.049015
V127,V150,-0.048525,0.048525
V203,V150,0.047593,0.047593
V159,V316,0.047214,0.047214
card1,V275,0.046816,0.046816
V159,V307,0.046499,0.046499
card1,V273,0.046335,0.046335
card1,V274,0.043499,0.043499
V207,V277,0.043486,0.043486
card1,V202,0.042326,0.042326
V159,V127,0.041604,0.041604
V160,V265,0.039137,0.039137
V308,V150,-0.038094,0.038094
id_02,V132,-0.03693,0.03693
id_02,V264,-0.036541,0.036541
V128,V150,-0.036535,0.036535
id_02,card1,0.036457,0.036457
id_02,V338,-0.035992,0.035992
V159,V277,-0.035878,0.035878
V204,card1,0.035492,0.035492
id_02,V265,-0.033957,0.033957
card1,V207,0.032812,0.032812
V166,V267,-0.032643,0.032643
V159,V333,0.031273,0.031273
V203,card1,0.030172,0.030172
V159,V204,0.030108,0.030108
id_02,V150,-0.028569,0.028569
card1,V127,0.028557,0.028557
V159,V264,-0.02847,0.02847
V150,V207,-0.028093,0.028093
card1,V133,0.027128,0.027128
V159,V212,0.026887,0.026887
card1,V317,0.026842,0.026842
card1,V307,0.026533,0.026533
V306,V150,-0.02647,0.02647
V159,V211,0.025142,0.025142
V159,V338,0.024962,0.024962
card1,V263,0.024351,0.024351
card1,V318,0.024155,0.024155
card1,V132,0.023889,0.023889
card1,V265,0.02384,0.02384
card1,V316,0.023406,0.023406
card1,V166,0.023372,0.023372
card1,V134,0.022277,0.022277
V159,V213,0.022275,0.022275
card1,V215,0.022006,0.022006
card1,V264,0.020458,0.020458
V159,V275,-0.020424,0.020424
V159,V274,-0.02037,0.02037
card1,V126,0.019187,0.019187
card1,V306,0.01863,0.01863
V332,V150,-0.018505,0.018505
card1,V267,0.018137,0.018137
V164,V267,-0.01762,0.01762
V203,V159,0.017483,0.017483
V126,V150,-0.017471,0.017471
card1,V128,0.016656,0.016656
V159,V265,-0.016385,0.016385
id_02,V166,-0.015331,0.015331
V160,V277,-0.015329,0.015329
V332,V159,0.015235,0.015235
V316,V150,-0.013661,0.013661
card1,V308,0.013491,0.013491
V134,V150,-0.013299,0.013299
V331,V150,0.012689,0.012689
V133,V150,-0.012386,0.012386
V165,V267,-0.011863,0.011863
V159,V215,0.010519,0.010519
V160,card1,0.010117,0.010117
V318,V150,-0.009982,0.009982
V159,V273,-0.00957,0.00957
V160,V275,-0.008605,0.008605
id_02,V277,-0.008487,0.008487
V317,V150,-0.008114,0.008114
V159,V263,0.007712,0.007712
id_02,V275,-0.007409,0.007409
V160,V274,0.006222,0.006222
V132,V150,-0.005428,0.005428
id_02,V263,-0.005363,0.005363
V159,card1,-0.005259,0.005259
id_02,V273,-0.005173,0.005173
card1,V277,0.003013,0.003013
V160,V273,-0.002685,0.002685
V160,V263,-0.002129,0.002129
id_02,V274,0.002075,0.002075
V338,V150,-0.001622,0.001622
V333,V150,0.001178,0.001178
