feature_1,feature_2,correlation,decision,reason
V213,V133,0.9845,"Retain V213, Remove V133",MI: V213(0.0124) > V133(0.0037)
V213,V308,0.9815,"Retain V213, Remove V308",MI: V213(0.0124) > V308(0.0043)
V213,V128,0.9817,"Retain V213, Remove V128",MI: V213(0.0124) > V128(0.0047)
V213,V318,0.9852,"Retain V213, Remove V318",MI: V213(0.0124) > V318(0.0070)
V213,V134,0.9851,"Retain V213, Remove V134",MI: V213(0.0124) > V134(0.0062)
V213,V264,0.9158,"Retain V264, Remove V213",MI: V264(0.0124) > V213(0.0163)
V213,V265,0.9206,"Retain V265, Remove V213",MI: V265(0.0124) > V213(0.0127)
V213,V274,0.9816,"Retain V213, Remove V274",MI: V213(0.0124) > V274(0.0113)
V213,V275,0.9834,"Retain V213, Remove V275",MI: V213(0.0124) > V275(0.0111)
V213,V263,0.9375,"Retain V263, Remove V213",MI: V263(0.0124) > V213(0.0181)
V213,V273,0.9824,"Retain V213, Remove V273",MI: V213(0.0124) > V273(0.0104)
V202,V307,0.9093,"Retain V202, Remove V307",MI: V202(0.0104) > V307(0.0033)
V202,V127,0.9086,"Retain V202, Remove V127",MI: V202(0.0104) > V127(0.0000)
V202,V211,0.9956,"Retain V202, Remove V211",MI: V202(0.0104) > V211(0.0085)
V202,V317,0.9129,"Retain V202, Remove V317",MI: V202(0.0104) > V317(0.0052)
V202,V133,0.9131,"Retain V202, Remove V133",MI: V202(0.0104) > V133(0.0037)
V202,V264,0.9145,"Retain V264, Remove V202",MI: V264(0.0104) > V202(0.0163)
V202,V306,0.9885,"Retain V202, Remove V306",MI: V202(0.0104) > V306(0.0007)
V202,V126,0.9876,"Retain V202, Remove V126",MI: V202(0.0104) > V126(0.0057)
V202,V316,0.9862,"Retain V202, Remove V316",MI: V202(0.0104) > V316(0.0000)
V202,V132,0.9866,"Retain V202, Remove V132",MI: V202(0.0104) > V132(0.0023)
V202,V265,0.9217,"Retain V265, Remove V202",MI: V265(0.0104) > V202(0.0127)
V202,V274,0.9164,"Retain V274, Remove V202",MI: V274(0.0104) > V202(0.0113)
V202,V275,0.9178,"Retain V275, Remove V202",MI: V275(0.0104) > V202(0.0111)
V202,V263,0.9931,"Retain V263, Remove V202",MI: V263(0.0104) > V202(0.0181)
V202,V273,0.9468,"Retain V202, Remove V273",Missing: V202(76.36%) < V273(77.91%)
V307,V127,0.9767,"Retain V307, Remove V127",MI: V307(0.0033) > V127(0.0000)
V307,V211,0.9089,"Retain V211, Remove V307",MI: V211(0.0033) > V307(0.0085)
V307,V317,0.9943,"Retain V317, Remove V307",MI: V317(0.0033) > V307(0.0052)
V307,V133,0.9732,"Retain V133, Remove V307",MI: V133(0.0033) > V307(0.0037)
V307,V308,0.981,"Retain V308, Remove V307",MI: V308(0.0033) > V307(0.0043)
V307,V128,0.9681,"Retain V128, Remove V307",MI: V128(0.0033) > V307(0.0047)
V307,V318,0.9794,"Retain V318, Remove V307",MI: V318(0.0033) > V307(0.0070)
V307,V134,0.968,"Retain V134, Remove V307",MI: V134(0.0033) > V307(0.0062)
V127,V211,0.909,"Retain V211, Remove V127",MI: V211(0.0000) > V127(0.0085)
V127,V317,0.9717,"Retain V317, Remove V127",MI: V317(0.0000) > V127(0.0052)
V127,V133,0.9955,"Retain V133, Remove V127",MI: V133(0.0000) > V127(0.0037)
V127,V308,0.9847,"Retain V308, Remove V127",MI: V308(0.0000) > V127(0.0043)
V127,V128,0.9911,"Retain V128, Remove V127",MI: V128(0.0000) > V127(0.0047)
V127,V318,0.9849,"Retain V318, Remove V127",MI: V318(0.0000) > V127(0.0070)
V127,V134,0.9902,"Retain V134, Remove V127",MI: V134(0.0000) > V127(0.0062)
V127,V306,0.9038,"Retain V306, Remove V127",MI: V306(0.0000) > V127(0.0007)
V127,V126,0.9088,"Retain V126, Remove V127",MI: V126(0.0000) > V127(0.0057)
V127,V316,0.9018,"Retain V316, Remove V127",Missing: V316(0.05%) < V127(0.00%)
V127,V132,0.9054,"Retain V132, Remove V127",MI: V132(0.0000) > V127(0.0023)
V211,V317,0.9156,"Retain V211, Remove V317",MI: V211(0.0085) > V317(0.0052)
V211,V133,0.9155,"Retain V211, Remove V133",MI: V211(0.0085) > V133(0.0037)
V211,V306,0.9891,"Retain V211, Remove V306",MI: V211(0.0085) > V306(0.0007)
V211,V126,0.9899,"Retain V211, Remove V126",MI: V211(0.0085) > V126(0.0057)
V211,V316,0.992,"Retain V211, Remove V316",MI: V211(0.0085) > V316(0.0000)
V211,V132,0.9918,"Retain V211, Remove V132",MI: V211(0.0085) > V132(0.0023)
V211,V274,0.9645,"Retain V274, Remove V211",MI: V274(0.0085) > V211(0.0113)
V211,V275,0.9661,"Retain V275, Remove V211",MI: V275(0.0085) > V211(0.0111)
V211,V263,0.9511,"Retain V263, Remove V211",MI: V263(0.0085) > V211(0.0181)
V211,V273,0.9963,"Retain V273, Remove V211",MI: V273(0.0085) > V211(0.0104)
V317,V133,0.9763,"Retain V317, Remove V133",MI: V317(0.0052) > V133(0.0037)
V317,V308,0.9743,"Retain V317, Remove V308",MI: V317(0.0052) > V308(0.0043)
V317,V128,0.9631,"Retain V317, Remove V128",MI: V317(0.0052) > V128(0.0047)
V317,V318,0.9813,"Retain V318, Remove V317",MI: V318(0.0052) > V317(0.0070)
V317,V134,0.9694,"Retain V134, Remove V317",MI: V134(0.0052) > V317(0.0062)
V133,V308,0.981,"Retain V308, Remove V133",MI: V308(0.0037) > V133(0.0043)
V133,V128,0.9865,"Retain V128, Remove V133",MI: V128(0.0037) > V133(0.0047)
V133,V318,0.9876,"Retain V318, Remove V133",MI: V318(0.0037) > V133(0.0070)
V133,V134,0.9927,"Retain V134, Remove V133",MI: V134(0.0037) > V133(0.0062)
V133,V306,0.9097,"Retain V133, Remove V306",MI: V133(0.0037) > V306(0.0007)
V133,V126,0.9137,"Retain V126, Remove V133",MI: V126(0.0037) > V133(0.0057)
V133,V316,0.9115,"Retain V133, Remove V316",MI: V133(0.0037) > V316(0.0000)
V133,V132,0.9148,"Retain V133, Remove V132",MI: V133(0.0037) > V132(0.0023)
V308,V128,0.993,"Retain V128, Remove V308",MI: V128(0.0043) > V308(0.0047)
V308,V318,0.995,"Retain V318, Remove V308",MI: V318(0.0043) > V308(0.0070)
V308,V134,0.9902,"Retain V134, Remove V308",MI: V134(0.0043) > V308(0.0062)
V308,V306,0.9022,"Retain V308, Remove V306",MI: V308(0.0043) > V306(0.0007)
V128,V318,0.9907,"Retain V318, Remove V128",MI: V318(0.0047) > V128(0.0070)
V128,V134,0.9959,"Retain V134, Remove V128",MI: V134(0.0047) > V128(0.0062)
V128,V126,0.9033,"Retain V126, Remove V128",MI: V126(0.0047) > V128(0.0057)
V318,V134,0.9951,"Retain V318, Remove V134",MI: V318(0.0070) > V134(0.0062)
V318,V306,0.9024,"Retain V318, Remove V306",MI: V318(0.0070) > V306(0.0007)
V318,V316,0.9027,"Retain V318, Remove V316",MI: V318(0.0070) > V316(0.0000)
V134,V306,0.9008,"Retain V134, Remove V306",MI: V134(0.0062) > V306(0.0007)
V134,V126,0.9049,"Retain V134, Remove V126",MI: V134(0.0062) > V126(0.0057)
V134,V316,0.9011,"Retain V134, Remove V316",MI: V134(0.0062) > V316(0.0000)
V134,V132,0.9042,"Retain V134, Remove V132",MI: V134(0.0062) > V132(0.0023)
V264,V274,0.9193,"Retain V264, Remove V274",MI: V264(0.0163) > V274(0.0113)
V306,V126,0.9933,"Retain V126, Remove V306",MI: V126(0.0007) > V306(0.0057)
V306,V316,0.9951,"Retain V306, Remove V316",MI: V306(0.0007) > V316(0.0000)
V306,V132,0.9915,"Retain V132, Remove V306",MI: V132(0.0007) > V306(0.0023)
V126,V316,0.9924,"Retain V126, Remove V316",MI: V126(0.0057) > V316(0.0000)
V126,V132,0.9964,"Retain V126, Remove V132",MI: V126(0.0057) > V132(0.0023)
V316,V132,0.9965,"Retain V132, Remove V316",MI: V132(0.0000) > V316(0.0023)
V265,V274,0.9152,"Retain V265, Remove V274",MI: V265(0.0127) > V274(0.0113)
V265,V275,0.9319,"Retain V265, Remove V275",MI: V265(0.0127) > V275(0.0111)
V275,V273,0.9262,"Retain V275, Remove V273",MI: V275(0.0111) > V273(0.0104)
V263,V273,0.9534,"Retain V263, Remove V273",MI: V263(0.0181) > V273(0.0104)
V215,V277,0.9863,"Retain V277, Remove V215",MI: V277(0.0060) > V215(0.0136)
V207,V267,0.9046,"Retain V207, Remove V267",MI: V207(0.0057) > V267(0.0039)
